,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년12월_계_총인구수,"24,036","9,442","2,254","4,052","2,618","4,258","1,412"
2020년12월_계_연령구간인구수,"24,036","9,442","2,254","4,052","2,618","4,258","1,412"
2020년12월_계_0~9세,"1,212",740,61,184,65,126,36
2020년12월_계_10~19세,"1,820",986,111,293,118,256,56
2020년12월_계_20~29세,"1,782",870,129,327,148,244,64
2020년12월_계_30~39세,"1,700",876,134,253,128,241,68
2020년12월_계_40~49세,"2,875","1,462",192,501,232,386,102
2020년12월_계_50~59세,"4,205","1,472",444,801,460,778,250
2020년12월_계_60~69세,"4,392","1,283",519,761,554,919,356
2020년12월_계_70~79세,"3,380","1,001",372,539,490,703,275
2020년12월_계_80~89세,"2,317",632,254,349,378,530,174
2020년12월_계_90~99세,331,112,38,42,42,67,30
2020년12월_계_100세 이상,22,8,0,2,3,8,1
2020년12월_남_총인구수,"11,959","4,707","1,112","2,048","1,288","2,106",698
2020년12월_남_연령구간인구수,"11,959","4,707","1,112","2,048","1,288","2,106",698
2020년12월_남_0~9세,639,388,32,105,32,65,17
2020년12월_남_10~19세,933,500,65,161,56,124,27
2020년12월_남_20~29세,986,472,68,178,86,142,40
2020년12월_남_30~39세,934,451,78,148,77,140,40
2020년12월_남_40~49세,"1,598",765,111,281,137,240,64
2020년12월_남_50~59세,"2,320",829,230,446,260,421,134
2020년12월_남_60~69세,"2,253",621,269,388,298,484,193
2020년12월_남_70~79세,"1,417",432,171,210,197,291,116
2020년12월_남_80~89세,799,226,78,123,131,182,59
2020년12월_남_90~99세,75,22,10,8,13,14,8
2020년12월_남_100세 이상,5,1,0,0,1,3,0
2020년12월_여_총인구수,"12,077","4,735","1,142","2,004","1,330","2,152",714
2020년12월_여_연령구간인구수,"12,077","4,735","1,142","2,004","1,330","2,152",714
2020년12월_여_0~9세,573,352,29,79,33,61,19
2020년12월_여_10~19세,887,486,46,132,62,132,29
2020년12월_여_20~29세,796,398,61,149,62,102,24
2020년12월_여_30~39세,766,425,56,105,51,101,28
2020년12월_여_40~49세,"1,277",697,81,220,95,146,38
2020년12월_여_50~59세,"1,885",643,214,355,200,357,116
2020년12월_여_60~69세,"2,139",662,250,373,256,435,163
2020년12월_여_70~79세,"1,963",569,201,329,293,412,159
2020년12월_여_80~89세,"1,518",406,176,226,247,348,115
2020년12월_여_90~99세,256,90,28,34,29,53,22
2020년12월_여_100세 이상,17,7,0,2,2,5,1
