카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년07월_계_총인구수,"223,198","4,635","24,781","12,095","12,416","8,608","21,848","15,031","10,567","13,819","18,269","20,500","12,114","11,025","14,230","2,439","20,821"
2021년07월_계_연령구간인구수,"223,198","4,635","24,781","12,095","12,416","8,608","21,848","15,031","10,567","13,819","18,269","20,500","12,114","11,025","14,230","2,439","20,821"
2021년07월_계_0~9세,"14,688",106,"2,426",871,761,250,"1,679","1,376",370,789,916,"1,052",864,575,768,57,"1,828"
2021년07월_계_10~19세,"19,766",136,"3,320",880,962,371,"1,835","1,406",788,"1,088","1,742","1,475",934,793,"1,233",135,"2,668"
2021년07월_계_20~29세,"30,134",340,"2,562","1,320","1,469",761,"3,323","1,764","2,730","1,975","2,876","3,917","1,325","2,004","1,500",201,"2,067"
2021년07월_계_30~39세,"25,603",370,"2,799","1,572","1,475",717,"2,949","1,956","1,042","1,402","1,899","3,010","1,447","1,277","1,367",150,"2,171"
2021년07월_계_40~49세,"33,884",489,"4,835","1,736","1,703",994,"3,290","2,380","1,223","2,032","2,654","3,126","1,749","1,533","2,139",254,"3,747"
2021년07월_계_50~59세,"36,232",907,"3,537","1,943","2,139","1,471","3,598","2,351","1,540","2,311","3,288","3,275","2,049","1,843","2,477",440,"3,063"
2021년07월_계_60~69세,"33,944","1,146","2,975","1,975","2,015","1,944","3,031","2,046","1,538","2,268","2,753","2,710","1,990","1,688","2,464",585,"2,816"
2021년07월_계_70~79세,"19,051",777,"1,589","1,197","1,208","1,286","1,450","1,130",896,"1,306","1,424","1,347","1,175",857,"1,507",322,"1,580"
2021년07월_계_80~89세,"8,729",325,635,537,604,715,607,540,392,583,636,528,501,409,693,255,769
2021년07월_계_90~99세,"1,128",37,101,62,78,98,82,80,45,61,78,59,77,46,81,40,103
2021년07월_계_100세 이상,39,2,2,2,2,1,4,2,3,4,3,1,3,0,1,0,9
2021년07월_남_총인구수,"112,539","2,601","12,217","5,914","6,079","4,214","11,032","7,518","5,579","7,120","9,163","10,535","5,997","5,603","7,235","1,267","10,465"
2021년07월_남_연령구간인구수,"112,539","2,601","12,217","5,914","6,079","4,214","11,032","7,518","5,579","7,120","9,163","10,535","5,997","5,603","7,235","1,267","10,465"
2021년07월_남_0~9세,"7,609",50,"1,223",446,427,127,879,716,196,390,468,539,463,321,377,23,964
2021년07월_남_10~19세,"10,240",69,"1,737",478,497,198,916,743,387,550,910,754,465,413,655,66,"1,402"
2021년07월_남_20~29세,"15,982",197,"1,394",655,770,424,"1,767",922,"1,493","1,094","1,474","2,008",703,"1,015",836,115,"1,115"
2021년07월_남_30~39세,"13,865",220,"1,364",836,803,431,"1,591","1,029",631,769,"1,073","1,718",757,711,742,94,"1,096"
2021년07월_남_40~49세,"17,740",322,"2,399",923,836,568,"1,696","1,201",702,"1,120","1,368","1,680",930,838,"1,126",147,"1,884"
2021년07월_남_50~59세,"18,685",594,"1,754",921,"1,045",766,"1,800","1,194",814,"1,239","1,673","1,717","1,032",952,"1,305",254,"1,625"
2021년07월_남_60~69세,"16,432",645,"1,380",883,954,927,"1,475",994,776,"1,135","1,307","1,304",932,813,"1,207",329,"1,371"
2021년07월_남_70~79세,"8,559",374,702,543,519,528,675,512,419,582,644,608,522,377,692,150,712
2021년07월_남_80~89세,"3,141",120,243,214,201,223,211,185,152,221,234,194,173,158,268,76,268
2021년07월_남_90~99세,275,9,21,14,26,21,20,22,9,19,12,13,20,5,26,13,25
