,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년08월_계_총인구수,"214,051","7,059","6,725","9,012","13,546","28,726","5,234","7,163","8,591","6,444","12,271","6,393","21,758","8,149","29,443","16,143","21,067","6,327"
2021년08월_계_연령구간인구수,"214,051","7,059","6,725","9,012","13,546","28,726","5,234","7,163","8,591","6,444","12,271","6,393","21,758","8,149","29,443","16,143","21,067","6,327"
2021년08월_계_0~9세,"16,968",433,510,462,808,"2,845",263,342,321,244,927,471,"1,652",470,"2,139","1,588","3,097",396
2021년08월_계_10~19세,"22,569",745,660,754,"1,272","4,849",290,394,561,344,"1,123",423,"2,231",565,"4,072","1,722","2,163",401
2021년08월_계_20~29세,"27,563",800,837,"1,203","1,969","3,209",657,821,"1,150",912,"1,476",971,"3,157","1,073","4,219","2,120","2,469",520
2021년08월_계_30~39세,"25,046",649,805,847,"1,535","2,744",612,775,"1,034",742,"1,404",898,"2,566",898,"2,906","2,246","3,796",589
2021년08월_계_40~49세,"34,042","1,025","1,073","1,233","2,044","5,543",732,969,"1,135",805,"1,859",871,"3,448","1,098","4,940","2,740","3,724",803
2021년08월_계_50~59세,"32,760","1,096",981,"1,469","2,110","4,290",854,"1,153","1,448","1,164","1,887",930,"3,565","1,366","4,725","2,102","2,641",979
2021년08월_계_60~69세,"28,828","1,016",914,"1,434","1,947","2,967",827,"1,172","1,546","1,231","1,904",920,"2,870","1,441","3,447","2,009","1,980","1,203"
2021년08월_계_70~79세,"17,457",863,647,"1,078","1,144","1,436",669,"1,033",967,698,"1,127",623,"1,593",879,"1,990","1,111",784,815
2021년08월_계_80~89세,"7,645",373,264,464,617,716,299,437,379,268,478,251,595,321,879,424,339,541
2021년08월_계_90~99세,"1,133",57,28,66,97,125,30,66,48,36,85,34,77,37,126,75,71,75
2021년08월_계_100세 이상,40,2,6,2,3,2,1,1,2,0,1,1,4,1,0,6,3,5
2021년08월_남_총인구수,"102,881","3,242","3,201","4,253","6,372","13,446","2,699","3,666","4,423","3,221","5,788","3,153","10,526","4,040","13,773","7,736","10,213","3,129"
2021년08월_남_연령구간인구수,"102,881","3,242","3,201","4,253","6,372","13,446","2,699","3,666","4,423","3,221","5,788","3,153","10,526","4,040","13,773","7,736","10,213","3,129"
2021년08월_남_0~9세,"8,625",213,259,238,419,"1,413",130,169,161,127,477,248,845,227,"1,046",816,"1,617",220
2021년08월_남_10~19세,"11,287",375,326,389,642,"2,443",157,209,308,175,543,209,"1,142",289,"1,907",893,"1,092",188
2021년08월_남_20~29세,"14,134",395,432,607,999,"1,663",353,473,630,478,748,439,"1,584",585,"2,196","1,010","1,248",294
2021년08월_남_30~39세,"12,460",317,387,451,785,"1,212",335,420,590,419,695,464,"1,302",488,"1,349","1,096","1,829",321
2021년08월_남_40~49세,"16,774",499,532,612,991,"2,510",417,591,651,466,908,488,"1,700",559,"2,203","1,352","1,842",453
2021년08월_남_50~59세,"15,545",494,476,671,954,"1,974",467,630,738,567,885,470,"1,649",647,"2,229",968,"1,222",504
2021년08월_남_60~69세,"13,181",427,395,627,867,"1,316",406,559,744,580,836,423,"1,358",680,"1,536",918,891,618
2021년08월_남_70~79세,"7,787",365,286,473,479,626,308,446,446,307,476,297,715,417,917,517,358,354
2021년08월_남_80~89세,"2,841",140,98,169,213,263,118,156,140,96,199,110,224,136,358,149,105,167
2021년08월_남_90~99세,241,15,8,16,23,26,8,13,15,6,21,5,6,12,32,17,9,9
2021년08월_남_100세 이상,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2021년08월_여_총인구수,"111,170","3,817","3,524","4,759","7,174","15,280","2,535","3,497","4,168","3,223","6,483","3,240","11,232","4,109","15,670","8,407","10,854","3,198"
2021년08월_여_연령구간인구수,"111,170","3,817","3,524","4,759","7,174","15,280","2,535","3,497","4,168","3,223","6,483","3,240","11,232","4,109","15,670","8,407","10,854","3,198"
2021년08월_여_0~9세,"8,343",220,251,224,389,"1,432",133,173,160,117,450,223,807,243,"1,093",772,"1,480",176
2021년08월_여_10~19세,"11,282",370,334,365,630,"2,406",133,185,253,169,580,214,"1,089",276,"2,165",829,"1,071",213
2021년08월_여_20~29세,"13,429",405,405,596,970,"1,546",304,348,520,434,728,532,"1,573",488,"2,023","1,110","1,221",226
2021년08월_여_30~39세,"12,586",332,418,396,750,"1,532",277,355,444,323,709,434,"1,264",410,"1,557","1,150","1,967",268
2021년08월_여_40~49세,"17,268",526,541,621,"1,053","3,033",315,378,484,339,951,383,"1,748",539,"2,737","1,388","1,882",350
2021년08월_여_50~59세,"17,215",602,505,798,"1,156","2,316",387,523,710,597,"1,002",460,"1,916",719,"2,496","1,134","1,419",475
2021년08월_여_60~69세,"15,647",589,519,807,"1,080","1,651",421,613,802,651,"1,068",497,"1,512",761,"1,911","1,091","1,089",585
2021년08월_여_70~79세,"9,670",498,361,605,665,810,361,587,521,391,651,326,878,462,"1,073",594,426,461
2021년08월_여_80~89세,"4,804",233,166,295,404,453,181,281,239,172,279,141,371,185,521,275,234,374
2021년08월_여_90~99세,892,42,20,50,74,99,22,53,33,30,64,29,71,25,94,58,62,66
2021년08월_여_100세 이상,34,0,4,2,3,2,1,1,2,0,1,1,3,1,0,6,3,4
