카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년02월_계_총인구수,"46,545","15,034","2,790","3,150","1,246","3,701","1,945","2,772","2,644","1,849","2,470","4,544","4,400"
2021년02월_계_연령구간인구수,"46,545","15,034","2,790","3,150","1,246","3,701","1,945","2,772","2,644","1,849","2,470","4,544","4,400"
2021년02월_계_0~9세,"2,370","1,134",124,114,31,151,66,67,88,67,106,219,203
2021년02월_계_10~19세,"3,002","1,257",109,160,50,232,104,109,117,83,119,326,336
2021년02월_계_20~29세,"4,797","1,732",225,278,89,314,180,572,218,160,194,420,415
2021년02월_계_30~39세,"3,706","1,597",204,225,74,254,123,145,186,120,191,287,300
2021년02월_계_40~49세,"5,224","2,015",296,311,109,360,179,212,256,166,243,562,515
2021년02월_계_50~59세,"8,198","2,423",507,591,246,692,388,427,464,336,452,856,816
2021년02월_계_60~69세,"8,393","2,195",589,674,283,719,398,501,535,401,507,838,753
2021년02월_계_70~79세,"6,309","1,629",440,496,195,560,293,400,430,316,397,568,585
2021년02월_계_80~89세,"3,906",888,252,257,142,377,183,295,300,171,233,392,416
2021년02월_계_90~99세,604,152,43,41,26,38,29,43,45,27,26,73,61
2021년02월_계_100세 이상,36,12,1,3,1,4,2,1,5,2,2,3,0
2021년02월_남_총인구수,"23,627","7,597","1,426","1,588",635,"1,877","1,005","1,548","1,339",919,"1,238","2,279","2,176"
2021년02월_남_연령구간인구수,"23,627","7,597","1,426","1,588",635,"1,877","1,005","1,548","1,339",919,"1,238","2,279","2,176"
2021년02월_남_0~9세,"1,190",543,63,56,13,84,39,33,44,40,48,122,105
2021년02월_남_10~19세,"1,569",681,56,80,24,114,61,56,58,41,59,178,161
2021년02월_남_20~29세,"2,847",986,126,147,51,182,97,481,120,82,104,234,237
2021년02월_남_30~39세,"1,919",812,108,126,38,136,70,79,108,56,91,146,149
2021년02월_남_40~49세,"3,020","1,107",195,183,62,216,99,126,170,101,156,313,292
2021년02월_남_50~59세,"4,498","1,280",288,318,143,380,211,237,263,185,257,472,464
2021년02월_남_60~69세,"4,344","1,107",295,366,157,385,230,251,267,199,258,431,398
2021년02월_남_70~79세,"2,821",736,194,219,90,240,131,183,197,148,192,254,237
2021년02월_남_80~89세,"1,277",310,90,82,49,131,61,91,103,58,70,107,125
2021년02월_남_90~99세,139,33,11,11,8,9,6,11,9,9,3,21,8
2021년02월_남_100세 이상,3,2,0,0,0,0,0,0,0,0,0,1,0
2021년02월_여_총인구수,"22,918","7,437","1,364","1,562",611,"1,824",940,"1,224","1,305",930,"1,232","2,265","2,224"
2021년02월_여_연령구간인구수,"22,918","7,437","1,364","1,562",611,"1,824",940,"1,224","1,305",930,"1,232","2,265","2,224"
2021년02월_여_0~9세,"1,180",591,61,58,18,67,27,34,44,27,58,97,98
2021년02월_여_10~19세,"1,433",576,53,80,26,118,43,53,59,42,60,148,175
2021년02월_여_20~29세,"1,950",746,99,131,38,132,83,91,98,78,90,186,178
2021년02월_여_30~39세,"1,787",785,96,99,36,118,53,66,78,64,100,141,151
2021년02월_여_40~49세,"2,204",908,101,128,47,144,80,86,86,65,87,249,223
2021년02월_여_50~59세,"3,700","1,143",219,273,103,312,177,190,201,151,195,384,352
2021년02월_여_60~69세,"4,049","1,088",294,308,126,334,168,250,268,202,249,407,355
2021년02월_여_70~79세,"3,488",893,246,277,105,320,162,217,233,168,205,314,348
2021년02월_여_80~89세,"2,629",578,162,175,93,246,122,204,197,113,163,285,291
2021년02월_여_90~99세,465,119,32,30,18,29,23,32,36,18,23,52,53
2021년02월_여_100세 이상,33,10,1,3,1,4,2,1,5,2,2,2,0
