,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년10월_계_총인구수,"82,579","4,423","3,644","5,890","9,518","21,813","29,278","4,901","3,112"
2021년10월_계_연령구간인구수,"82,579","4,423","3,644","5,890","9,518","21,813","29,278","4,901","3,112"
2021년10월_계_0~9세,"5,666",164,234,206,486,"1,375","2,822",298,81
2021년10월_계_10~19세,"7,200",227,257,413,794,"2,174","2,962",259,114
2021년10월_계_20~29세,"8,924",399,301,562,"1,095","2,440","3,425",449,253
2021년10월_계_30~39세,"9,080",389,339,445,974,"2,242","3,932",554,205
2021년10월_계_40~49세,"12,179",480,485,699,"1,296","3,347","4,940",618,314
2021년10월_계_50~59세,"15,023",881,693,"1,140","1,719","4,115","4,945",898,632
2021년10월_계_60~69세,"13,762","1,056",697,"1,271","1,805","3,510","3,665",976,782
2021년10월_계_70~79세,"6,770",528,419,694,850,"1,622","1,693",493,471
2021년10월_계_80~89세,"3,356",260,187,379,429,833,762,290,216
2021년10월_계_90~99세,599,36,32,80,68,153,125,62,43
2021년10월_계_100세 이상,20,3,0,1,2,2,7,4,1
2021년10월_남_총인구수,"40,975","2,291","1,841","2,880","4,666","10,889","14,314","2,479","1,615"
2021년10월_남_연령구간인구수,"40,975","2,291","1,841","2,880","4,666","10,889","14,314","2,479","1,615"
2021년10월_남_0~9세,"2,870",80,125,105,247,700,"1,410",164,39
2021년10월_남_10~19세,"3,748",132,135,211,425,"1,105","1,536",128,76
2021년10월_남_20~29세,"5,031",245,171,330,615,"1,385","1,888",253,144
2021년10월_남_30~39세,"4,896",217,180,259,539,"1,210","2,040",314,137
2021년10월_남_40~49세,"6,107",279,258,370,653,"1,640","2,392",332,183
2021년10월_남_50~59세,"7,436",471,357,556,823,"2,053","2,353",488,335
2021년10월_남_60~69세,"6,661",522,349,599,852,"1,764","1,692",493,390
2021년10월_남_70~79세,"2,941",245,196,301,349,733,713,194,210
2021년10월_남_80~89세,"1,171",94,63,138,151,274,262,97,92
2021년10월_남_90~99세,108,5,7,10,12,25,26,14,9
2021년10월_남_100세 이상,6,1,0,1,0,0,2,2,0
2021년10월_여_총인구수,"41,604","2,132","1,803","3,010","4,852","10,924","14,964","2,422","1,497"
2021년10월_여_연령구간인구수,"41,604","2,132","1,803","3,010","4,852","10,924","14,964","2,422","1,497"
2021년10월_여_0~9세,"2,796",84,109,101,239,675,"1,412",134,42
2021년10월_여_10~19세,"3,452",95,122,202,369,"1,069","1,426",131,38
2021년10월_여_20~29세,"3,893",154,130,232,480,"1,055","1,537",196,109
2021년10월_여_30~39세,"4,184",172,159,186,435,"1,032","1,892",240,68
2021년10월_여_40~49세,"6,072",201,227,329,643,"1,707","2,548",286,131
2021년10월_여_50~59세,"7,587",410,336,584,896,"2,062","2,592",410,297
2021년10월_여_60~69세,"7,101",534,348,672,953,"1,746","1,973",483,392
2021년10월_여_70~79세,"3,829",283,223,393,501,889,980,299,261
2021년10월_여_80~89세,"2,185",166,124,241,278,559,500,193,124
2021년10월_여_90~99세,491,31,25,70,56,128,99,48,34
2021년10월_여_100세 이상,14,2,0,0,2,2,5,2,1
