,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년10월_계_총인구수,"25,578","10,800","1,265","1,530","2,585","2,695","2,268","1,472","2,963"
2020년10월_계_연령구간인구수,"25,578","10,800","1,265","1,530","2,585","2,695","2,268","1,472","2,963"
2020년10월_계_0~9세,"1,156",703,40,48,56,114,62,49,84
2020년10월_계_10~19세,"1,845","1,048",70,72,154,175,109,62,155
2020년10월_계_20~29세,"1,958","1,051",69,84,158,187,110,101,198
2020년10월_계_30~39세,"1,667",868,54,77,120,176,134,88,150
2020년10월_계_40~49세,"2,931","1,443",146,150,254,332,170,165,271
2020년10월_계_50~59세,"4,600","1,945",235,275,544,449,375,226,551
2020년10월_계_60~69세,"4,640","1,669",270,298,570,504,450,270,609
2020년10월_계_70~79세,"3,898","1,247",210,308,392,423,468,289,561
2020년10월_계_80~89세,"2,484",714,148,193,281,286,333,188,341
2020년10월_계_90~99세,377,107,22,22,53,45,55,33,40
2020년10월_계_100세 이상,22,5,1,3,3,4,2,1,3
2020년10월_남_총인구수,"12,434","5,254",632,753,"1,252","1,342","1,060",702,"1,439"
2020년10월_남_연령구간인구수,"12,434","5,254",632,753,"1,252","1,342","1,060",702,"1,439"
2020년10월_남_0~9세,571,343,21,26,31,56,28,25,41
2020년10월_남_10~19세,978,564,38,32,76,100,59,37,72
2020년10월_남_20~29세,"1,047",553,39,42,93,99,53,50,118
2020년10월_남_30~39세,889,435,24,39,71,104,76,51,89
2020년10월_남_40~49세,"1,598",729,87,96,137,187,107,97,158
2020년10월_남_50~59세,"2,543","1,006",138,168,304,271,221,126,309
2020년10월_남_60~69세,"2,286",824,145,149,279,245,208,130,306
2020년10월_남_70~79세,"1,632",531,85,129,159,178,198,119,233
2020년10월_남_80~89세,809,245,54,66,89,91,99,58,107
2020년10월_남_90~99세,79,24,1,6,13,10,11,9,5
2020년10월_남_100세 이상,2,0,0,0,0,1,0,0,1
2020년10월_여_총인구수,"13,144","5,546",633,777,"1,333","1,353","1,208",770,"1,524"
2020년10월_여_연령구간인구수,"13,144","5,546",633,777,"1,333","1,353","1,208",770,"1,524"
2020년10월_여_0~9세,585,360,19,22,25,58,34,24,43
2020년10월_여_10~19세,867,484,32,40,78,75,50,25,83
2020년10월_여_20~29세,911,498,30,42,65,88,57,51,80
2020년10월_여_30~39세,778,433,30,38,49,72,58,37,61
2020년10월_여_40~49세,"1,333",714,59,54,117,145,63,68,113
2020년10월_여_50~59세,"2,057",939,97,107,240,178,154,100,242
2020년10월_여_60~69세,"2,354",845,125,149,291,259,242,140,303
2020년10월_여_70~79세,"2,266",716,125,179,233,245,270,170,328
2020년10월_여_80~89세,"1,675",469,94,127,192,195,234,130,234
2020년10월_여_90~99세,298,83,21,16,40,35,44,24,35
2020년10월_여_100세 이상,20,5,1,3,3,3,2,1,2
