,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2021년02월_계_총인구수,"272,533","33,633","53,493","16,046","27,196","17,484","19,081","21,990","16,762","20,963","20,598","25,287"
2021년02월_계_연령구간인구수,"272,533","33,633","53,493","16,046","27,196","17,484","19,081","21,990","16,762","20,963","20,598","25,287"
2021년02월_계_0~9세,"20,195","1,953","4,615",650,"2,224",862,"1,169","1,874","1,028","1,848","2,250","1,722"
2021년02월_계_10~19세,"26,290","2,632","6,146",843,"2,764","1,163","1,411","2,135","1,615","3,104","1,746","2,731"
2021년02월_계_20~29세,"37,985","5,405","7,200","2,509","3,712","2,763","2,749","2,814","2,096","2,527","2,577","3,633"
2021년02월_계_30~39세,"37,853","4,637","7,114","2,176","3,496","2,341","3,169","3,695","2,113","2,195","3,697","3,220"
2021년02월_계_40~49세,"44,062","5,018","9,169","2,075","4,413","2,515","2,758","3,771","2,664","4,105","3,352","4,222"
2021년02월_계_50~59세,"48,049","6,556","9,334","3,023","4,804","3,494","3,150","3,469","2,984","3,554","3,252","4,429"
2021년02월_계_60~69세,"33,990","4,596","6,118","2,722","3,583","2,724","2,573","2,357","2,141","2,004","2,328","2,844"
2021년02월_계_70~79세,"15,172","1,914","2,513","1,353","1,389","1,114","1,288","1,133","1,207",925,943,"1,393"
2021년02월_계_80~89세,"7,658",780,"1,094",589,692,433,700,658,807,614,379,912
2021년02월_계_90~99세,"1,205",130,177,98,116,66,109,84,102,84,69,170
2021년02월_계_100세 이상,74,12,13,8,3,9,5,0,5,3,5,11
2021년02월_남_총인구수,"135,192","17,753","26,551","8,046","13,187","9,078","9,097","10,691","7,992","10,192","10,330","12,275"
2021년02월_남_연령구간인구수,"135,192","17,753","26,551","8,046","13,187","9,078","9,097","10,691","7,992","10,192","10,330","12,275"
2021년02월_남_0~9세,"10,323",993,"2,379",337,"1,131",455,608,947,485,975,"1,128",885
2021년02월_남_10~19세,"13,571","1,382","3,151",443,"1,428",608,720,"1,118",831,"1,559",908,"1,423"
2021년02월_남_20~29세,"19,873","2,984","3,748","1,368","1,917","1,476","1,390","1,464","1,073","1,333","1,295","1,825"
2021년02월_남_30~39세,"19,622","2,641","3,602","1,251","1,700","1,319","1,657","1,843","1,083","1,042","1,878","1,606"
2021년02월_남_40~49세,"21,717","2,694","4,479","1,114","2,085","1,357","1,309","1,802","1,288","1,867","1,745","1,977"
2021년02월_남_50~59세,"23,463","3,420","4,498","1,425","2,232","1,800","1,461","1,647","1,408","1,775","1,553","2,244"
2021년02월_남_60~69세,"16,729","2,388","3,071","1,289","1,780","1,359","1,177","1,113",988,989,"1,198","1,377"
2021년02월_남_70~79세,"6,824",912,"1,189",605,634,535,513,471,494,403,469,599
2021년02월_남_80~89세,"2,720",297,387,194,251,152,235,260,302,216,134,292
2021년02월_남_90~99세,329,38,43,19,28,14,26,26,37,33,19,46
2021년02월_남_100세 이상,21,4,4,1,1,3,1,0,3,0,3,1
2021년02월_여_총인구수,"137,341","15,880","26,942","8,000","14,009","8,406","9,984","11,299","8,770","10,771","10,268","13,012"
2021년02월_여_연령구간인구수,"137,341","15,880","26,942","8,000","14,009","8,406","9,984","11,299","8,770","10,771","10,268","13,012"
2021년02월_여_0~9세,"9,872",960,"2,236",313,"1,093",407,561,927,543,873,"1,122",837
2021년02월_여_10~19세,"12,719","1,250","2,995",400,"1,336",555,691,"1,017",784,"1,545",838,"1,308"
2021년02월_여_20~29세,"18,112","2,421","3,452","1,141","1,795","1,287","1,359","1,350","1,023","1,194","1,282","1,808"
2021년02월_여_30~39세,"18,231","1,996","3,512",925,"1,796","1,022","1,512","1,852","1,030","1,153","1,819","1,614"
2021년02월_여_40~49세,"22,345","2,324","4,690",961,"2,328","1,158","1,449","1,969","1,376","2,238","1,607","2,245"
2021년02월_여_50~59세,"24,586","3,136","4,836","1,598","2,572","1,694","1,689","1,822","1,576","1,779","1,699","2,185"
2021년02월_여_60~69세,"17,261","2,208","3,047","1,433","1,803","1,365","1,396","1,244","1,153","1,015","1,130","1,467"
2021년02월_여_70~79세,"8,348","1,002","1,324",748,755,579,775,662,713,522,474,794
2021년02월_여_80~89세,"4,938",483,707,395,441,281,465,398,505,398,245,620
2021년02월_여_90~99세,876,92,134,79,88,52,83,58,65,51,50,124
2021년02월_여_100세 이상,53,8,9,7,2,6,4,0,2,3,2,10
