카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년10월_계_총인구수,"43,205","13,715","6,175","3,660","3,096","1,988","1,161","2,451","3,066","4,506","3,387"
2020년10월_계_연령구간인구수,"43,205","13,715","6,175","3,660","3,096","1,988","1,161","2,451","3,066","4,506","3,387"
2020년10월_계_0~9세,"1,920",943,205,110,83,53,27,81,103,186,129
2020년10월_계_10~19세,"2,283","1,285",189,111,106,39,35,102,84,218,114
2020년10월_계_20~29세,"3,477","1,477",467,223,157,120,66,174,199,334,260
2020년10월_계_30~39세,"3,259","1,364",476,246,185,112,53,131,163,309,220
2020년10월_계_40~49세,"4,762","2,044",592,346,236,169,94,249,265,461,306
2020년10월_계_50~59세,"8,542","2,472","1,409",800,602,413,226,441,601,890,688
2020년10월_계_60~69세,"9,149","2,092","1,451",928,753,508,280,546,802,991,798
2020년10월_계_70~79세,"5,838","1,261",874,514,523,311,201,434,522,674,524
2020년10월_계_80~89세,"3,457",672,439,330,380,234,159,256,276,400,311
2020년10월_계_90~99세,491,100,67,51,65,28,19,37,48,40,36
2020년10월_계_100세 이상,27,5,6,1,6,1,1,0,3,3,1
2020년10월_남_총인구수,"22,357","6,972","3,377","1,992","1,520",995,599,"1,236","1,571","2,307","1,788"
2020년10월_남_연령구간인구수,"22,357","6,972","3,377","1,992","1,520",995,599,"1,236","1,571","2,307","1,788"
2020년10월_남_0~9세,973,464,117,51,44,26,18,37,47,98,71
2020년10월_남_10~19세,"1,284",731,110,72,51,18,20,55,46,122,59
2020년10월_남_20~29세,"2,053",837,294,132,99,74,42,94,121,199,161
2020년10월_남_30~39세,"1,787",704,282,158,105,75,36,71,81,162,113
2020년10월_남_40~49세,"2,854","1,087",415,226,140,114,62,160,185,277,188
2020년10월_남_50~59세,"4,684","1,304",790,472,309,213,131,246,321,502,396
2020년10월_남_60~69세,"4,791","1,049",781,527,403,256,141,278,423,507,426
2020년10월_남_70~79세,"2,692",557,431,243,238,134,93,190,252,299,255
2020년10월_남_80~89세,"1,123",217,138,100,114,81,50,95,84,132,112
2020년10월_남_90~99세,110,21,17,11,16,4,5,10,10,9,7
2020년10월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년10월_여_총인구수,"20,848","6,743","2,798","1,668","1,576",993,562,"1,215","1,495","2,199","1,599"
2020년10월_여_연령구간인구수,"20,848","6,743","2,798","1,668","1,576",993,562,"1,215","1,495","2,199","1,599"
2020년10월_여_0~9세,947,479,88,59,39,27,9,44,56,88,58
2020년10월_여_10~19세,999,554,79,39,55,21,15,47,38,96,55
2020년10월_여_20~29세,"1,424",640,173,91,58,46,24,80,78,135,99
2020년10월_여_30~39세,"1,472",660,194,88,80,37,17,60,82,147,107
2020년10월_여_40~49세,"1,908",957,177,120,96,55,32,89,80,184,118
2020년10월_여_50~59세,"3,858","1,168",619,328,293,200,95,195,280,388,292
2020년10월_여_60~69세,"4,358","1,043",670,401,350,252,139,268,379,484,372
2020년10월_여_70~79세,"3,146",704,443,271,285,177,108,244,270,375,269
2020년10월_여_80~89세,"2,334",455,301,230,266,153,109,161,192,268,199
2020년10월_여_90~99세,381,79,50,40,49,24,14,27,38,31,29
2020년10월_여_100세 이상,21,4,4,1,5,1,0,0,2,3,1
