,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년09월_계_총인구수,"103,503","10,633","2,391","1,456","1,968","2,216","3,084","2,781","2,039","1,914","3,139","8,007","6,187","4,107","3,577","6,716","8,259","8,094","18,932","8,003"
2020년09월_계_연령구간인구수,"103,503","10,633","2,391","1,456","1,968","2,216","3,084","2,781","2,039","1,914","3,139","8,007","6,187","4,107","3,577","6,716","8,259","8,094","18,932","8,003"
2020년09월_계_0~9세,"6,208",470,57,25,56,56,87,76,41,27,51,506,344,173,163,508,449,465,"2,099",555
2020년09월_계_10~19세,"8,962",718,103,56,89,112,134,135,85,67,131,985,599,294,252,884,622,724,"2,155",817
2020년09월_계_20~29세,"9,671",925,196,85,148,152,211,166,145,105,137,793,616,306,303,705,946,977,"1,917",838
2020년09월_계_30~39세,"8,640",737,124,53,108,116,166,124,91,84,147,607,467,305,262,540,712,636,"2,579",782
2020년09월_계_40~49세,"14,030","1,246",185,102,181,201,272,283,144,160,213,"1,305",871,492,419,"1,163","1,068","1,088","3,384","1,253"
2020년09월_계_50~59세,"18,158","1,896",498,259,334,359,519,533,380,350,608,"1,399","1,122",715,648,"1,207","1,592","1,617","2,722","1,400"
2020년09월_계_60~69세,"18,098","2,252",539,338,444,512,715,704,538,467,818,"1,137","1,026",862,732,833,"1,447","1,375","2,144","1,215"
2020년09월_계_70~79세,"11,893","1,450",354,287,316,383,543,453,341,334,591,793,724,589,521,568,931,782,"1,233",700
2020년09월_계_80~89세,"6,786",783,293,214,245,267,378,261,230,279,386,402,375,329,245,275,437,370,624,393
2020년09월_계_90~99세,996,144,41,34,45,55,58,39,43,40,53,77,40,38,31,31,51,58,72,46
2020년09월_계_100세 이상,61,12,1,3,2,3,1,7,1,1,4,3,3,4,1,2,4,2,3,4
2020년09월_남_총인구수,"51,284","5,223","1,232",736,"1,001","1,125","1,555","1,417","1,015",959,"1,554","3,997","2,967","1,993","1,710","3,345","4,051","4,046","9,507","3,851"
2020년09월_남_연령구간인구수,"51,284","5,223","1,232",736,"1,001","1,125","1,555","1,417","1,015",959,"1,554","3,997","2,967","1,993","1,710","3,345","4,051","4,046","9,507","3,851"
2020년09월_남_0~9세,"3,198",247,29,16,29,32,44,39,24,15,28,263,176,99,94,254,209,233,"1,085",282
2020년09월_남_10~19세,"4,684",357,51,27,46,58,73,68,44,39,73,526,296,133,138,467,345,403,"1,111",429
2020년09월_남_20~29세,"5,674",578,126,56,95,96,134,104,96,73,71,475,354,185,166,435,525,584,"1,083",438
2020년09월_남_30~39세,"4,625",390,74,31,67,76,107,69,53,52,86,323,256,167,130,274,384,348,"1,326",412
2020년09월_남_40~49세,"7,268",665,108,69,113,117,169,178,81,100,135,626,433,258,206,555,543,527,"1,762",623
2020년09월_남_50~59세,"9,257",942,281,146,178,193,270,276,200,182,324,737,573,387,335,627,757,800,"1,384",665
2020년09월_남_60~69세,"8,664","1,104",279,171,240,270,364,355,270,253,409,541,454,388,315,366,660,643,"1,005",577
2020년09월_남_70~79세,"5,317",635,170,137,148,173,256,226,155,146,279,345,287,251,232,264,436,356,522,299
2020년09월_남_80~89세,"2,371",273,103,72,77,98,129,88,84,88,140,152,128,113,88,92,179,137,212,118
2020년09월_남_90~99세,213,28,11,11,8,12,9,12,7,10,8,9,9,11,6,11,12,15,16,8
2020년09월_남_100세 이상,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년09월_여_총인구수,"52,219","5,410","1,159",720,967,"1,091","1,529","1,364","1,024",955,"1,585","4,010","3,220","2,114","1,867","3,371","4,208","4,048","9,425","4,152"
2020년09월_여_연령구간인구수,"52,219","5,410","1,159",720,967,"1,091","1,529","1,364","1,024",955,"1,585","4,010","3,220","2,114","1,867","3,371","4,208","4,048","9,425","4,152"
2020년09월_여_0~9세,"3,010",223,28,9,27,24,43,37,17,12,23,243,168,74,69,254,240,232,"1,014",273
2020년09월_여_10~19세,"4,278",361,52,29,43,54,61,67,41,28,58,459,303,161,114,417,277,321,"1,044",388
2020년09월_여_20~29세,"3,997",347,70,29,53,56,77,62,49,32,66,318,262,121,137,270,421,393,834,400
2020년09월_여_30~39세,"4,015",347,50,22,41,40,59,55,38,32,61,284,211,138,132,266,328,288,"1,253",370
2020년09월_여_40~49세,"6,762",581,77,33,68,84,103,105,63,60,78,679,438,234,213,608,525,561,"1,622",630
2020년09월_여_50~59세,"8,901",954,217,113,156,166,249,257,180,168,284,662,549,328,313,580,835,817,"1,338",735
2020년09월_여_60~69세,"9,434","1,148",260,167,204,242,351,349,268,214,409,596,572,474,417,467,787,732,"1,139",638
2020년09월_여_70~79세,"6,576",815,184,150,168,210,287,227,186,188,312,448,437,338,289,304,495,426,711,401
2020년09월_여_80~89세,"4,415",510,190,142,168,169,249,173,146,191,246,250,247,216,157,183,258,233,412,275
2020년09월_여_90~99세,783,116,30,23,37,43,49,27,36,30,45,68,31,27,25,20,39,43,56,38
2020년09월_여_100세 이상,48,8,1,3,2,3,1,5,0,0,3,3,2,3,1,2,3,2,2,4
