카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년02월_계_총인구수,"370,108","21,860","26,793","34,352","21,013","35,995","18,568","31,766","17,849","22,542","17,678","17,331","8,918","9,195","18,109","19,076","12,895","12,622","23,546"
2020년02월_계_연령구간인구수,"370,108","21,860","26,793","34,352","21,013","35,995","18,568","31,766","17,849","22,542","17,678","17,331","8,918","9,195","18,109","19,076","12,895","12,622","23,546"
2020년02월_계_0~9세,"25,451","1,558","1,243","3,094","1,239","2,661","1,084","3,248","1,347","1,776",680,"1,269",315,494,"1,054","2,028",515,521,"1,325"
2020년02월_계_10~19세,"24,741","1,397",905,"2,893","1,085","2,279","1,003","2,960","1,052","1,699",955,"1,215",630,661,"1,175","1,731",840,650,"1,611"
2020년02월_계_20~29세,"57,153","2,812","6,032","3,977","3,564","7,240","2,686","3,570","2,736","3,664","3,354","2,224","1,283","1,194","3,020","2,655","2,022","1,913","3,207"
2020년02월_계_30~39세,"66,436","3,408","6,407","5,444","4,254","7,754","3,363","5,767","4,347","5,051","3,005","2,590","1,079","1,111","2,935","3,257","1,499","1,721","3,444"
2020년02월_계_40~49세,"55,973","3,280","3,465","5,533","3,023","5,034","2,900","5,770","2,882","3,471","2,511","2,629","1,242","1,383","2,562","3,195","1,852","1,772","3,469"
2020년02월_계_50~59세,"56,422","3,730","3,633","5,114","3,129","4,612","3,041","4,070","2,130","3,122","2,662","3,014","1,680","1,712","2,839","2,881","2,362","2,297","4,394"
2020년02월_계_60~69세,"44,918","3,124","2,921","4,037","2,577","3,529","2,255","3,444","1,742","2,132","2,241","2,422","1,433","1,449","2,515","1,899","1,951","1,842","3,405"
2020년02월_계_70~79세,"26,493","1,777","1,519","2,664","1,441","1,876","1,515","1,996","1,096","1,085","1,533","1,377",849,831,"1,370",975,"1,326","1,367","1,896"
2020년02월_계_80~89세,"10,753",649,553,"1,376",609,847,633,794,435,473,634,512,343,305,550,390,454,483,713
