,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년04월_계_총인구수,"1,796,331","656,755","338,010","318,745","266,878","280,399","107,555","80,196","82,031","91,127","25,244","23,912","21,910","27,038","27,378","54,222","51,686"
2021년04월_계_연령구간인구수,"1,796,331","656,755","338,010","318,745","266,878","280,399","107,555","80,196","82,031","91,127","25,244","23,912","21,910","27,038","27,378","54,222","51,686"
2021년04월_계_0~9세,"125,253","53,121","24,193","28,928","20,406","18,509","6,174","4,839","4,172","6,675","1,229","1,152","1,105","1,330","1,413","2,614","2,514"
2021년04월_계_10~19세,"172,628","70,926","35,530","35,396","26,501","27,547","9,499","7,154","6,102","8,175","1,647","1,812","1,640","1,644","2,177","4,161","3,643"
2021년04월_계_20~29세,"209,487","92,833","49,187","43,646","29,479","35,693","10,422","7,496","7,080","8,844","1,910","1,736","1,617","2,017","2,018","4,162","4,180"
2021년04월_계_30~39세,"185,964","81,467","39,589","41,878","29,962","27,877","8,667","6,269","6,486","9,130","1,581","1,676","1,507","1,862","1,889","3,774","3,817"
2021년04월_계_40~49세,"265,638","106,459","52,752","53,707","43,210","41,385","14,571","10,543","9,904","13,417","2,665","2,813","2,517","2,761","3,230","6,120","6,043"
2021년04월_계_50~59세,"298,144","106,224","57,048","49,176","44,060","48,530","18,192","13,620","13,507","15,120","4,455","4,143","3,629","4,605","4,442","8,912","8,705"
2021년04월_계_60~69세,"261,328","78,480","43,135","35,345","38,212","41,359","17,305","13,269","14,876","14,271","5,034","4,518","4,309","5,081","4,924","9,927","9,763"
2021년04월_계_70~79세,"170,497","44,357","24,100","20,257","23,106","24,719","13,243","9,765","11,414","9,288","3,796","3,332","3,098","4,246","4,123","8,315","7,695"
2021년04월_계_80~89세,"92,815","19,959","10,794","9,165","10,281","12,599","8,246","6,232","7,218","5,357","2,533","2,374","2,174","3,039","2,768","5,359","4,676"
2021년04월_계_90~99세,"14,018","2,838","1,626","1,212","1,601","2,087","1,172",978,"1,231",817,377,334,303,436,372,844,628
2021년04월_계_100세 이상,559,91,56,35,60,94,64,31,41,33,17,22,11,17,22,34,22
2021년04월_남_총인구수,"893,415","323,164","164,576","158,588","134,918","139,726","53,439","39,331","40,661","46,842","12,756","11,915","10,935","13,856","13,366","26,821","25,685"
2021년04월_남_연령구간인구수,"893,415","323,164","164,576","158,588","134,918","139,726","53,439","39,331","40,661","46,842","12,756","11,915","10,935","13,856","13,366","26,821","25,685"
2021년04월_남_0~9세,"64,295","27,193","12,442","14,751","10,398","9,523","3,165","2,567","2,172","3,331",598,617,578,714,732,"1,386","1,321"
2021년04월_남_10~19세,"89,424","36,694","18,514","18,180","13,686","14,137","5,040","3,682","3,115","4,270",875,923,830,866,"1,123","2,272","1,911"
2021년04월_남_20~29세,"113,225","48,683","25,429","23,254","16,211","19,439","5,782","4,197","3,963","4,929","1,093",966,916,"1,187","1,134","2,371","2,354"
2021년04월_남_30~39세,"96,038","41,224","20,088","21,136","15,679","14,622","4,614","3,198","3,448","4,736",766,921,784,"1,032",921,"2,027","2,066"
2021년04월_남_40~49세,"136,817","52,127","25,247","26,880","22,650","21,133","7,659","5,406","5,548","7,390","1,552","1,564","1,426","1,682","1,829","3,466","3,385"
2021년04월_남_50~59세,"154,498","52,189","27,552","24,637","23,131","24,667","9,832","7,280","7,378","8,456","2,518","2,296","2,046","2,632","2,408","4,892","4,773"
2021년04월_남_60~69세,"129,133","37,411","20,343","17,068","18,815","20,479","8,609","6,609","7,491","7,406","2,676","2,327","2,204","2,755","2,526","4,933","4,892"
2021년04월_남_70~79세,"75,612","19,743","10,753","8,990","10,483","11,108","5,759","4,154","4,989","4,327","1,754","1,395","1,360","1,861","1,699","3,628","3,352"
2021년04월_남_80~89세,"31,193","7,238","3,834","3,404","3,519","4,131","2,712","2,011","2,285","1,812",831,826,718,"1,014",897,"1,708","1,491"
2021년04월_남_90~99세,"3,083",647,364,283,336,464,258,221,264,179,88,76,71,109,96,136,138
2021년04월_남_100세 이상,97,15,10,5,10,23,9,6,8,6,5,4,2,4,1,2,2
2021년04월_여_총인구수,"902,916","333,591","173,434","160,157","131,960","140,673","54,116","40,865","41,370","44,285","12,488","11,997","10,975","13,182","14,012","27,401","26,001"
2021년04월_여_연령구간인구수,"902,916","333,591","173,434","160,157","131,960","140,673","54,116","40,865","41,370","44,285","12,488","11,997","10,975","13,182","14,012","27,401","26,001"
2021년04월_여_0~9세,"60,958","25,928","11,751","14,177","10,008","8,986","3,009","2,272","2,000","3,344",631,535,527,616,681,"1,228","1,193"
2021년04월_여_10~19세,"83,204","34,232","17,016","17,216","12,815","13,410","4,459","3,472","2,987","3,905",772,889,810,778,"1,054","1,889","1,732"
2021년04월_여_20~29세,"96,262","44,150","23,758","20,392","13,268","16,254","4,640","3,299","3,117","3,915",817,770,701,830,884,"1,791","1,826"
2021년04월_여_30~39세,"89,926","40,243","19,501","20,742","14,283","13,255","4,053","3,071","3,038","4,394",815,755,723,830,968,"1,747","1,751"
2021년04월_여_40~49세,"128,821","54,332","27,505","26,827","20,560","20,252","6,912","5,137","4,356","6,027","1,113","1,249","1,091","1,079","1,401","2,654","2,658"
2021년04월_여_50~59세,"143,646","54,035","29,496","24,539","20,929","23,863","8,360","6,340","6,129","6,664","1,937","1,847","1,583","1,973","2,034","4,020","3,932"
2021년04월_여_60~69세,"132,195","41,069","22,792","18,277","19,397","20,880","8,696","6,660","7,385","6,865","2,358","2,191","2,105","2,326","2,398","4,994","4,871"
2021년04월_여_70~79세,"94,885","24,614","13,347","11,267","12,623","13,611","7,484","5,611","6,425","4,961","2,042","1,937","1,738","2,385","2,424","4,687","4,343"
2021년04월_여_80~89세,"61,622","12,721","6,960","5,761","6,762","8,468","5,534","4,221","4,933","3,545","1,702","1,548","1,456","2,025","1,871","3,651","3,185"
