,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년03월_계_총인구수,"25,621","10,295",830,"1,053","1,424",894,"1,971","1,795","1,873","2,904","1,069","1,513"
2020년03월_계_연령구간인구수,"25,621","10,295",830,"1,053","1,424",894,"1,971","1,795","1,873","2,904","1,069","1,513"
2020년03월_계_0~9세,"1,361",739,16,47,73,31,85,82,59,142,49,38
2020년03월_계_10~19세,"1,694",864,26,61,82,41,89,84,91,227,60,69
2020년03월_계_20~29세,"2,015",949,44,65,76,62,153,134,142,236,67,87
2020년03월_계_30~39세,"1,777",900,39,55,62,61,117,99,106,202,81,55
2020년03월_계_40~49세,"2,864","1,395",65,85,127,87,209,182,162,326,89,137
2020년03월_계_50~59세,"4,665","1,765",175,206,272,171,352,318,340,558,213,295
2020년03월_계_60~69세,"4,672","1,531",212,203,287,197,392,371,376,586,210,307
2020년03월_계_70~79세,"3,782","1,248",160,180,240,140,317,304,351,368,162,312
2020년03월_계_80~89세,"2,400",789,77,131,167,97,222,189,212,218,118,180
2020년03월_계_90~99세,365,106,14,20,35,7,34,26,31,40,19,33
2020년03월_계_100세 이상,26,9,2,0,3,0,1,6,3,1,1,0
2020년03월_남_총인구수,"12,931","5,186",416,512,670,458,"1,012",899,921,"1,517",562,778
2020년03월_남_연령구간인구수,"12,931","5,186",416,512,670,458,"1,012",899,921,"1,517",562,778
2020년03월_남_0~9세,687,364,8,23,29,13,46,46,32,73,29,24
2020년03월_남_10~19세,891,443,14,28,38,20,53,45,51,128,34,37
2020년03월_남_20~29세,"1,141",543,25,39,47,38,84,66,65,142,44,48
2020년03월_남_30~39세,865,410,25,29,25,32,69,45,48,100,48,34
2020년03월_남_40~49세,"1,675",798,39,45,64,48,135,118,103,187,53,85
2020년03월_남_50~59세,"2,636",977,96,106,152,97,202,190,202,325,109,180
2020년03월_남_60~69세,"2,449",814,113,112,153,106,194,189,188,306,117,157
2020년03월_남_70~79세,"1,716",552,71,78,108,69,148,142,148,179,78,143
2020년03월_남_80~89세,766,250,22,47,43,33,76,50,74,65,44,62
2020년03월_남_90~99세,96,31,2,5,10,2,5,6,9,12,6,8
2020년03월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년03월_여_총인구수,"12,690","5,109",414,541,754,436,959,896,952,"1,387",507,735
2020년03월_여_연령구간인구수,"12,690","5,109",414,541,754,436,959,896,952,"1,387",507,735
2020년03월_여_0~9세,674,375,8,24,44,18,39,36,27,69,20,14
2020년03월_여_10~19세,803,421,12,33,44,21,36,39,40,99,26,32
2020년03월_여_20~29세,874,406,19,26,29,24,69,68,77,94,23,39
2020년03월_여_30~39세,912,490,14,26,37,29,48,54,58,102,33,21
2020년03월_여_40~49세,"1,189",597,26,40,63,39,74,64,59,139,36,52
2020년03월_여_50~59세,"2,029",788,79,100,120,74,150,128,138,233,104,115
2020년03월_여_60~69세,"2,223",717,99,91,134,91,198,182,188,280,93,150
2020년03월_여_70~79세,"2,066",696,89,102,132,71,169,162,203,189,84,169
2020년03월_여_80~89세,"1,634",539,55,84,124,64,146,139,138,153,74,118
2020년03월_여_90~99세,269,75,12,15,25,5,29,20,22,28,13,25
2020년03월_여_100세 이상,17,5,1,0,2,0,1,4,2,1,1,0
