카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년05월_계_총인구수,"37,095","15,151","4,878","3,332","2,315","2,808","1,237","2,089","1,065","1,442","2,778"
2021년05월_계_연령구간인구수,"37,095","15,151","4,878","3,332","2,315","2,808","1,237","2,089","1,065","1,442","2,778"
2021년05월_계_0~9세,"1,914","1,249",146,130,82,76,35,40,13,40,103
2021년05월_계_10~19세,"2,682","1,545",280,195,107,130,47,102,34,73,169
2021년05월_계_20~29세,"2,998","1,584",321,208,130,192,67,140,58,88,210
2021년05월_계_30~39세,"2,637","1,486",270,180,138,158,66,88,46,52,153
2021년05월_계_40~49세,"3,961","2,064",400,322,192,250,93,148,92,140,260
2021년05월_계_50~59세,"6,212","2,475",838,558,337,486,206,379,245,243,445
2021년05월_계_60~69세,"6,666","2,190",991,681,510,576,261,391,254,249,563
2021년05월_계_70~79세,"5,391","1,476",888,566,406,473,211,396,173,262,540
2021년05월_계_80~89세,"3,958",904,641,423,338,382,225,366,128,241,310
2021년05월_계_90~99세,652,167,100,67,72,84,24,38,22,53,25
2021년05월_계_100세 이상,24,11,3,2,3,1,2,1,0,1,0
2021년05월_남_총인구수,"18,032","7,384","2,380","1,600","1,117","1,375",587,990,540,704,"1,355"
2021년05월_남_연령구간인구수,"18,032","7,384","2,380","1,600","1,117","1,375",587,990,540,704,"1,355"
2021년05월_남_0~9세,956,614,82,49,45,48,14,19,4,24,57
2021년05월_남_10~19세,"1,423",804,163,102,60,76,23,50,20,36,89
2021년05월_남_20~29세,"1,696",878,187,117,78,111,33,78,37,48,129
2021년05월_남_30~39세,"1,387",729,146,98,85,95,37,52,29,27,89
2021년05월_남_40~49세,"2,184","1,033",233,201,117,147,62,99,55,84,153
2021년05월_남_50~59세,"3,396","1,316",450,313,186,275,121,214,145,146,230
2021년05월_남_60~69세,"3,327","1,052",511,341,272,297,130,203,131,131,259
2021년05월_남_70~79세,"2,301",637,367,238,167,208,96,164,75,111,238
2021년05월_남_80~89세,"1,233",290,217,126,96,103,65,104,38,87,107
2021년05월_남_90~99세,126,30,24,15,11,15,5,7,6,9,4
2021년05월_남_100세 이상,3,1,0,0,0,0,1,0,0,1,0
2021년05월_여_총인구수,"19,063","7,767","2,498","1,732","1,198","1,433",650,"1,099",525,738,"1,423"
2021년05월_여_연령구간인구수,"19,063","7,767","2,498","1,732","1,198","1,433",650,"1,099",525,738,"1,423"
2021년05월_여_0~9세,958,635,64,81,37,28,21,21,9,16,46
2021년05월_여_10~19세,"1,259",741,117,93,47,54,24,52,14,37,80
2021년05월_여_20~29세,"1,302",706,134,91,52,81,34,62,21,40,81
2021년05월_여_30~39세,"1,250",757,124,82,53,63,29,36,17,25,64
2021년05월_여_40~49세,"1,777","1,031",167,121,75,103,31,49,37,56,107
2021년05월_여_50~59세,"2,816","1,159",388,245,151,211,85,165,100,97,215
2021년05월_여_60~69세,"3,339","1,138",480,340,238,279,131,188,123,118,304
2021년05월_여_70~79세,"3,090",839,521,328,239,265,115,232,98,151,302
2021년05월_여_80~89세,"2,725",614,424,297,242,279,160,262,90,154,203
2021년05월_여_90~99세,526,137,76,52,61,69,19,31,16,44,21
2021년05월_여_100세 이상,21,10,3,2,3,1,1,1,0,0,0
