,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년07월_계_총인구수,"69,232","34,924","4,638","2,412","2,392","3,769","3,945","6,205","3,785","3,920","3,242"
2020년07월_계_연령구간인구수,"69,232","34,924","4,638","2,412","2,392","3,769","3,945","6,205","3,785","3,920","3,242"
2020년07월_계_0~9세,"3,866","2,723",128,39,48,134,98,365,96,118,117
2020년07월_계_10~19세,"5,292","3,629",163,113,112,209,164,417,135,194,156
2020년07월_계_20~29세,"6,973","4,196",392,145,119,269,265,850,256,290,191
2020년07월_계_30~39세,"6,199","3,992",316,100,98,206,197,584,249,257,200
2020년07월_계_40~49세,"8,348","5,353",382,161,202,331,350,566,354,353,296
2020년07월_계_50~59세,"12,912","6,050",844,467,501,830,787,"1,027",761,860,785
2020년07월_계_60~69세,"13,361","4,869","1,199",662,679,927,"1,066","1,172","1,029",933,825
2020년07월_계_70~79세,"7,328","2,536",704,420,376,493,599,703,558,521,418
2020년07월_계_80~89세,"4,300","1,359",425,260,231,327,373,461,290,352,222
2020년07월_계_90~99세,611,201,80,45,26,39,39,59,54,37,31
2020년07월_계_100세 이상,42,16,5,0,0,4,7,1,3,5,1
2020년07월_남_총인구수,"35,669","17,643","2,444","1,212","1,260","1,920","2,032","3,372","1,990","2,072","1,724"
2020년07월_남_연령구간인구수,"35,669","17,643","2,444","1,212","1,260","1,920","2,032","3,372","1,990","2,072","1,724"
2020년07월_남_0~9세,"1,944","1,354",59,23,31,71,47,191,47,59,62
2020년07월_남_10~19세,"2,745","1,872",89,66,67,108,95,185,72,108,83
2020년07월_남_20~29세,"4,235","2,429",263,86,67,168,156,637,147,172,110
2020년07월_남_30~39세,"3,375","2,100",192,51,63,105,112,338,159,147,108
2020년07월_남_40~49세,"4,493","2,714",243,94,127,185,208,326,211,217,168
2020년07월_남_50~59세,"6,808","3,133",456,243,260,427,423,553,397,470,446
2020년07월_남_60~69세,"6,919","2,430",626,344,360,484,544,628,559,509,435
2020년07월_남_70~79세,"3,463","1,093",354,192,201,247,304,336,271,250,215
2020년07월_남_80~89세,"1,507",466,137,102,75,113,130,161,107,129,87
2020년07월_남_90~99세,171,51,22,11,9,11,12,17,20,9,9
2020년07월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1
2020년07월_여_총인구수,"33,563","17,281","2,194","1,200","1,132","1,849","1,913","2,833","1,795","1,848","1,518"
2020년07월_여_연령구간인구수,"33,563","17,281","2,194","1,200","1,132","1,849","1,913","2,833","1,795","1,848","1,518"
2020년07월_여_0~9세,"1,922","1,369",69,16,17,63,51,174,49,59,55
2020년07월_여_10~19세,"2,547","1,757",74,47,45,101,69,232,63,86,73
2020년07월_여_20~29세,"2,738","1,767",129,59,52,101,109,213,109,118,81
2020년07월_여_30~39세,"2,824","1,892",124,49,35,101,85,246,90,110,92
2020년07월_여_40~49세,"3,855","2,639",139,67,75,146,142,240,143,136,128
2020년07월_여_50~59세,"6,104","2,917",388,224,241,403,364,474,364,390,339
2020년07월_여_60~69세,"6,442","2,439",573,318,319,443,522,544,470,424,390
2020년07월_여_70~79세,"3,865","1,443",350,228,175,246,295,367,287,271,203
2020년07월_여_80~89세,"2,793",893,288,158,156,214,243,300,183,223,135
2020년07월_여_90~99세,440,150,58,34,17,28,27,42,34,28,22
2020년07월_여_100세 이상,33,15,2,0,0,3,6,1,3,3,0
