카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년07월_계_총인구수,"71,242","5,848","1,110","3,215",854,"2,452","3,095","2,388","2,781","1,965","3,582","2,651","5,804","7,118","8,966","3,140","16,273"
2021년07월_계_연령구간인구수,"71,242","5,848","1,110","3,215",854,"2,452","3,095","2,388","2,781","1,965","3,582","2,651","5,804","7,118","8,966","3,140","16,273"
2021년07월_계_0~9세,"3,897",206,35,106,11,56,93,40,60,83,96,78,354,442,614,121,"1,502"
2021년07월_계_10~19세,"5,503",366,60,148,39,271,126,151,104,80,119,86,401,575,844,150,"1,983"
2021년07월_계_20~29세,"6,219",369,69,163,34,143,191,330,151,89,223,126,524,625,848,202,"2,132"
2021년07월_계_30~39세,"5,528",359,49,154,45,87,161,101,118,99,203,130,545,647,763,250,"1,817"
2021년07월_계_40~49세,"8,603",595,91,256,75,181,259,169,214,173,285,184,704,864,"1,317",317,"2,919"
2021년07월_계_50~59세,"11,816","1,000",223,520,183,327,477,377,471,343,621,499,971,"1,102","1,516",516,"2,670"
2021년07월_계_60~69세,"13,933","1,332",278,753,222,588,744,546,671,529,786,685,"1,174","1,423","1,588",702,"1,912"
2021년07월_계_70~79세,"9,128",957,169,569,140,384,541,352,510,315,682,461,734,950,935,517,912
2021년07월_계_80~89세,"5,734",572,118,467,91,354,421,281,417,219,497,329,363,436,475,329,365
2021년07월_계_90~99세,842,81,18,77,13,61,81,41,60,35,65,68,33,52,63,35,59
2021년07월_계_100세 이상,39,11,0,2,1,0,1,0,5,0,5,5,1,2,3,1,2
2021년07월_남_총인구수,"34,994","2,833",567,"1,561",447,"1,285","1,560","1,139","1,378","1,011","1,702","1,227","2,830","3,461","4,465","1,583","7,945"
2021년07월_남_연령구간인구수,"34,994","2,833",567,"1,561",447,"1,285","1,560","1,139","1,378","1,011","1,702","1,227","2,830","3,461","4,465","1,583","7,945"
2021년07월_남_0~9세,"2,010",100,18,52,3,26,51,19,35,43,42,42,202,224,331,51,771
2021년07월_남_10~19세,"2,985",188,32,88,23,174,62,84,55,43,69,46,224,306,487,88,"1,016"
2021년07월_남_20~29세,"3,530",223,47,99,19,87,128,132,95,54,129,77,306,371,513,124,"1,126"
2021년07월_남_30~39세,"2,924",208,27,86,17,53,86,59,73,57,115,73,285,345,389,141,910
2021년07월_남_40~49세,"4,610",323,54,142,42,115,174,96,131,107,183,112,386,467,690,197,"1,391"
2021년07월_남_50~59세,"6,140",523,128,279,110,191,275,214,270,176,351,250,453,550,749,301,"1,320"
2021년07월_남_60~69세,"6,801",652,144,396,136,306,370,284,360,313,391,334,516,629,733,346,891
2021년07월_남_70~79세,"3,967",398,76,245,62,192,250,153,223,137,278,192,314,421,392,234,400
2021년07월_남_80~89세,"1,851",199,38,154,35,127,150,91,121,74,130,87,135,141,163,97,109
2021년07월_남_90~99세,167,15,3,20,0,14,14,7,13,7,13,13,9,7,18,4,10
2021년07월_남_100세 이상,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021년07월_여_총인구수,"36,248","3,015",543,"1,654",407,"1,167","1,535","1,249","1,403",954,"1,880","1,424","2,974","3,657","4,501","1,557","8,328"
2021년07월_여_연령구간인구수,"36,248","3,015",543,"1,654",407,"1,167","1,535","1,249","1,403",954,"1,880","1,424","2,974","3,657","4,501","1,557","8,328"
2021년07월_여_0~9세,"1,887",106,17,54,8,30,42,21,25,40,54,36,152,218,283,70,731
2021년07월_여_10~19세,"2,518",178,28,60,16,97,64,67,49,37,50,40,177,269,357,62,967
2021년07월_여_20~29세,"2,689",146,22,64,15,56,63,198,56,35,94,49,218,254,335,78,"1,006"
2021년07월_여_30~39세,"2,604",151,22,68,28,34,75,42,45,42,88,57,260,302,374,109,907
2021년07월_여_40~49세,"3,993",272,37,114,33,66,85,73,83,66,102,72,318,397,627,120,"1,528"
2021년07월_여_50~59세,"5,676",477,95,241,73,136,202,163,201,167,270,249,518,552,767,215,"1,350"
2021년07월_여_60~69세,"7,132",680,134,357,86,282,374,262,311,216,395,351,658,794,855,356,"1,021"
2021년07월_여_70~79세,"5,161",559,93,324,78,192,291,199,287,178,404,269,420,529,543,283,512
2021년07월_여_80~89세,"3,883",373,80,313,56,227,271,190,296,145,367,242,228,295,312,232,256
2021년07월_여_90~99세,675,66,15,57,13,47,67,34,47,28,52,55,24,45,45,31,49
2021년07월_여_100세 이상,30,7,0,2,1,0,1,0,3,0,4,4,1,2,3,1,1
