,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년09월_계_총인구수,"42,782","13,485","6,109","3,638","3,107","2,007","1,189","2,421","3,042","4,455","3,329"
2021년09월_계_연령구간인구수,"42,782","13,485","6,109","3,638","3,107","2,007","1,189","2,421","3,042","4,455","3,329"
2021년09월_계_0~9세,"1,855",898,201,112,86,59,25,68,97,186,123
2021년09월_계_10~19세,"2,194","1,255",196,102,101,39,36,88,82,188,107
2021년09월_계_20~29세,"3,180","1,387",416,201,138,106,56,173,186,289,228
2021년09월_계_30~39세,"3,157","1,307",452,233,173,116,55,126,175,298,222
2021년09월_계_40~49세,"4,541","1,993",576,326,226,157,96,218,251,419,279
2021년09월_계_50~59세,"8,099","2,376","1,286",751,572,391,232,428,550,855,658
2021년09월_계_60~69세,"9,789","2,189","1,572","1,001",844,548,295,591,842,"1,073",834
2021년09월_계_70~79세,"5,890","1,285",904,523,503,314,217,424,518,672,530
2021년09월_계_80~89세,"3,551",694,431,337,399,243,154,267,291,421,314
2021년09월_계_90~99세,517,101,70,52,65,32,23,38,49,54,33
2021년09월_계_100세 이상,9,0,5,0,0,2,0,0,1,0,1
2021년09월_남_총인구수,"22,155","6,837","3,339","1,999","1,537",995,621,"1,227","1,571","2,262","1,767"
2021년09월_남_연령구간인구수,"22,155","6,837","3,339","1,999","1,537",995,621,"1,227","1,571","2,262","1,767"
2021년09월_남_0~9세,930,423,108,61,49,25,18,35,47,99,65
2021년09월_남_10~19세,"1,204",699,105,64,42,19,23,47,40,106,59
2021년09월_남_20~29세,"1,915",798,278,125,88,63,36,102,114,176,135
2021년09월_남_30~39세,"1,707",663,271,150,94,72,35,67,88,153,114
2021년09월_남_40~49세,"2,698","1,061",400,210,131,104,60,141,175,247,169
2021년09월_남_50~59세,"4,472","1,271",712,447,305,202,129,246,300,480,380
2021년09월_남_60~69세,"5,173","1,104",856,568,453,279,160,296,445,544,468
2021년09월_남_70~79세,"2,768",564,451,261,234,146,105,190,256,307,254
2021년09월_남_80~89세,"1,176",233,144,105,124,79,51,94,92,141,113
2021년09월_남_90~99세,112,21,14,8,17,6,4,9,14,9,10
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"20,627","6,648","2,770","1,639","1,570","1,012",568,"1,194","1,471","2,193","1,562"
2021년09월_여_연령구간인구수,"20,627","6,648","2,770","1,639","1,570","1,012",568,"1,194","1,471","2,193","1,562"
2021년09월_여_0~9세,925,475,93,51,37,34,7,33,50,87,58
2021년09월_여_10~19세,990,556,91,38,59,20,13,41,42,82,48
2021년09월_여_20~29세,"1,265",589,138,76,50,43,20,71,72,113,93
2021년09월_여_30~39세,"1,450",644,181,83,79,44,20,59,87,145,108
2021년09월_여_40~49세,"1,843",932,176,116,95,53,36,77,76,172,110
2021년09월_여_50~59세,"3,627","1,105",574,304,267,189,103,182,250,375,278
2021년09월_여_60~69세,"4,616","1,085",716,433,391,269,135,295,397,529,366
2021년09월_여_70~79세,"3,122",721,453,262,269,168,112,234,262,365,276
2021년09월_여_80~89세,"2,375",461,287,232,275,164,103,173,199,280,201
2021년09월_여_90~99세,405,80,56,44,48,26,19,29,35,45,23
2021년09월_여_100세 이상,9,0,5,0,0,2,0,0,1,0,1
