,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년10월_계_총인구수,"1,187,638","274,480","23,682","43,347","29,845","30,194","42,996","20,305","19,732","28,880","19,184","16,315","369,314","10,485","23,661","19,432","41,037","38,281","24,901","45,892","46,438","24,863","49,781","27,609","16,934","174,683","5,994","10,729","9,096","23,321","26,869","11,373","20,590","17,325","38,424","10,962","369,161","18,525","15,217","36,424","22,058","39,146","36,157","26,893","32,976","31,748","28,393","53,342","28,282"
2020년10월_계_연령구간인구수,"1,187,638","274,480","23,682","43,347","29,845","30,194","42,996","20,305","19,732","28,880","19,184","16,315","369,314","10,485","23,661","19,432","41,037","38,281","24,901","45,892","46,438","24,863","49,781","27,609","16,934","174,683","5,994","10,729","9,096","23,321","26,869","11,373","20,590","17,325","38,424","10,962","369,161","18,525","15,217","36,424","22,058","39,146","36,157","26,893","32,976","31,748","28,393","53,342","28,282"
2020년10월_계_0~9세,"98,328","18,603","1,404","3,153","2,550","2,030","3,722",864,"1,162","1,553","1,460",705,"32,927",906,"1,124",976,"3,187","2,480","1,469","4,994","7,175","1,323","5,818","1,730","1,745","9,600",244,430,350,"1,542","2,032",441,919,"1,210","2,155",277,"37,198","1,205",942,"2,960","1,389","4,565","3,692","2,658","2,681","3,579","4,400","5,719","3,408"
2020년10월_계_10~19세,"119,069","28,952","1,894","4,282","3,552","3,200","7,032","1,237","1,767","2,832","2,086","1,070","33,606",622,"1,623","1,570","3,609","3,221","2,087","5,025","4,489","1,740","5,457","2,320","1,843","13,974",315,497,579,"2,209","3,059",729,"1,462","1,847","2,790",487,"42,537","1,961","1,537","4,501","2,296","3,553","4,974","2,177","4,352","4,110","3,242","6,880","2,954"
2020년10월_계_20~29세,"186,568","44,116","3,427","10,218","4,147","4,344","6,254","2,725","3,035","4,370","3,002","2,594","54,621","1,497","3,575","2,756","6,368","5,879","3,957","6,278","5,125","4,997","6,828","5,315","2,046","28,720",924,"1,919","1,138","3,181","4,132","1,355","3,228","3,651","7,684","1,508","59,111","3,166","2,504","6,500","3,770","6,502","4,959","5,718","6,441","4,561","3,421","8,471","3,098"
2020년10월_계_30~39세,"179,607","32,847","2,962","5,835","3,495","3,723","4,485","2,465","2,704","3,286","2,056","1,836","58,650","1,731","3,580","2,618","5,797","5,358","3,310","6,733","9,356","4,462","8,070","5,341","2,294","24,656",903,"1,669","1,100","2,697","3,485","1,214","2,929","2,245","7,104","1,310","63,454","2,437","1,961","5,539","3,207","7,594","5,553","6,842","4,502","5,067","5,857","9,623","5,272"
2020년10월_계_40~49세,"203,312","45,617","3,714","6,569","5,459","5,091","9,114","2,968","3,061","4,515","2,948","2,178","61,708","1,485","3,697","3,107","6,192","6,090","3,775","8,134","8,279","3,735","8,996","4,978","3,240","27,376",866,"1,459","1,321","3,890","4,551","1,658","3,062","2,760","6,305","1,504","68,611","3,081","2,461","6,845","3,775","7,270","7,213","4,259","6,155","5,902","5,471","10,800","5,379"
2020년10월_계_50~59세,"196,754","49,407","4,424","6,803","5,308","5,480","7,500","3,995","3,687","5,523","3,836","2,851","62,370","1,892","4,302","3,457","7,613","6,826","4,876","7,669","6,004","4,242","8,003","4,637","2,849","30,627","1,097","1,952","1,756","4,159","5,148","2,142","3,747","2,730","5,719","2,177","54,350","3,311","2,794","5,569","3,793","4,758","5,716","3,129","5,362","5,158","3,653","7,140","3,967"
2020년10월_계_60~69세,"118,651","30,394","3,301","3,713","2,995","3,355","2,737","3,472","2,490","3,697","2,021","2,613","39,369","1,329","3,346","2,816","4,964","4,965","3,234","4,112","3,697","2,736","4,357","2,040","1,773","22,182",896,"1,590","1,500","3,114","2,569","2,029","2,883","1,686","3,935","1,980","26,706","2,069","1,765","2,701","2,303","2,974","2,399","1,191","2,136","2,160","1,520","2,944","2,544"
2020년10월_계_70~79세,"56,366","15,763","1,690","1,737","1,484","1,973","1,345","1,769","1,206","1,986","1,020","1,553","17,383",676,"1,627","1,474","2,184","2,404","1,437","1,909","1,557","1,090","1,500",756,769,"11,888",510,827,944,"1,763","1,217","1,216","1,644",788,"1,827","1,152","11,332",897,846,"1,165",988,"1,294","1,046",598,808,821,539,"1,195","1,135"
