카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년12월_계_총인구수,"83,718","30,013","28,280",0,"3,218","3,524","2,082","6,067","10,534"
2020년12월_계_연령구간인구수,"83,718","30,013","28,280",0,"3,218","3,524","2,082","6,067","10,534"
2020년12월_계_0~9세,"7,728","2,244","4,258",0,85,131,55,203,752
2020년12월_계_10~19세,"8,092","3,233","2,946",0,181,139,77,392,"1,124"
2020년12월_계_20~29세,"9,226","3,886","3,047",0,204,277,100,522,"1,190"
2020년12월_계_30~39세,"11,519","3,202","6,029",0,173,259,121,460,"1,275"
2020년12월_계_40~49세,"13,562","4,992","5,189",0,310,362,169,711,"1,829"
2020년12월_계_50~59세,"13,733","5,339","3,341",0,640,749,376,"1,218","2,070"
2020년12월_계_60~69세,"10,354","3,712","2,023",0,726,777,558,"1,279","1,279"
2020년12월_계_70~79세,"5,532","2,085",846,0,472,459,336,713,621
2020년12월_계_80~89세,"3,487","1,165",533,0,383,325,249,486,346
2020년12월_계_90~99세,465,150,64,0,43,44,38,78,48
2020년12월_계_100세 이상,20,5,4,0,1,2,3,5,0
2020년12월_남_총인구수,"43,836","15,389","14,949",0,"1,659","1,844","1,059","3,204","5,732"
2020년12월_남_연령구간인구수,"43,836","15,389","14,949",0,"1,659","1,844","1,059","3,204","5,732"
2020년12월_남_0~9세,"3,993","1,176","2,182",0,45,63,29,109,389
2020년12월_남_10~19세,"4,234","1,711","1,495",0,95,71,42,201,619
2020년12월_남_20~29세,"5,325","2,209","1,728",0,124,163,63,325,713
2020년12월_남_30~39세,"6,290","1,684","3,259",0,109,150,72,273,743
2020년12월_남_40~49세,"7,411","2,595","2,873",0,189,230,102,418,"1,004"
2020년12월_남_50~59세,"7,493","2,868","1,803",0,370,414,214,679,"1,145"
2020년12월_남_60~69세,"5,284","1,784","1,009",0,385,422,287,698,699
2020년12월_남_70~79세,"2,524",938,385,0,218,220,149,331,283
2020년12월_남_80~89세,"1,190",392,197,0,117,101,94,158,131
2020년12월_남_90~99세,87,30,18,0,7,9,7,10,6
2020년12월_남_100세 이상,5,2,0,0,0,1,0,2,0
2020년12월_여_총인구수,"39,882","14,624","13,331",0,"1,559","1,680","1,023","2,863","4,802"
2020년12월_여_연령구간인구수,"39,882","14,624","13,331",0,"1,559","1,680","1,023","2,863","4,802"
2020년12월_여_0~9세,"3,735","1,068","2,076",0,40,68,26,94,363
2020년12월_여_10~19세,"3,858","1,522","1,451",0,86,68,35,191,505
2020년12월_여_20~29세,"3,901","1,677","1,319",0,80,114,37,197,477
2020년12월_여_30~39세,"5,229","1,518","2,770",0,64,109,49,187,532
2020년12월_여_40~49세,"6,151","2,397","2,316",0,121,132,67,293,825
2020년12월_여_50~59세,"6,240","2,471","1,538",0,270,335,162,539,925
2020년12월_여_60~69세,"5,070","1,928","1,014",0,341,355,271,581,580
2020년12월_여_70~79세,"3,008","1,147",461,0,254,239,187,382,338
2020년12월_여_80~89세,"2,297",773,336,0,266,224,155,328,215
2020년12월_여_90~99세,378,120,46,0,36,35,31,68,42
2020년12월_여_100세 이상,15,3,4,0,1,1,3,3,0
