카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년08월_계_총인구수,"37,006","10,758","4,710","4,857","1,854","1,678","3,295","2,596","3,541","1,691","2,026"
2020년08월_계_연령구간인구수,"37,006","10,758","4,710","4,857","1,854","1,678","3,295","2,596","3,541","1,691","2,026"
2020년08월_계_0~9세,"1,761",642,251,303,71,41,152,104,112,35,50
2020년08월_계_10~19세,"2,600","1,022",239,382,123,114,189,178,156,99,98
2020년08월_계_20~29세,"2,840","1,009",347,402,125,114,218,180,205,117,123
2020년08월_계_30~39세,"3,178",952,712,513,99,101,304,146,175,71,105
2020년08월_계_40~49세,"4,983","1,673",710,757,208,180,449,310,325,173,198
2020년08월_계_50~59세,"7,117","1,959",783,926,392,330,661,518,762,386,400
2020년08월_계_60~69세,"7,402","1,756",876,903,401,364,770,544,850,411,527
2020년08월_계_70~79세,"4,562","1,108",549,481,281,276,369,357,560,249,332
2020년08월_계_80~89세,"2,167",517,204,169,139,122,158,217,342,128,171
2020년08월_계_90~99세,346,105,30,15,15,25,23,40,51,21,21
2020년08월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년08월_남_총인구수,"19,235","5,483","2,480","2,571",960,829,"1,757","1,299","1,879",910,"1,067"
2020년08월_남_연령구간인구수,"19,235","5,483","2,480","2,571",960,829,"1,757","1,299","1,879",910,"1,067"
2020년08월_남_0~9세,910,333,122,161,35,17,79,52,56,21,34
2020년08월_남_10~19세,"1,345",537,111,206,62,59,91,85,88,55,51
2020년08월_남_20~29세,"1,606",572,187,225,73,65,133,109,107,69,66
2020년08월_남_30~39세,"1,805",508,414,280,60,59,187,79,109,43,66
2020년08월_남_40~49세,"2,887",876,439,426,133,109,273,176,213,109,133
2020년08월_남_50~59세,"3,894","1,054",440,513,215,184,341,281,432,231,203
2020년08월_남_60~69세,"3,886",919,417,463,218,178,424,278,471,226,292
2020년08월_남_70~79세,"2,057",486,254,222,110,111,178,160,263,114,159
2020년08월_남_80~89세,750,178,82,68,50,34,45,68,127,40,58
2020년08월_남_90~99세,75,16,11,3,4,6,5,10,13,2,5
2020년08월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년08월_여_총인구수,"17,771","5,275","2,230","2,286",894,849,"1,538","1,297","1,662",781,959
2020년08월_여_연령구간인구수,"17,771","5,275","2,230","2,286",894,849,"1,538","1,297","1,662",781,959
2020년08월_여_0~9세,851,309,129,142,36,24,73,52,56,14,16
2020년08월_여_10~19세,"1,255",485,128,176,61,55,98,93,68,44,47
2020년08월_여_20~29세,"1,234",437,160,177,52,49,85,71,98,48,57
2020년08월_여_30~39세,"1,373",444,298,233,39,42,117,67,66,28,39
2020년08월_여_40~49세,"2,096",797,271,331,75,71,176,134,112,64,65
2020년08월_여_50~59세,"3,223",905,343,413,177,146,320,237,330,155,197
2020년08월_여_60~69세,"3,516",837,459,440,183,186,346,266,379,185,235
2020년08월_여_70~79세,"2,505",622,295,259,171,165,191,197,297,135,173
2020년08월_여_80~89세,"1,417",339,122,101,89,88,113,149,215,88,113
2020년08월_여_90~99세,271,89,19,12,11,19,18,30,38,19,16
2020년08월_여_100세 이상,30,11,6,2,0,4,1,1,3,1,1
