카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년02월_계_총인구수,"30,709","10,893","3,044","3,640","3,513","3,451","3,178","2,356",260,374
2021년02월_계_연령구간인구수,"30,709","10,893","3,044","3,640","3,513","3,451","3,178","2,356",260,374
2021년02월_계_0~9세,"1,665",880,116,186,116,113,107,106,14,27
2021년02월_계_10~19세,"2,221","1,162",168,243,164,199,116,120,8,41
2021년02월_계_20~29세,"2,556","1,243",202,264,223,223,221,145,15,20
2021년02월_계_30~39세,"2,232","1,136",171,255,196,170,150,119,14,21
2021년02월_계_40~49세,"3,615","1,604",326,392,369,311,246,290,31,46
2021년02월_계_50~59세,"5,018","1,720",518,580,622,593,500,380,42,63
2021년02월_계_60~69세,"5,341","1,491",600,729,701,667,639,412,44,58
2021년02월_계_70~79세,"4,706","1,051",539,548,647,674,688,441,50,68
2021년02월_계_80~89세,"2,957",537,357,384,417,426,455,316,40,25
2021년02월_계_90~99세,380,65,46,53,57,74,54,24,2,5
2021년02월_계_100세 이상,18,4,1,6,1,1,2,3,0,0
2021년02월_남_총인구수,"15,181","5,375","1,542","1,758","1,799","1,651","1,526","1,207",134,189
2021년02월_남_연령구간인구수,"15,181","5,375","1,542","1,758","1,799","1,651","1,526","1,207",134,189
2021년02월_남_0~9세,799,412,59,95,65,53,49,46,7,13
2021년02월_남_10~19세,"1,148",606,83,121,90,98,57,65,8,20
2021년02월_남_20~29세,"1,484",720,128,138,125,124,139,88,6,16
2021년02월_남_30~39세,"1,223",591,99,143,121,94,86,70,7,12
2021년02월_남_40~49세,"2,091",819,195,234,249,189,164,189,22,30
2021년02월_남_50~59세,"2,783",868,307,312,358,333,289,245,28,43
2021년02월_남_60~69세,"2,703",724,315,363,360,342,313,235,26,25
2021년02월_남_70~79세,"2,010",461,233,228,280,290,289,183,22,24
2021년02월_남_80~89세,870,161,114,115,138,118,129,83,7,5
2021년02월_남_90~99세,70,13,9,9,13,10,11,3,1,1
2021년02월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"15,528","5,518","1,502","1,882","1,714","1,800","1,652","1,149",126,185
2021년02월_여_연령구간인구수,"15,528","5,518","1,502","1,882","1,714","1,800","1,652","1,149",126,185
2021년02월_여_0~9세,866,468,57,91,51,60,58,60,7,14
2021년02월_여_10~19세,"1,073",556,85,122,74,101,59,55,0,21
2021년02월_여_20~29세,"1,072",523,74,126,98,99,82,57,9,4
2021년02월_여_30~39세,"1,009",545,72,112,75,76,64,49,7,9
2021년02월_여_40~49세,"1,524",785,131,158,120,122,82,101,9,16
2021년02월_여_50~59세,"2,235",852,211,268,264,260,211,135,14,20
2021년02월_여_60~69세,"2,638",767,285,366,341,325,326,177,18,33
2021년02월_여_70~79세,"2,696",590,306,320,367,384,399,258,28,44
2021년02월_여_80~89세,"2,087",376,243,269,279,308,326,233,33,20
2021년02월_여_90~99세,310,52,37,44,44,64,43,21,1,4
2021년02월_여_100세 이상,18,4,1,6,1,1,2,3,0,0
