카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년02월_계_총인구수,"51,283","24,449","1,767","1,850","2,750","1,590","1,672",858,"1,450","1,123","1,025","3,587","1,750","3,107","4,305"
2021년02월_계_연령구간인구수,"51,283","24,449","1,767","1,850","2,750","1,590","1,672",858,"1,450","1,123","1,025","3,587","1,750","3,107","4,305"
2021년02월_계_0~9세,"2,519","1,823",40,27,101,23,34,14,42,24,29,138,23,67,134
2021년02월_계_10~19세,"4,130","2,681",84,100,182,62,62,25,55,72,35,286,52,147,287
2021년02월_계_20~29세,"3,879","2,254",84,91,243,78,82,44,102,63,49,259,82,174,274
2021년02월_계_30~39세,"3,763","2,332",87,88,192,61,74,33,75,42,41,231,69,157,281
2021년02월_계_40~49세,"6,312","3,728",171,143,296,133,121,50,133,75,66,405,163,283,545
2021년02월_계_50~59세,"9,123","4,343",296,295,489,279,299,118,260,177,180,635,352,588,812
2021년02월_계_60~69세,"9,841","3,800",462,451,589,371,408,206,320,269,244,796,394,716,815
2021년02월_계_70~79세,"6,786","2,219",318,384,376,311,303,202,227,185,203,507,342,568,641
2021년02월_계_80~89세,"4,264","1,107",195,234,241,235,234,146,198,182,148,288,238,355,463
2021년02월_계_90~99세,645,152,29,37,40,36,55,20,37,33,28,42,34,51,51
2021년02월_계_100세 이상,21,10,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년02월_남_총인구수,"25,707","12,257",904,901,"1,435",783,851,377,711,547,512,"1,748",877,"1,598","2,206"
2021년02월_남_연령구간인구수,"25,707","12,257",904,901,"1,435",783,851,377,711,547,512,"1,748",877,"1,598","2,206"
2021년02월_남_0~9세,"1,269",937,20,13,46,11,15,9,15,12,12,67,11,32,69
2021년02월_남_10~19세,"2,265","1,483",50,58,94,36,37,12,30,37,16,145,28,83,156
2021년02월_남_20~29세,"2,268","1,295",53,53,155,48,45,23,68,38,35,136,50,95,174
2021년02월_남_30~39세,"2,067","1,206",59,51,121,31,50,16,46,25,27,116,45,108,166
2021년02월_남_40~49세,"3,511","1,949",101,94,175,83,72,27,84,49,39,215,93,196,334
2021년02월_남_50~59세,"4,970","2,249",172,168,269,145,178,62,144,99,109,331,214,344,486
2021년02월_남_60~69세,"4,912","1,819",240,204,309,203,220,98,168,135,139,412,212,364,389
2021년02월_남_70~79세,"2,999",945,144,175,176,139,148,86,95,87,83,231,147,266,277
2021년02월_남_80~89세,"1,322",343,60,76,81,80,69,42,57,58,45,90,73,101,147
2021년02월_남_90~99세,120,28,5,9,9,7,17,2,4,7,6,5,4,9,8
2021년02월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년02월_여_총인구수,"25,576","12,192",863,949,"1,315",807,821,481,739,576,513,"1,839",873,"1,509","2,099"
2021년02월_여_연령구간인구수,"25,576","12,192",863,949,"1,315",807,821,481,739,576,513,"1,839",873,"1,509","2,099"
2021년02월_여_0~9세,"1,250",886,20,14,55,12,19,5,27,12,17,71,12,35,65
2021년02월_여_10~19세,"1,865","1,198",34,42,88,26,25,13,25,35,19,141,24,64,131
2021년02월_여_20~29세,"1,611",959,31,38,88,30,37,21,34,25,14,123,32,79,100
2021년02월_여_30~39세,"1,696","1,126",28,37,71,30,24,17,29,17,14,115,24,49,115
2021년02월_여_40~49세,"2,801","1,779",70,49,121,50,49,23,49,26,27,190,70,87,211
2021년02월_여_50~59세,"4,153","2,094",124,127,220,134,121,56,116,78,71,304,138,244,326
2021년02월_여_60~69세,"4,929","1,981",222,247,280,168,188,108,152,134,105,384,182,352,426
2021년02월_여_70~79세,"3,787","1,274",174,209,200,172,155,116,132,98,120,276,195,302,364
2021년02월_여_80~89세,"2,942",764,135,158,160,155,165,104,141,124,103,198,165,254,316
2021년02월_여_90~99세,525,124,24,28,31,29,38,18,33,26,22,37,30,42,43
2021년02월_여_100세 이상,17,7,1,0,1,1,0,0,1,1,1,0,1,1,2
