,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년12월_계_총인구수,"24,539","5,108","1,808","2,461","2,091","2,494","2,574","1,741","6,262"
2021년12월_계_연령구간인구수,"24,539","5,108","1,808","2,461","2,091","2,494","2,574","1,741","6,262"
2021년12월_계_0~9세,917,276,41,66,73,56,70,45,290
2021년12월_계_10~19세,"1,149",334,56,81,97,93,97,53,338
2021년12월_계_20~29세,"1,572",445,86,124,141,109,102,76,489
2021년12월_계_30~39세,"1,554",434,107,116,93,112,118,84,490
2021년12월_계_40~49세,"2,239",582,131,161,184,178,182,128,693
2021년12월_계_50~59세,"4,471",983,337,457,416,433,477,261,"1,107"
2021년12월_계_60~69세,"5,734",962,480,661,455,745,642,462,"1,327"
2021년12월_계_70~79세,"3,970",625,336,464,356,447,498,331,913
2021년12월_계_80~89세,"2,583",412,208,288,241,284,330,258,562
2021년12월_계_90~99세,339,52,26,42,32,36,55,43,53
2021년12월_계_100세 이상,11,3,0,1,3,1,3,0,0
2021년12월_남_총인구수,"12,261","2,516",906,"1,220","1,046","1,238","1,246",878,"3,211"
2021년12월_남_연령구간인구수,"12,261","2,516",906,"1,220","1,046","1,238","1,246",878,"3,211"
2021년12월_남_0~9세,478,141,19,36,38,30,40,24,150
2021년12월_남_10~19세,607,171,35,47,50,51,52,21,180
2021년12월_남_20~29세,958,253,54,76,83,60,66,48,318
2021년12월_남_30~39세,905,241,67,62,51,70,64,56,294
2021년12월_남_40~49세,"1,282",300,84,92,112,103,106,81,404
2021년12월_남_50~59세,"2,396",518,177,248,228,226,254,145,600
2021년12월_남_60~69세,"2,875",479,255,323,224,367,321,261,645
2021년12월_남_70~79세,"1,785",265,147,212,166,206,214,151,424
2021년12월_남_80~89세,901,141,65,114,86,117,114,79,185
2021년12월_남_90~99세,73,7,3,9,8,8,15,12,11
2021년12월_남_100세 이상,1,0,0,1,0,0,0,0,0
2021년12월_여_총인구수,"12,278","2,592",902,"1,241","1,045","1,256","1,328",863,"3,051"
2021년12월_여_연령구간인구수,"12,278","2,592",902,"1,241","1,045","1,256","1,328",863,"3,051"
2021년12월_여_0~9세,439,135,22,30,35,26,30,21,140
2021년12월_여_10~19세,542,163,21,34,47,42,45,32,158
2021년12월_여_20~29세,614,192,32,48,58,49,36,28,171
2021년12월_여_30~39세,649,193,40,54,42,42,54,28,196
2021년12월_여_40~49세,957,282,47,69,72,75,76,47,289
2021년12월_여_50~59세,"2,075",465,160,209,188,207,223,116,507
2021년12월_여_60~69세,"2,859",483,225,338,231,378,321,201,682
2021년12월_여_70~79세,"2,185",360,189,252,190,241,284,180,489
2021년12월_여_80~89세,"1,682",271,143,174,155,167,216,179,377
2021년12월_여_90~99세,266,45,23,33,24,28,40,31,42
2021년12월_여_100세 이상,10,3,0,0,3,1,3,0,0
