,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년03월_계_총인구수,"36,043","10,920","6,194","2,353","1,129","1,480",539,917,"1,719","6,351","2,772","1,669"
2021년03월_계_연령구간인구수,"36,043","10,920","6,194","2,353","1,129","1,480",539,917,"1,719","6,351","2,772","1,669"
2021년03월_계_0~9세,"1,593",752,226,49,14,34,9,26,43,346,68,26
2021년03월_계_10~19세,"2,068",927,296,60,39,34,15,30,71,423,128,45
2021년03월_계_20~29세,"2,362",934,417,124,44,70,17,46,86,467,107,50
2021년03월_계_30~39세,"2,345",995,391,109,45,52,13,33,73,451,122,61
2021년03월_계_40~49세,"3,813","1,565",650,175,65,102,28,76,163,681,204,104
2021년03월_계_50~59세,"6,103","1,843","1,139",400,184,263,85,142,297,"1,080",434,236
2021년03월_계_60~69세,"7,497","1,842","1,389",557,287,384,145,193,414,"1,229",635,422
2021년03월_계_70~79세,"5,857","1,215","1,073",480,229,299,137,201,360,923,559,381
2021년03월_계_80~89세,"3,850",722,546,340,191,213,81,155,198,644,457,303
2021년03월_계_90~99세,533,118,66,58,29,28,9,15,14,104,58,34
2021년03월_계_100세 이상,22,7,1,1,2,1,0,0,0,3,0,7
2021년03월_남_총인구수,"17,086","5,231","2,904","1,151",511,734,253,433,804,"2,942","1,302",821
2021년03월_남_연령구간인구수,"17,086","5,231","2,904","1,151",511,734,253,433,804,"2,942","1,302",821
2021년03월_남_0~9세,803,368,119,29,10,19,4,16,23,161,40,14
2021년03월_남_10~19세,"1,050",448,163,39,20,21,7,15,40,217,59,21
2021년03월_남_20~29세,"1,376",544,240,75,23,44,11,28,49,269,61,32
2021년03월_남_30~39세,"1,219",485,215,59,27,27,8,16,42,230,72,38
2021년03월_남_40~49세,"2,105",796,368,114,31,68,22,46,92,362,134,72
2021년03월_남_50~59세,"3,269","1,000",579,233,104,151,49,84,156,542,243,128
2021년03월_남_60~69세,"3,597",857,642,291,153,198,68,90,190,575,315,218
2021년03월_남_70~79세,"2,368",483,414,191,84,129,56,89,147,377,224,174
2021년03월_남_80~89세,"1,200",226,156,108,55,69,27,47,59,196,144,113
2021년03월_남_90~99세,96,23,8,12,4,8,1,2,6,13,10,9
2021년03월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년03월_여_총인구수,"18,957","5,689","3,290","1,202",618,746,286,484,915,"3,409","1,470",848
2021년03월_여_연령구간인구수,"18,957","5,689","3,290","1,202",618,746,286,484,915,"3,409","1,470",848
2021년03월_여_0~9세,790,384,107,20,4,15,5,10,20,185,28,12
2021년03월_여_10~19세,"1,018",479,133,21,19,13,8,15,31,206,69,24
2021년03월_여_20~29세,986,390,177,49,21,26,6,18,37,198,46,18
2021년03월_여_30~39세,"1,126",510,176,50,18,25,5,17,31,221,50,23
2021년03월_여_40~49세,"1,708",769,282,61,34,34,6,30,71,319,70,32
2021년03월_여_50~59세,"2,834",843,560,167,80,112,36,58,141,538,191,108
2021년03월_여_60~69세,"3,900",985,747,266,134,186,77,103,224,654,320,204
2021년03월_여_70~79세,"3,489",732,659,289,145,170,81,112,213,546,335,207
2021년03월_여_80~89세,"2,650",496,390,232,136,144,54,108,139,448,313,190
2021년03월_여_90~99세,437,95,58,46,25,20,8,13,8,91,48,25
2021년03월_여_100세 이상,19,6,1,1,2,1,0,0,0,3,0,5
