,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년01월_계_총인구수,"175,543","13,850","7,438","5,348","3,360","8,182","15,536","9,469","5,126","7,404","6,312","19,507","19,036","8,975","16,324","29,676"
2021년01월_계_연령구간인구수,"175,543","13,850","7,438","5,348","3,360","8,182","15,536","9,469","5,126","7,404","6,312","19,507","19,036","8,975","16,324","29,676"
2021년01월_계_0~9세,"15,336",734,518,122,64,608,"2,910",524,141,257,378,"1,749","1,716",590,"1,430","3,595"
2021년01월_계_10~19세,"17,204","1,049",721,211,111,749,"1,188",779,259,459,484,"2,063","2,345",896,"2,021","3,869"
2021년01월_계_20~29세,"19,245","1,857",638,293,171,682,"1,696",865,290,722,576,"2,637","2,184","1,096","2,036","3,502"
2021년01월_계_30~39세,"22,036","1,509",646,271,148,961,"3,933",847,262,489,568,"2,765","2,187",902,"2,007","4,541"
2021년01월_계_40~49세,"27,794","2,010","1,148",487,300,"1,240","2,328","1,396",549,869,863,"3,320","3,442","1,450","2,908","5,484"
2021년01월_계_50~59세,"28,381","3,080","1,308",867,598,"1,368","1,633","1,707",869,"1,340",840,"3,176","3,241","1,541","2,583","4,230"
2021년01월_계_60~69세,"22,183","1,930","1,093","1,315",845,"1,249",975,"1,523","1,132","1,432","1,081","2,050","2,062","1,332","1,782","2,382"
2021년01월_계_70~79세,"13,928",974,759,"1,019",677,791,510,"1,032",933,"1,134",843,"1,075","1,166",766,977,"1,272"
2021년01월_계_80~89세,"8,152",609,536,675,390,454,316,700,605,609,590,565,588,342,504,669
2021년01월_계_90~99세,"1,227",96,67,87,54,79,44,93,83,90,83,97,97,53,75,129
2021년01월_계_100세 이상,57,2,4,1,2,1,3,3,3,3,6,10,8,7,1,3
2021년01월_남_총인구수,"91,399","8,024","3,804","2,725","1,714","4,407","8,156","4,885","2,604","3,840","3,267","10,094","9,912","4,561","8,230","15,176"
2021년01월_남_연령구간인구수,"91,399","8,024","3,804","2,725","1,714","4,407","8,156","4,885","2,604","3,840","3,267","10,094","9,912","4,561","8,230","15,176"
2021년01월_남_0~9세,"7,856",377,274,56,39,302,"1,505",271,79,132,198,931,901,310,708,"1,773"
2021년01월_남_10~19세,"9,135",563,381,113,53,394,595,429,135,257,254,"1,081","1,381",472,969,"2,058"
2021년01월_남_20~29세,"11,410","1,282",384,183,107,427,952,517,180,443,384,"1,491","1,295",626,"1,148","1,991"
2021년01월_남_30~39세,"12,222","1,017",334,172,87,604,"2,110",462,145,295,334,"1,539","1,163",503,"1,116","2,341"
2021년01월_남_40~49세,"14,889","1,203",606,310,186,730,"1,301",775,336,509,503,"1,706","1,705",755,"1,468","2,796"
2021년01월_남_50~59세,"15,154","1,839",730,472,335,737,837,917,479,724,452,"1,642","1,673",798,"1,338","2,181"
2021년01월_남_60~69세,"11,108","1,066",552,664,421,665,510,762,551,716,519,994,"1,002",625,869,"1,192"
2021년01월_남_70~79세,"6,502",465,349,484,341,373,235,484,458,533,380,487,551,334,435,593
2021년01월_남_80~89세,"2,870",186,179,252,136,160,103,253,224,214,222,206,219,123,165,228
2021년01월_남_90~99세,246,26,15,19,9,15,7,15,16,17,20,17,20,14,14,22
2021년01월_남_100세 이상,7,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1
2021년01월_여_총인구수,"84,144","5,826","3,634","2,623","1,646","3,775","7,380","4,584","2,522","3,564","3,045","9,413","9,124","4,414","8,094","14,500"
2021년01월_여_연령구간인구수,"84,144","5,826","3,634","2,623","1,646","3,775","7,380","4,584","2,522","3,564","3,045","9,413","9,124","4,414","8,094","14,500"
2021년01월_여_0~9세,"7,480",357,244,66,25,306,"1,405",253,62,125,180,818,815,280,722,"1,822"
2021년01월_여_10~19세,"8,069",486,340,98,58,355,593,350,124,202,230,982,964,424,"1,052","1,811"
2021년01월_여_20~29세,"7,835",575,254,110,64,255,744,348,110,279,192,"1,146",889,470,888,"1,511"
2021년01월_여_30~39세,"9,814",492,312,99,61,357,"1,823",385,117,194,234,"1,226","1,024",399,891,"2,200"
2021년01월_여_40~49세,"12,905",807,542,177,114,510,"1,027",621,213,360,360,"1,614","1,737",695,"1,440","2,688"
2021년01월_여_50~59세,"13,227","1,241",578,395,263,631,796,790,390,616,388,"1,534","1,568",743,"1,245","2,049"
2021년01월_여_60~69세,"11,075",864,541,651,424,584,465,761,581,716,562,"1,056","1,060",707,913,"1,190"
2021년01월_여_70~79세,"7,426",509,410,535,336,418,275,548,475,601,463,588,615,432,542,679
2021년01월_여_80~89세,"5,282",423,357,423,254,294,213,447,381,395,368,359,369,219,339,441
2021년01월_여_90~99세,981,70,52,68,45,64,37,78,67,73,63,80,77,39,61,107
2021년01월_여_100세 이상,50,2,4,1,2,1,2,3,2,3,5,10,6,6,1,2
