카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년10월_계_총인구수,"540,127","16,819","23,073","21,803","27,356","27,101","13,542","30,140","25,073","37,923","20,608","36,054","37,127","22,204","34,162","6,709","22,338","20,490","44,586","24,011","15,844","17,773","15,391"
2020년10월_계_연령구간인구수,"540,127","16,819","23,073","21,803","27,356","27,101","13,542","30,140","25,073","37,923","20,608","36,054","37,127","22,204","34,162","6,709","22,338","20,490","44,586","24,011","15,844","17,773","15,391"
2020년10월_계_0~9세,"37,042",981,712,"1,158","2,185","2,181",845,"2,450","2,003","1,992",764,"1,057","2,993","1,781","2,984",376,"1,674","1,389","4,588","2,269",771,"1,245",644
2020년10월_계_10~19세,"59,427","1,715",888,"1,325","2,827","2,282","1,304","3,498","5,580","6,510","2,635","1,563","5,592","2,349","4,777",607,"2,554","1,854","4,567","3,371","1,229","1,796",604
2020년10월_계_20~29세,"74,334","2,301","4,676","3,566","3,200","3,818","1,941","3,878","2,502","5,052","3,480","7,569","4,685","3,025","4,046",761,"2,961","2,950","5,443","2,630","2,243","1,965","1,642"
2020년10월_계_30~39세,"82,464","2,420","5,874","4,592","3,449","4,490","2,001","4,996","1,589","3,285","3,374","10,157","5,305","3,287","3,677",690,"2,839","3,154","6,980","3,039","2,279","2,607","2,380"
2020년10월_계_40~49세,"99,370","2,982","3,839","3,809","4,924","4,810","2,198","6,486","6,207","7,405","4,142","6,069","8,685","3,877","6,591",968,"3,704","3,383","7,770","4,554","2,206","3,077","1,684"
2020년10월_계_50~59세,"80,334","2,525","2,821","2,977","4,094","4,016","2,202","4,108","3,811","6,786","3,227","4,246","4,840","3,531","5,480","1,103","3,856","3,471","6,050","3,726","2,534","2,628","2,302"
2020년10월_계_60~69세,"59,011","1,788","2,314","2,257","3,128","2,984","1,686","2,446","1,918","4,102","1,571","3,045","2,580","2,550","3,571","1,198","3,000","2,660","4,984","2,840","2,551","2,493","3,345"
2020년10월_계_70~79세,"33,983","1,404","1,359","1,545","2,429","1,763",991,"1,672","1,044","2,068","1,061","1,671","1,766","1,242","2,139",711,"1,307","1,185","2,731","1,086","1,397","1,464","1,948"
