,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년06월_계_총인구수,"52,487","21,620","4,629","6,823","1,753","1,761","1,373","2,316","2,393","4,001","5,249",378,191
2021년06월_계_연령구간인구수,"52,487","21,620","4,629","6,823","1,753","1,761","1,373","2,316","2,393","4,001","5,249",378,191
2021년06월_계_0~9세,"3,708","2,021",189,634,83,88,65,90,81,158,274,14,11
2021년06월_계_10~19세,"4,103","2,343",234,531,103,76,58,162,97,153,332,9,5
2021년06월_계_20~29세,"4,838","2,371",327,805,150,122,85,173,115,215,441,27,7
2021년06월_계_30~39세,"4,727","2,231",269,895,144,111,113,120,125,251,441,18,9
2021년06월_계_40~49세,"6,348","3,274",429,855,146,144,109,230,185,353,538,56,29
2021년06월_계_50~59세,"8,447","3,431",782,"1,111",282,284,219,380,336,648,861,82,31
2021년06월_계_60~69세,"8,547","2,906",858,886,326,342,301,412,468,924,967,104,53
2021년06월_계_70~79세,"7,039","1,933",876,707,288,304,253,416,520,834,828,46,34
2021년06월_계_80~89세,"4,156",970,586,356,193,256,148,291,414,411,500,20,11
2021년06월_계_90~99세,549,131,76,41,36,33,22,38,52,54,63,2,1
2021년06월_계_100세 이상,25,9,3,2,2,1,0,4,0,0,4,0,0
2021년06월_남_총인구수,"26,217","10,626","2,308","3,595",928,864,684,"1,162","1,148","1,957","2,598",233,114
2021년06월_남_연령구간인구수,"26,217","10,626","2,308","3,595",928,864,684,"1,162","1,148","1,957","2,598",233,114
2021년06월_남_0~9세,"1,887","1,029",97,337,39,48,29,40,43,73,139,6,7
2021년06월_남_10~19세,"2,150","1,214",129,258,74,38,24,90,62,77,176,5,3
2021년06월_남_20~29세,"2,725","1,259",198,488,83,64,50,103,65,132,260,18,5
2021년06월_남_30~39세,"2,441","1,089",159,493,83,49,58,69,64,135,226,12,4
2021년06월_남_40~49세,"3,572","1,644",277,489,98,97,71,146,112,243,331,43,21
2021년06월_남_50~59세,"4,679","1,773",465,635,169,156,126,246,209,361,460,58,21
2021년06월_남_60~69세,"4,334","1,387",437,471,192,189,155,207,240,455,510,61,30
2021년06월_남_70~79세,"3,033",884,348,303,127,135,119,163,206,367,337,25,19
2021년06월_남_80~89세,"1,287",321,182,115,54,79,47,90,137,103,150,5,4
2021년06월_남_90~99세,109,26,16,6,9,9,5,8,10,11,9,0,0
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"26,270","10,994","2,321","3,228",825,897,689,"1,154","1,245","2,044","2,651",145,77
2021년06월_여_연령구간인구수,"26,270","10,994","2,321","3,228",825,897,689,"1,154","1,245","2,044","2,651",145,77
2021년06월_여_0~9세,"1,821",992,92,297,44,40,36,50,38,85,135,8,4
2021년06월_여_10~19세,"1,953","1,129",105,273,29,38,34,72,35,76,156,4,2
2021년06월_여_20~29세,"2,113","1,112",129,317,67,58,35,70,50,83,181,9,2
2021년06월_여_30~39세,"2,286","1,142",110,402,61,62,55,51,61,116,215,6,5
2021년06월_여_40~49세,"2,776","1,630",152,366,48,47,38,84,73,110,207,13,8
2021년06월_여_50~59세,"3,768","1,658",317,476,113,128,93,134,127,287,401,24,10
2021년06월_여_60~69세,"4,213","1,519",421,415,134,153,146,205,228,469,457,43,23
2021년06월_여_70~79세,"4,006","1,049",528,404,161,169,134,253,314,467,491,21,15
2021년06월_여_80~89세,"2,869",649,404,241,139,177,101,201,277,308,350,15,7
2021년06월_여_90~99세,440,105,60,35,27,24,17,30,42,43,54,2,1
2021년06월_여_100세 이상,25,9,3,2,2,1,0,4,0,0,4,0,0
