카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년02월_계_총인구수,"166,551","9,357","30,426","5,543","9,637","2,459","3,742","3,611","5,191","5,235","16,158","12,106","23,834","20,561","18,691"
2020년02월_계_연령구간인구수,"166,551","9,357","30,426","5,543","9,637","2,459","3,742","3,611","5,191","5,235","16,158","12,106","23,834","20,561","18,691"
2020년02월_계_0~9세,"16,381",373,"4,185",197,472,58,108,117,195,214,"1,639","1,312","2,621","2,538","2,352"
2020년02월_계_10~19세,"15,715",591,"2,518",295,510,101,202,181,326,368,"1,825","1,012","2,480","2,486","2,820"
2020년02월_계_20~29세,"16,445",766,"2,507",402,977,150,316,292,404,399,"1,506","1,104","3,347","2,168","2,107"
2020년02월_계_30~39세,"23,794",784,"5,877",338,"1,162",136,234,237,307,352,"1,884","2,135","4,408","3,145","2,795"
2020년02월_계_40~49세,"26,480","1,150","5,262",584,"1,332",228,344,379,570,587,"2,634","1,995","4,065","3,680","3,670"
2020년02월_계_50~59세,"25,855","1,646","4,334","1,003","1,928",380,650,694,"1,003",931,"2,551","1,793","3,269","3,019","2,654"
2020년02월_계_60~69세,"20,015","1,838","3,052","1,163","1,559",600,817,746,"1,014","1,012","1,971","1,283","1,954","1,838","1,168"
2020년02월_계_70~79세,"12,895","1,292","1,615",837,"1,010",471,604,536,761,793,"1,290",854,"1,119","1,033",680
2020년02월_계_80~89세,"7,843",795,951,634,607,300,406,367,522,508,749,544,504,572,384
2020년02월_계_90~99세,"1,061",107,118,87,75,32,59,60,84,69,101,72,66,71,60
2020년02월_계_100세 이상,67,15,7,3,5,3,2,2,5,2,8,2,1,11,1
2020년02월_남_총인구수,"88,109","4,944","16,805","2,817","5,535","1,230","1,899","1,856","2,635","2,631","8,244","6,848","12,583","10,487","9,595"
2020년02월_남_연령구간인구수,"88,109","4,944","16,805","2,817","5,535","1,230","1,899","1,856","2,635","2,631","8,244","6,848","12,583","10,487","9,595"
2020년02월_남_0~9세,"8,376",209,"2,172",102,251,33,49,60,103,101,814,651,"1,323","1,302","1,206"
2020년02월_남_10~19세,"8,242",328,"1,346",145,272,57,100,94,172,209,939,515,"1,267","1,304","1,494"
2020년02월_남_20~29세,"9,529",464,"1,403",239,635,88,194,179,234,220,867,697,"1,914","1,203","1,192"
2020년02월_남_30~39세,"13,464",475,"3,315",191,791,85,127,143,179,209,979,"1,352","2,559","1,626","1,433"
2020년02월_남_40~49세,"14,876",699,"3,238",336,892,138,196,234,330,329,"1,412","1,259","2,143","1,885","1,785"
2020년02월_남_50~59세,"14,412",928,"2,564",578,"1,158",191,360,365,557,513,"1,397","1,074","1,709","1,575","1,443"
2020년02월_남_60~69세,"10,109",898,"1,618",577,810,298,416,373,491,499,955,697,977,918,582
2020년02월_남_70~79세,"6,017",604,794,395,478,233,287,263,365,341,593,389,489,471,315
2020년02월_남_80~89세,"2,806",311,319,232,224,99,161,124,180,188,264,196,187,188,133
2020년02월_남_90~99세,264,26,36,22,22,7,9,19,23,21,22,18,15,13,11
2020년02월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년02월_여_총인구수,"78,442","4,413","13,621","2,726","4,102","1,229","1,843","1,755","2,556","2,604","7,914","5,258","11,251","10,074","9,096"
2020년02월_여_연령구간인구수,"78,442","4,413","13,621","2,726","4,102","1,229","1,843","1,755","2,556","2,604","7,914","5,258","11,251","10,074","9,096"
2020년02월_여_0~9세,"8,005",164,"2,013",95,221,25,59,57,92,113,825,661,"1,298","1,236","1,146"
2020년02월_여_10~19세,"7,473",263,"1,172",150,238,44,102,87,154,159,886,497,"1,213","1,182","1,326"
2020년02월_여_20~29세,"6,916",302,"1,104",163,342,62,122,113,170,179,639,407,"1,433",965,915
2020년02월_여_30~39세,"10,330",309,"2,562",147,371,51,107,94,128,143,905,783,"1,849","1,519","1,362"
2020년02월_여_40~49세,"11,604",451,"2,024",248,440,90,148,145,240,258,"1,222",736,"1,922","1,795","1,885"
2020년02월_여_50~59세,"11,443",718,"1,770",425,770,189,290,329,446,418,"1,154",719,"1,560","1,444","1,211"
2020년02월_여_60~69세,"9,906",940,"1,434",586,749,302,401,373,523,513,"1,016",586,977,920,586
2020년02월_여_70~79세,"6,878",688,821,442,532,238,317,273,396,452,697,465,630,562,365
2020년02월_여_80~89세,"5,037",484,632,402,383,201,245,243,342,320,485,348,317,384,251
2020년02월_여_90~99세,797,81,82,65,53,25,50,41,61,48,79,54,51,58,49
2020년02월_여_100세 이상,53,13,7,3,3,2,2,0,4,1,6,2,1,9,0
