카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년06월_계_총인구수,"2,632,401","503,634","230,984","272,650","252,602","140,293","157,805","414,284","102,440","102,099","96,273","71,409","266,747","22,924","51,099","24,784","16,411","35,779","41,847","30,927","42,964","114,016","55,784","31,084","48,206","8,990"
2021년06월_계_연령구간인구수,"2,632,401","503,634","230,984","272,650","252,602","140,293","157,805","414,284","102,440","102,099","96,273","71,409","266,747","22,924","51,099","24,784","16,411","35,779","41,847","30,927","42,964","114,016","55,784","31,084","48,206","8,990"
2021년06월_계_0~9세,"183,713","38,447","16,923","21,524","15,818","10,155","10,309","39,962","5,891","5,665","5,037","3,918","19,981",642,"1,857",947,709,"1,559","1,447","1,368","1,857","9,090","4,554","1,299","2,802",399
2021년06월_계_10~19세,"223,840","46,370","21,079","25,291","20,427","12,383","13,522","44,341","8,714","6,677","7,475","5,558","22,908",921,"2,221","1,174",913,"2,056","2,227","1,963","2,194","11,419","4,426","1,852","3,649",450
2021년06월_계_20~29세,"281,131","56,952","26,684","30,268","26,223","14,455","16,561","55,777","9,611","10,069","7,870","6,264","36,418","1,435","3,016","1,640","1,115","2,326","2,718","2,395","3,334","11,752","4,094","1,899","4,398",809
2021년06월_계_30~39세,"284,647","58,388","26,382","32,006","24,973","14,686","15,225","64,246","8,295","9,266","7,183","5,567","33,080","1,245","3,104","1,614",999,"2,289","2,629","2,172","3,200","14,245","5,416","1,842","4,130",853
2021년06월_계_40~49세,"379,324","76,958","35,623","41,335","36,248","19,216","21,845","72,664","13,561","12,445","11,183","8,621","41,596","2,056","4,535","2,314","1,626","3,756","4,280","3,653","4,592","20,540","7,169","3,121","6,085","1,260"
2021년06월_계_50~59세,"454,391","89,132","40,929","48,203","46,558","23,557","25,780","69,758","17,481","18,069","16,330","11,873","45,440","4,118","8,364","4,588","2,867","5,975","7,090","5,775","8,180","19,712","7,948","5,572","8,431","1,793"
2021년06월_계_60~69세,"424,980","81,505","37,836","43,669","42,496","22,916","26,544","41,870","18,991","19,298","18,900","13,880","36,654","5,508","12,083","5,648","3,571","7,571","9,808","6,473","9,697","14,463","9,699","7,035","8,587","1,783"
2021년06월_계_70~79세,"241,299","37,610","17,544","20,066","24,699","13,305","16,521","16,127","11,724","12,601","12,378","9,136","19,822","3,990","8,830","3,971","2,594","5,775","6,669","4,091","5,853","7,629","6,723","4,643","5,555","1,053"
