카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년03월_계_총인구수,"169,432","8,605","10,073","16,875","9,786","9,601","9,965","6,322","7,829","10,939","7,937","8,089","10,059","18,252","1,788","5,176","20,305","7,831"
2021년03월_계_연령구간인구수,"169,432","8,605","10,073","16,875","9,786","9,601","9,965","6,322","7,829","10,939","7,937","8,089","10,059","18,252","1,788","5,176","20,305","7,831"
2021년03월_계_0~9세,"7,315",317,314,702,299,283,372,191,228,394,299,583,348,"1,272",69,140,"1,242",262
2021년03월_계_10~19세,"10,652",483,516,"1,201",618,472,599,336,502,560,459,593,586,"1,246",104,314,"1,660",403
2021년03월_계_20~29세,"21,274","1,318","1,277","2,428","1,152","1,024","1,271",644,985,"1,296","1,033",897,"1,271","2,264",219,622,"2,614",959
2021년03월_계_30~39세,"17,236",959,923,"1,968",856,793,944,606,696,"1,053",746,942,970,"2,250",179,475,"2,156",720
2021년03월_계_40~49세,"22,523","1,070","1,285","2,216","1,316","1,120","1,280",751,"1,004","1,395","1,023","1,209","1,308","2,640",237,643,"2,975","1,051"
2021년03월_계_50~59세,"33,728","1,654","1,966","3,049","2,095","1,891","2,028","1,280","1,634","2,384","1,614","1,461","2,171","3,499",365,"1,128","3,920","1,589"
2021년03월_계_60~69세,"31,575","1,550","1,981","3,008","1,846","1,950","1,928","1,300","1,545","2,155","1,511","1,404","1,926","3,024",354,"1,107","3,510","1,476"
2021년03월_계_70~79세,"17,244",850,"1,231","1,580","1,114","1,378","1,056",840,834,"1,210",825,703,"1,021","1,435",189,511,"1,548",919
2021년03월_계_80~89세,"7,070",366,535,641,436,624,437,345,358,447,385,272,414,536,63,210,592,409
2021년03월_계_90~99세,757,31,40,82,50,62,41,29,36,42,36,24,43,82,4,26,86,43
2021년03월_계_100세 이상,58,7,5,0,4,4,9,0,7,3,6,1,1,4,5,0,2,0
2021년03월_남_총인구수,"84,873","4,248","4,897","8,162","5,010","4,775","4,905","3,214","3,857","5,798","4,017","3,955","5,079","9,064",938,"2,741","10,246","3,967"
2021년03월_남_연령구간인구수,"84,873","4,248","4,897","8,162","5,010","4,775","4,905","3,214","3,857","5,798","4,017","3,955","5,079","9,064",938,"2,741","10,246","3,967"
2021년03월_남_0~9세,"3,786",178,160,352,149,158,187,100,121,208,147,302,186,641,40,70,671,116
2021년03월_남_10~19세,"5,515",260,271,622,329,251,310,170,262,282,246,281,324,634,60,157,863,193
2021년03월_남_20~29세,"11,689",693,668,"1,292",665,572,681,353,548,762,591,477,676,"1,240",129,365,"1,434",543
2021년03월_남_30~39세,"9,792",534,548,"1,119",511,458,558,367,402,592,442,498,565,"1,204",96,297,"1,191",410
2021년03월_남_40~49세,"12,109",565,722,"1,095",743,644,695,417,505,831,573,624,720,"1,358",134,380,"1,506",597
2021년03월_남_50~59세,"17,040",783,975,"1,378","1,095","1,003",987,708,831,"1,351",844,709,"1,091","1,721",188,598,"1,943",835
2021년03월_남_60~69세,"14,778",705,881,"1,347",891,917,867,605,695,"1,066",700,650,924,"1,415",169,567,"1,677",702
2021년03월_남_70~79세,"7,553",394,492,706,463,555,461,359,355,544,337,309,448,661,91,230,739,409
2021년03월_남_80~89세,"2,462",126,170,230,156,206,152,128,130,158,129,100,139,177,29,70,208,154
2021년03월_남_90~99세,135,9,8,21,6,11,5,7,6,4,6,4,6,13,1,7,13,8
2021년03월_남_100세 이상,14,1,2,0,2,0,2,0,2,0,2,1,0,0,1,0,1,0
2021년03월_여_총인구수,"84,559","4,357","5,176","8,713","4,776","4,826","5,060","3,108","3,972","5,141","3,920","4,134","4,980","9,188",850,"2,435","10,059","3,864"
2021년03월_여_연령구간인구수,"84,559","4,357","5,176","8,713","4,776","4,826","5,060","3,108","3,972","5,141","3,920","4,134","4,980","9,188",850,"2,435","10,059","3,864"
2021년03월_여_0~9세,"3,529",139,154,350,150,125,185,91,107,186,152,281,162,631,29,70,571,146
2021년03월_여_10~19세,"5,137",223,245,579,289,221,289,166,240,278,213,312,262,612,44,157,797,210
2021년03월_여_20~29세,"9,585",625,609,"1,136",487,452,590,291,437,534,442,420,595,"1,024",90,257,"1,180",416
2021년03월_여_30~39세,"7,444",425,375,849,345,335,386,239,294,461,304,444,405,"1,046",83,178,965,310
2021년03월_여_40~49세,"10,414",505,563,"1,121",573,476,585,334,499,564,450,585,588,"1,282",103,263,"1,469",454
2021년03월_여_50~59세,"16,688",871,991,"1,671","1,000",888,"1,041",572,803,"1,033",770,752,"1,080","1,778",177,530,"1,977",754
2021년03월_여_60~69세,"16,797",845,"1,100","1,661",955,"1,033","1,061",695,850,"1,089",811,754,"1,002","1,609",185,540,"1,833",774
2021년03월_여_70~79세,"9,691",456,739,874,651,823,595,481,479,666,488,394,573,774,98,281,809,510
2021년03월_여_80~89세,"4,608",240,365,411,280,418,285,217,228,289,256,172,275,359,34,140,384,255
2021년03월_여_90~99세,622,22,32,61,44,51,36,22,30,38,30,20,37,69,3,19,73,35
2021년03월_여_100세 이상,44,6,3,0,2,4,7,0,5,3,4,0,1,4,4,0,1,0
