카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년03월_계_총인구수,"342,656","7,590","10,644","9,959","12,454","6,515","13,142","12,373","7,465","14,114","13,893","4,172","21,630","14,791","15,867","18,166","15,098","43,270","11,290","21,322","29,372","18,833","20,696"
2021년03월_계_연령구간인구수,"342,656","7,590","10,644","9,959","12,454","6,515","13,142","12,373","7,465","14,114","13,893","4,172","21,630","14,791","15,867","18,166","15,098","43,270","11,290","21,322","29,372","18,833","20,696"
2021년03월_계_0~9세,"24,843",277,984,934,381,214,750,892,164,524,675,187,"2,226",656,820,849,725,"3,711",636,"2,422","2,488","3,044","1,284"
2021년03월_계_10~19세,"26,477",420,844,648,671,389,880,"1,029",344,816,968,243,"2,290",909,942,"1,256",914,"3,693",657,"2,677","2,961","1,484","1,442"
2021년03월_계_20~29세,"41,595",884,"1,024","1,090","1,793",791,"1,535","1,598","1,305","1,840","1,750",608,"2,241","1,961","2,149","2,329","1,848","5,200","1,409","2,181","3,853","1,962","2,244"
2021년03월_계_30~39세,"43,667",663,"1,388","1,585","1,446",558,"1,501","1,487","1,049","1,384","1,531",459,"2,790","1,504","1,912","1,709","1,570","5,676","1,358","3,040","4,064","4,572","2,421"
2021년03월_계_40~49세,"51,279",941,"1,840","1,382","1,629",834,"1,894","1,940",974,"1,697","1,962",469,"3,993","1,801","2,019","2,259","1,909","6,737","1,432","4,263","4,932","3,499","2,873"
2021년03월_계_50~59세,"56,992","1,333","1,544","1,529","2,437","1,217","2,199","2,170","1,277","2,573","2,337",737,"3,295","2,910","2,934","3,511","2,758","6,995","2,201","2,882","4,663","1,776","3,714"
2021년03월_계_60~69세,"52,437","1,430","1,451","1,471","2,256","1,285","2,146","1,713","1,247","2,693","2,494",747,"2,748","2,866","2,774","3,354","2,828","6,370","1,988","1,976","3,673","1,533","3,394"
2021년03월_계_70~79세,"30,350","1,042","1,027",878,"1,275",814,"1,461",977,732,"1,729","1,455",473,"1,408","1,504","1,568","1,910","1,737","3,225","1,119","1,296","1,906",683,"2,131"
2021년03월_계_80~89세,"13,383",533,477,393,501,376,697,500,339,769,631,222,557,616,677,899,726,"1,471",431,527,754,241,"1,046"
2021년03월_계_90~99세,"1,552",62,57,47,64,33,74,59,29,79,87,27,78,63,71,86,81,187,57,57,76,37,141
2021년03월_계_100세 이상,81,5,8,2,1,4,5,8,5,10,3,0,4,1,1,4,2,5,2,1,2,2,6
2021년03월_남_총인구수,"168,722","3,752","5,043","4,942","6,316","3,095","6,270","6,098","3,747","7,008","6,678","2,218","10,617","7,357","7,989","8,744","7,568","21,207","5,701","10,340","14,544","9,304","10,184"
2021년03월_남_연령구간인구수,"168,722","3,752","5,043","4,942","6,316","3,095","6,270","6,098","3,747","7,008","6,678","2,218","10,617","7,357","7,989","8,744","7,568","21,207","5,701","10,340","14,544","9,304","10,184"
2021년03월_남_0~9세,"12,708",147,519,498,203,106,392,464,83,296,322,85,"1,112",329,428,424,361,"1,943",311,"1,222","1,286","1,552",625
