카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년08월_계_총인구수,"154,705","40,098","5,772","19,606","11,643","14,858","20,620","8,814","21,177","12,117"
2021년08월_계_연령구간인구수,"154,705","40,098","5,772","19,606","11,643","14,858","20,620","8,814","21,177","12,117"
2021년08월_계_0~9세,"14,033","3,444",233,"2,097",866,"1,293","1,995",620,"2,293","1,192"
2021년08월_계_10~19세,"15,608","4,119",351,"1,915","1,161","1,385","2,330",919,"2,136","1,292"
2021년08월_계_20~29세,"17,099","4,535",701,"1,933","1,478","1,858","2,299",871,"2,328","1,096"
2021년08월_계_30~39세,"21,777","5,717",750,"2,776","1,457","2,079","2,587","1,063","3,637","1,711"
2021년08월_계_40~49세,"26,003","7,283",823,"3,233","1,948","2,313","3,442","1,428","3,450","2,083"
2021년08월_계_50~59세,"24,960","6,578","1,037","3,128","2,226","2,353","3,664","1,369","2,825","1,780"
2021년08월_계_60~69세,"23,623","5,554","1,186","2,915","1,762","2,293","2,997","1,686","3,271","1,959"
2021년08월_계_70~79세,"8,644","2,098",517,"1,131",549,"1,001",974,652,993,729
2021년08월_계_80~89세,"2,583",665,156,426,173,249,280,184,213,237
2021년08월_계_90~99세,366,104,18,50,21,33,50,21,31,38
2021년08월_계_100세 이상,9,1,0,2,2,1,2,1,0,0
2021년08월_남_총인구수,"80,767","21,547","3,108","10,081","6,101","7,641","10,483","4,504","11,189","6,113"
2021년08월_남_연령구간인구수,"80,767","21,547","3,108","10,081","6,101","7,641","10,483","4,504","11,189","6,113"
2021년08월_남_0~9세,"7,153","1,746",118,"1,058",447,664,983,318,"1,206",613
2021년08월_남_10~19세,"8,284","2,227",189,"1,020",628,768,"1,174",462,"1,150",666
2021년08월_남_20~29세,"9,594","2,601",407,"1,057",813,922,"1,289",513,"1,391",601
2021년08월_남_30~39세,"11,948","3,304",470,"1,422",814,"1,131","1,320",587,"2,007",893
2021년08월_남_40~49세,"14,150","4,149",481,"1,779","1,016","1,269","1,761",749,"1,852","1,094"
2021년08월_남_50~59세,"12,547","3,496",540,"1,583","1,134","1,152","1,821",662,"1,318",841
2021년08월_남_60~69세,"11,745","2,764",568,"1,464",905,"1,097","1,522",830,"1,621",974
2021년08월_남_70~79세,"4,408","1,036",273,554,279,537,507,318,551,353
2021년08월_남_80~89세,882,214,58,131,64,93,100,64,87,71
2021년08월_남_90~99세,54,10,4,13,1,7,5,1,6,7
2021년08월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년08월_여_총인구수,"73,938","18,551","2,664","9,525","5,542","7,217","10,137","4,310","9,988","6,004"
2021년08월_여_연령구간인구수,"73,938","18,551","2,664","9,525","5,542","7,217","10,137","4,310","9,988","6,004"
2021년08월_여_0~9세,"6,880","1,698",115,"1,039",419,629,"1,012",302,"1,087",579
2021년08월_여_10~19세,"7,324","1,892",162,895,533,617,"1,156",457,986,626
2021년08월_여_20~29세,"7,505","1,934",294,876,665,936,"1,010",358,937,495
2021년08월_여_30~39세,"9,829","2,413",280,"1,354",643,948,"1,267",476,"1,630",818
2021년08월_여_40~49세,"11,853","3,134",342,"1,454",932,"1,044","1,681",679,"1,598",989
2021년08월_여_50~59세,"12,413","3,082",497,"1,545","1,092","1,201","1,843",707,"1,507",939
2021년08월_여_60~69세,"11,878","2,790",618,"1,451",857,"1,196","1,475",856,"1,650",985
2021년08월_여_70~79세,"4,236","1,062",244,577,270,464,467,334,442,376
2021년08월_여_80~89세,"1,701",451,98,295,109,156,180,120,126,166
2021년08월_여_90~99세,312,94,14,37,20,26,45,20,25,31
2021년08월_여_100세 이상,7,1,0,2,2,0,1,1,0,0
