,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년08월_계_총인구수,"63,093","7,169","6,308","7,937","10,841","3,828","1,727","3,066","8,195","4,095","6,833","3,094"
2020년08월_계_연령구간인구수,"63,093","7,169","6,308","7,937","10,841","3,828","1,727","3,066","8,195","4,095","6,833","3,094"
2020년08월_계_0~9세,"3,941",492,277,377,887,144,102,92,517,326,617,110
2020년08월_계_10~19세,"5,135",612,504,629,930,228,110,181,744,417,567,213
2020년08월_계_20~29세,"6,699",770,728,827,"1,241",427,176,280,844,464,632,310
2020년08월_계_30~39세,"7,112",848,591,792,"1,512",369,182,237,939,493,899,250
2020년08월_계_40~49세,"10,194","1,236",922,"1,261","1,829",537,267,380,"1,414",741,"1,173",434
2020년08월_계_50~59세,"10,194","1,190","1,085","1,290","1,632",708,259,527,"1,294",715,"1,036",458
2020년08월_계_60~69세,"9,894","1,034","1,072","1,337","1,500",705,300,633,"1,207",538,975,593
2020년08월_계_70~79세,"6,643",633,762,961,942,448,213,457,848,279,606,494
2020년08월_계_80~89세,"2,777",294,304,409,312,239,101,237,323,94,270,194
2020년08월_계_90~99세,431,50,52,48,45,22,16,36,57,23,53,29
2020년08월_계_100세 이상,73,10,11,6,11,1,1,6,8,5,5,9
2020년08월_남_총인구수,"31,856","3,683","3,180","3,939","5,366","1,961",846,"1,575","4,190","2,114","3,421","1,581"
2020년08월_남_연령구간인구수,"31,856","3,683","3,180","3,939","5,366","1,961",846,"1,575","4,190","2,114","3,421","1,581"
2020년08월_남_0~9세,"2,080",265,152,200,449,75,53,52,283,165,326,60
2020년08월_남_10~19세,"2,653",316,262,300,493,109,50,85,387,208,316,127
2020년08월_남_20~29세,"3,628",431,387,439,653,240,102,165,487,235,324,165
2020년08월_남_30~39세,"3,789",443,315,442,769,200,97,137,508,278,458,142
2020년08월_남_40~49세,"5,501",669,476,700,954,310,141,227,742,395,636,251
2020년08월_남_50~59세,"5,407",655,594,675,786,393,132,297,699,388,533,255
2020년08월_남_60~69세,"4,768",526,520,629,695,361,148,305,571,266,459,288
2020년08월_남_70~79세,"2,934",276,344,403,438,187,86,208,371,135,274,212
2020년08월_남_80~89세,965,86,115,139,115,77,32,86,123,35,88,69
2020년08월_남_90~99세,108,13,13,11,9,9,5,11,17,6,7,7
2020년08월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년08월_여_총인구수,"31,237","3,486","3,128","3,998","5,475","1,867",881,"1,491","4,005","1,981","3,412","1,513"
2020년08월_여_연령구간인구수,"31,237","3,486","3,128","3,998","5,475","1,867",881,"1,491","4,005","1,981","3,412","1,513"
2020년08월_여_0~9세,"1,861",227,125,177,438,69,49,40,234,161,291,50
2020년08월_여_10~19세,"2,482",296,242,329,437,119,60,96,357,209,251,86
2020년08월_여_20~29세,"3,071",339,341,388,588,187,74,115,357,229,308,145
2020년08월_여_30~39세,"3,323",405,276,350,743,169,85,100,431,215,441,108
2020년08월_여_40~49세,"4,693",567,446,561,875,227,126,153,672,346,537,183
2020년08월_여_50~59세,"4,787",535,491,615,846,315,127,230,595,327,503,203
2020년08월_여_60~69세,"5,126",508,552,708,805,344,152,328,636,272,516,305
2020년08월_여_70~79세,"3,709",357,418,558,504,261,127,249,477,144,332,282
2020년08월_여_80~89세,"1,812",208,189,270,197,162,69,151,200,59,182,125
2020년08월_여_90~99세,323,37,39,37,36,13,11,25,40,17,46,22
2020년08월_여_100세 이상,50,7,9,5,6,1,1,4,6,2,5,4
