,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년06월_계_총인구수,"32,096","14,848","1,885","1,475","2,158","1,641","2,282","1,896",741,"1,742","1,658","1,770"
2021년06월_계_연령구간인구수,"32,096","14,848","1,885","1,475","2,158","1,641","2,282","1,896",741,"1,742","1,658","1,770"
2021년06월_계_0~9세,"1,392",980,29,80,50,20,59,43,19,47,35,30
2021년06월_계_10~19세,"2,052","1,302",86,72,94,55,119,90,26,63,66,79
2021년06월_계_20~29세,"2,330","1,378",121,109,82,83,155,109,24,82,87,100
2021년06월_계_30~39세,"2,070","1,253",81,141,82,67,149,83,18,53,73,70
2021년06월_계_40~49세,"3,225","1,927",150,159,145,102,187,147,53,110,103,142
2021년06월_계_50~59세,"5,681","2,639",385,236,369,247,373,311,128,326,325,342
2021년06월_계_60~69세,"7,162","2,668",503,302,566,438,546,538,237,471,424,469
2021년06월_계_70~79세,"4,511","1,550",335,196,420,327,381,301,135,309,280,277
2021년06월_계_80~89세,"3,156",991,160,156,309,267,284,230,87,237,218,217
2021년06월_계_90~99세,504,154,34,23,40,35,28,43,14,43,46,44
2021년06월_계_100세 이상,13,6,1,1,1,0,1,1,0,1,1,0
2021년06월_남_총인구수,"16,188","7,401",985,786,"1,037",806,"1,156",955,404,870,855,933
2021년06월_남_연령구간인구수,"16,188","7,401",985,786,"1,037",806,"1,156",955,404,870,855,933
2021년06월_남_0~9세,711,480,16,43,26,14,32,25,11,24,20,20
2021년06월_남_10~19세,"1,094",703,45,30,50,29,62,41,15,33,38,48
2021년06월_남_20~29세,"1,381",797,80,77,43,49,92,58,13,52,61,59
2021년06월_남_30~39세,"1,141",636,53,87,47,42,103,51,12,25,41,44
2021년06월_남_40~49세,"1,789","1,004",95,93,89,64,114,82,35,77,61,75
2021년06월_남_50~59세,"3,157","1,409",209,148,205,147,210,175,79,189,188,198
2021년06월_남_60~69세,"3,689","1,308",273,152,287,212,274,300,132,248,241,262
2021년06월_남_70~79세,"2,044",687,140,95,183,147,169,144,74,143,118,144
2021년06월_남_80~89세,"1,073",341,66,55,95,93,97,76,32,71,75,72
2021년06월_남_90~99세,109,36,8,6,12,9,3,3,1,8,12,11
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"15,908","7,447",900,689,"1,121",835,"1,126",941,337,872,803,837
2021년06월_여_연령구간인구수,"15,908","7,447",900,689,"1,121",835,"1,126",941,337,872,803,837
2021년06월_여_0~9세,681,500,13,37,24,6,27,18,8,23,15,10
2021년06월_여_10~19세,958,599,41,42,44,26,57,49,11,30,28,31
2021년06월_여_20~29세,949,581,41,32,39,34,63,51,11,30,26,41
2021년06월_여_30~39세,929,617,28,54,35,25,46,32,6,28,32,26
2021년06월_여_40~49세,"1,436",923,55,66,56,38,73,65,18,33,42,67
2021년06월_여_50~59세,"2,524","1,230",176,88,164,100,163,136,49,137,137,144
2021년06월_여_60~69세,"3,473","1,360",230,150,279,226,272,238,105,223,183,207
2021년06월_여_70~79세,"2,467",863,195,101,237,180,212,157,61,166,162,133
2021년06월_여_80~89세,"2,083",650,94,101,214,174,187,154,55,166,143,145
2021년06월_여_90~99세,395,118,26,17,28,26,25,40,13,35,34,33
2021년06월_여_100세 이상,13,6,1,1,1,0,1,1,0,1,1,0
