,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년10월_계_총인구수,"67,425","24,519","2,897","3,153","2,765","6,029","2,764","1,945","2,943","2,092","2,348","4,742","3,702","3,965","3,561"
2021년10월_계_연령구간인구수,"67,425","24,519","2,897","3,153","2,765","6,029","2,764","1,945","2,943","2,092","2,348","4,742","3,702","3,965","3,561"
2021년10월_계_0~9세,"3,643","2,163",83,115,61,266,86,35,80,68,63,171,160,169,123
2021년10월_계_10~19세,"4,983","2,841",140,111,124,346,163,77,151,80,128,230,187,221,184
2021년10월_계_20~29세,"5,414","2,728",201,197,152,443,175,121,194,78,131,265,222,257,250
2021년10월_계_30~39세,"4,644","2,411",156,177,120,359,112,70,123,92,94,261,234,222,213
2021년10월_계_40~49세,"7,659","3,723",251,270,225,605,235,149,294,194,224,385,379,358,367
2021년10월_계_50~59세,"11,383","4,113",547,516,476,"1,053",450,320,505,290,406,806,607,675,619
2021년10월_계_60~69세,"12,672","3,364",628,683,636,"1,253",590,411,568,473,465,"1,171",756,882,792
2021년10월_계_70~79세,"9,879","2,032",522,637,556,971,554,415,540,388,461,835,682,712,574
2021년10월_계_80~89세,"6,206",991,309,406,359,658,353,305,412,374,317,538,408,403,373
2021년10월_계_90~99세,906,151,58,40,52,71,46,42,71,53,58,75,65,64,60
2021년10월_계_100세 이상,36,2,2,1,4,4,0,0,5,2,1,5,2,2,6
2021년10월_남_총인구수,"33,386","12,043","1,459","1,564","1,378","2,960","1,344",927,"1,478",984,"1,192","2,336","1,890","1,987","1,844"
2021년10월_남_연령구간인구수,"33,386","12,043","1,459","1,564","1,378","2,960","1,344",927,"1,478",984,"1,192","2,336","1,890","1,987","1,844"
2021년10월_남_0~9세,"1,841","1,087",40,59,33,129,42,19,45,30,36,85,81,90,65
2021년10월_남_10~19세,"2,565","1,439",79,54,66,178,83,37,83,45,76,125,93,116,91
2021년10월_남_20~29세,"3,076","1,496",111,101,101,270,100,67,105,45,81,169,129,163,138
2021년10월_남_30~39세,"2,469","1,183",97,113,74,210,58,40,71,44,53,151,130,113,132
2021년10월_남_40~49세,"4,258","1,789",151,175,135,354,144,96,182,122,150,230,267,214,249
2021년10월_남_50~59세,"6,350","2,149",303,307,275,569,252,189,296,166,259,452,362,391,380
2021년10월_남_60~69세,"6,380","1,642",332,334,329,599,291,211,305,236,237,584,411,444,425
2021년10월_남_70~79세,"4,336",913,227,286,246,436,242,162,240,169,193,366,286,325,245
2021년10월_남_80~89세,"1,948",314,106,126,110,207,115,101,139,115,96,161,127,122,109
2021년10월_남_90~99세,163,31,13,9,9,8,17,5,12,12,11,13,4,9,10
2021년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"34,039","12,476","1,438","1,589","1,387","3,069","1,420","1,018","1,465","1,108","1,156","2,406","1,812","1,978","1,717"
2021년10월_여_연령구간인구수,"34,039","12,476","1,438","1,589","1,387","3,069","1,420","1,018","1,465","1,108","1,156","2,406","1,812","1,978","1,717"
2021년10월_여_0~9세,"1,802","1,076",43,56,28,137,44,16,35,38,27,86,79,79,58
2021년10월_여_10~19세,"2,418","1,402",61,57,58,168,80,40,68,35,52,105,94,105,93
2021년10월_여_20~29세,"2,338","1,232",90,96,51,173,75,54,89,33,50,96,93,94,112
2021년10월_여_30~39세,"2,175","1,228",59,64,46,149,54,30,52,48,41,110,104,109,81
2021년10월_여_40~49세,"3,401","1,934",100,95,90,251,91,53,112,72,74,155,112,144,118
2021년10월_여_50~59세,"5,033","1,964",244,209,201,484,198,131,209,124,147,354,245,284,239
2021년10월_여_60~69세,"6,292","1,722",296,349,307,654,299,200,263,237,228,587,345,438,367
2021년10월_여_70~79세,"5,543","1,119",295,351,310,535,312,253,300,219,268,469,396,387,329
2021년10월_여_80~89세,"4,258",677,203,280,249,451,238,204,273,259,221,377,281,281,264
2021년10월_여_90~99세,743,120,45,31,43,63,29,37,59,41,47,62,61,55,50
2021년10월_여_100세 이상,36,2,2,1,4,4,0,0,5,2,1,5,2,2,6
