카테고리,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2021년08월_계_총인구수,"931,931","235,720","13,324","20,343","11,317","15,546","15,443","13,364","13,337","12,434","15,930","15,722","5,828","9,951","11,141","45,508","4,760","8,731","3,041","213,784","33,826","13,241","6,795","25,916","10,424","24,078","25,470","13,261","12,319","20,905","27,549","482,427","25,965","17,761","10,484","13,862","19,388","30,527","15,590","15,356","32,005","18,339","25,568","13,355","17,378","16,475","28,538","25,728","24,654","27,124","28,257","17,336","30,841","27,896"
2021년08월_계_연령구간인구수,"931,931","235,720","13,324","20,343","11,317","15,546","15,443","13,364","13,337","12,434","15,930","15,722","5,828","9,951","11,141","45,508","4,760","8,731","3,041","213,784","33,826","13,241","6,795","25,916","10,424","24,078","25,470","13,261","12,319","20,905","27,549","482,427","25,965","17,761","10,484","13,862","19,388","30,527","15,590","15,356","32,005","18,339","25,568","13,355","17,378","16,475","28,538","25,728","24,654","27,124","28,257","17,336","30,841","27,896"
2021년08월_계_0~9세,"66,673","14,935",470,"1,772",415,498,723,570,634,359,738,"1,015",315,539,687,"4,781",503,755,161,"12,720","1,522",842,383,"1,393",604,"1,235","1,577",491,543,"1,375","2,755","39,018","1,883","1,209","1,126",972,"1,385","1,970",876,"1,298","2,381","1,368","2,231",952,"1,233","1,198","2,107","3,078","2,589","2,651","1,837","1,275","2,139","3,260"
2021년08월_계_10~19세,"85,877","16,950",706,"1,623",648,725,"1,036",894,"1,146",626,"1,047","1,292",517,918,467,"4,210",444,507,144,"15,942","1,855",823,431,"1,938",985,"1,874","1,761",899,835,"1,727","2,814","52,985","2,894","2,171","1,955","2,385","1,869","3,237","1,315","1,738","4,242","2,224","3,072","1,782","1,269","1,753","1,950","3,583","3,034","3,023","2,289","1,586","2,578","3,036"
2021년08월_계_20~29세,"129,163","34,137","1,956","2,602","1,704","2,845","2,494","1,914","2,082","1,764","2,334","2,115",696,"1,370","2,285","5,435",762,"1,304",475,"30,553","5,910","1,483",879,"3,883","1,815","3,581","3,351","1,656","1,750","3,009","3,236","64,473","3,647","2,387",941,"1,865","2,999","4,617","2,005","1,974","4,462","2,669","3,268","1,742","2,674","2,018","4,002","2,595","3,009","3,740","3,896","2,646","4,359","2,958"
2021년08월_계_30~39세,"135,371","34,804","1,814","3,332","1,546","2,168","2,122","1,679","1,624","1,438","2,063","2,185",710,"1,073","2,520","7,196",883,"1,939",512,"31,048","5,822","1,814","1,083","3,822","1,336","3,032","3,997","1,549","1,550","2,891","4,152","69,519","3,555","2,360",817,"1,486","3,393","4,840","2,870","2,262","4,199","2,300","3,522","1,295","2,781","2,045","5,232","3,407","3,537","3,611","4,506","2,683","4,458","4,360"
2021년08월_계_40~49세,"153,835","36,330","1,944","3,106","1,693","2,072","2,181","1,947","2,074","1,671","2,240","2,394",978,"1,621","2,011","8,123",753,"1,112",410,"32,160","4,764","2,070",975,"3,871","1,572","3,537","3,870","1,888","1,714","2,964","4,935","85,345","4,460","3,604","2,558","3,071","3,148","5,820","2,537","2,764","6,146","3,132","4,451","2,246","2,659","2,710","4,153","5,486","4,579","4,597","4,253","2,827","4,802","5,342"
2021년08월_계_50~59세,"154,663","39,994","2,524","3,434","2,168","2,684","2,761","2,521","2,330","2,520","2,810","2,708",970,"1,753","1,412","7,039",597,"1,324",439,"37,228","5,426","2,419","1,169","4,358","1,734","4,343","4,501","2,798","2,471","3,813","4,196","77,441","4,222","2,915","1,533","2,167","2,900","4,789","2,331","2,415","5,086","3,275","4,142","2,401","2,655","2,569","4,424","3,950","3,980","4,783","4,526","2,899","5,127","4,352"
2021년08월_계_60~69세,"118,737","34,387","2,304","2,890","1,807","2,535","2,292","2,238","1,897","2,324","2,710","2,248",891,"1,481","1,103","5,591",501,"1,057",518,"32,028","4,834","2,261","1,143","3,932","1,346","3,559","3,898","2,366","2,080","3,297","3,312","52,322","3,002","1,419",779,"1,150","2,139","2,584","1,827","1,469","2,878","2,025","2,730","1,677","2,377","2,295","3,986","2,266","2,452","2,957","3,629","1,916","3,742","3,023"
2021년08월_계_70~79세,"57,590","16,800","1,106","1,157",969,"1,398","1,232","1,102","1,035","1,216","1,433","1,182",533,837,480,"2,093",226,527,274,"15,299","2,534","1,093",479,"1,871",712,"2,024","1,752","1,133",976,"1,259","1,466","25,491","1,428",913,462,483,"1,050","1,611","1,052",792,"1,530",806,"1,366",778,"1,161","1,177","1,744",910,966,"1,196","2,015",923,"2,069","1,059"
