카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년07월_계_총인구수,"405,498","14,638","14,205","17,197","17,133","18,076","7,614","48,395","31,723","19,361","23,698","26,757","20,766","17,751","9,003","14,294","17,655","22,884","13,191","21,705","15,699","13,753"
2020년07월_계_연령구간인구수,"405,498","14,638","14,205","17,197","17,133","18,076","7,614","48,395","31,723","19,361","23,698","26,757","20,766","17,751","9,003","14,294","17,655","22,884","13,191","21,705","15,699","13,753"
2020년07월_계_0~9세,"27,908","1,172","1,092","1,048",674,"1,370",304,"4,377","2,304","1,253","1,763","2,215","1,370","1,005",501,634,871,"2,122",626,"1,373","1,093",741
2020년07월_계_10~19세,"32,206",939,873,"1,394",999,"1,361",390,"4,954","3,524","1,847","1,598","2,053",928,"1,157",692,893,"1,218","1,855","1,024","1,973","1,340","1,194"
2020년07월_계_20~29세,"57,264","1,893","2,053","2,203","3,761","2,719",861,"6,932","4,185","2,466","3,361","3,438","4,334","2,243","1,150","1,717","2,549","2,876","1,593","2,929","2,133","1,868"
2020년07월_계_30~39세,"56,307","2,203","2,415","2,281","1,824","2,874",873,"6,675","3,391","2,318","3,743","4,330","4,395","2,212","1,027","1,635","2,413","3,663","1,473","2,639","2,018","1,905"
2020년07월_계_40~49세,"63,788","2,179","2,059","2,560","2,134","2,691","1,043","8,511","5,623","3,058","3,637","4,101","3,156","2,516","1,402","1,966","2,702","3,944","1,991","3,431","2,302","2,782"
2020년07월_계_50~59세,"67,725","2,418","2,255","2,876","2,664","2,721","1,311","7,848","5,608","3,407","3,812","4,289","3,126","3,077","1,546","2,454","3,123","3,457","2,391","3,989","2,815","2,538"
2020년07월_계_60~69세,"54,493","2,025","1,820","2,482","2,495","2,302","1,395","5,204","4,040","2,627","3,082","3,595","2,089","2,899","1,401","2,558","2,592","2,788","2,174","3,022","2,336","1,567"
2020년07월_계_70~79세,"31,164","1,214","1,035","1,588","1,783","1,440",938,"2,661","2,130","1,586","1,844","1,869",946,"1,789",904,"1,694","1,446","1,439","1,297","1,627","1,125",809
2020년07월_계_80~89세,"12,520",515,496,668,672,496,418,"1,071",788,671,730,752,361,733,332,633,631,638,526,637,455,297
2020년07월_계_90~99세,"1,944",75,91,92,112,89,68,160,123,117,120,103,58,108,43,99,100,94,87,80,76,49
2020년07월_계_100세 이상,179,5,16,5,15,13,13,2,7,11,8,12,3,12,5,11,10,8,9,5,6,3
2020년07월_남_총인구수,"204,272","7,413","7,127","8,662","9,224","9,135","3,984","24,066","15,785","9,543","11,774","13,633","10,830","8,993","4,586","7,122","8,809","11,422","6,449","10,613","7,744","7,358"
2020년07월_남_연령구간인구수,"204,272","7,413","7,127","8,662","9,224","9,135","3,984","24,066","15,785","9,543","11,774","13,633","10,830","8,993","4,586","7,122","8,809","11,422","6,449","10,613","7,744","7,358"
2020년07월_남_0~9세,"14,267",586,560,532,349,726,154,"2,252","1,150",616,904,"1,103",729,513,271,319,435,"1,088",317,694,597,372
2020년07월_남_10~19세,"16,602",486,444,763,509,758,197,"2,562","1,842",948,775,"1,053",465,622,350,441,613,951,546,987,679,611
2020년07월_남_20~29세,"30,299",992,"1,021","1,156","2,397","1,365",514,"3,563","2,238","1,352","1,697","1,795","2,147","1,237",641,931,"1,319","1,467",864,"1,549","1,087",967
2020년07월_남_30~39세,"30,219","1,197","1,322","1,237","1,063","1,551",508,"3,358","1,735","1,203","1,974","2,393","2,490","1,185",569,899,"1,328","1,910",790,"1,392","1,026","1,089"
2020년07월_남_40~49세,"33,662","1,227","1,110","1,325","1,245","1,404",622,"4,331","2,752","1,537","1,940","2,217","1,759","1,367",755,"1,057","1,460","2,086","1,035","1,703","1,165","1,565"
2020년07월_남_50~59세,"33,994","1,223","1,131","1,476","1,376","1,371",721,"3,883","2,804","1,663","1,912","2,149","1,593","1,583",791,"1,255","1,548","1,711","1,120","1,898","1,302","1,484"
2020년07월_남_60~69세,"26,133",988,910,"1,177","1,180","1,080",667,"2,500","1,980","1,251","1,444","1,793","1,041","1,365",688,"1,188","1,238","1,272","1,005","1,415","1,152",799
2020년07월_남_70~79세,"14,105",522,447,751,815,676,408,"1,222",963,729,818,836,455,831,389,764,638,665,547,720,553,356
2020년07월_남_80~89세,"4,500",168,168,214,262,178,167,361,285,215,278,271,140,264,114,251,203,251,203,234,163,110
2020년07월_남_90~99세,443,23,11,31,25,22,23,34,32,24,31,19,9,24,16,14,24,18,19,21,19,4
2020년07월_남_100세 이상,48,1,3,0,3,4,3,0,4,5,1,4,2,2,2,3,3,3,3,0,1,1
2020년07월_여_총인구수,"201,226","7,225","7,078","8,535","7,909","8,941","3,630","24,329","15,938","9,818","11,924","13,124","9,936","8,758","4,417","7,172","8,846","11,462","6,742","11,092","7,955","6,395"
2020년07월_여_연령구간인구수,"201,226","7,225","7,078","8,535","7,909","8,941","3,630","24,329","15,938","9,818","11,924","13,124","9,936","8,758","4,417","7,172","8,846","11,462","6,742","11,092","7,955","6,395"
2020년07월_여_0~9세,"13,641",586,532,516,325,644,150,"2,125","1,154",637,859,"1,112",641,492,230,315,436,"1,034",309,679,496,369
2020년07월_여_10~19세,"15,604",453,429,631,490,603,193,"2,392","1,682",899,823,"1,000",463,535,342,452,605,904,478,986,661,583
2020년07월_여_20~29세,"26,965",901,"1,032","1,047","1,364","1,354",347,"3,369","1,947","1,114","1,664","1,643","2,187","1,006",509,786,"1,230","1,409",729,"1,380","1,046",901
2020년07월_여_30~39세,"26,088","1,006","1,093","1,044",761,"1,323",365,"3,317","1,656","1,115","1,769","1,937","1,905","1,027",458,736,"1,085","1,753",683,"1,247",992,816
2020년07월_여_40~49세,"30,126",952,949,"1,235",889,"1,287",421,"4,180","2,871","1,521","1,697","1,884","1,397","1,149",647,909,"1,242","1,858",956,"1,728","1,137","1,217"
2020년07월_여_50~59세,"33,731","1,195","1,124","1,400","1,288","1,350",590,"3,965","2,804","1,744","1,900","2,140","1,533","1,494",755,"1,199","1,575","1,746","1,271","2,091","1,513","1,054"
2020년07월_여_60~69세,"28,360","1,037",910,"1,305","1,315","1,222",728,"2,704","2,060","1,376","1,638","1,802","1,048","1,534",713,"1,370","1,354","1,516","1,169","1,607","1,184",768
2020년07월_여_70~79세,"17,059",692,588,837,968,764,530,"1,439","1,167",857,"1,026","1,033",491,958,515,930,808,774,750,907,572,453
2020년07월_여_80~89세,"8,020",347,328,454,410,318,251,710,503,456,452,481,221,469,218,382,428,387,323,403,292,187
2020년07월_여_90~99세,"1,501",52,80,61,87,67,45,126,91,93,89,84,49,84,27,85,76,76,68,59,57,45
2020년07월_여_100세 이상,131,4,13,5,12,9,10,2,3,6,7,8,1,10,3,8,7,5,6,5,5,2
