,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년11월_계_총인구수,"31,343","8,284","3,320","1,794","3,717","1,845","3,080","2,795","2,784","3,724"
2021년11월_계_연령구간인구수,"31,343","8,284","3,320","1,794","3,717","1,845","3,080","2,795","2,784","3,724"
2021년11월_계_0~9세,"1,217",482,118,54,115,45,84,96,84,139
2021년11월_계_10~19세,"2,011",783,179,60,198,80,240,118,129,224
2021년11월_계_20~29세,"2,349",751,175,111,250,126,234,182,237,283
2021년11월_계_30~39세,"1,847",618,143,104,199,81,159,167,177,199
2021년11월_계_40~49세,"3,276","1,099",334,151,351,161,259,242,276,403
2021년11월_계_50~59세,"5,365","1,371",553,294,616,335,575,463,512,646
2021년11월_계_60~69세,"6,195","1,332",677,421,798,386,586,670,598,727
2021년11월_계_70~79세,"4,945","1,033",646,319,625,316,499,457,420,630
2021년11월_계_80~89세,"3,596",710,441,240,484,271,379,349,309,413
2021년11월_계_90~99세,526,104,53,39,79,43,62,51,40,55
2021년11월_계_100세 이상,16,1,1,1,2,1,3,0,2,5
2021년11월_남_총인구수,"15,776","4,092","1,674",886,"1,865",898,"1,598","1,386","1,419","1,958"
2021년11월_남_연령구간인구수,"15,776","4,092","1,674",886,"1,865",898,"1,598","1,386","1,419","1,958"
2021년11월_남_0~9세,632,240,54,31,68,16,47,50,46,80
2021년11월_남_10~19세,"1,087",431,89,26,106,45,140,62,65,123
2021년11월_남_20~29세,"1,386",420,103,61,154,82,148,105,134,179
2021년11월_남_30~39세,987,299,82,57,108,51,98,87,87,118
2021년11월_남_40~49세,"1,941",592,224,109,218,96,141,141,153,267
2021년11월_남_50~59세,"3,148",753,333,160,368,197,358,275,304,400
2021년11월_남_60~69세,"3,274",677,364,212,424,204,303,373,333,384
2021년11월_남_70~79세,"2,103",435,260,145,263,125,229,192,184,270
2021년11월_남_80~89세,"1,099",225,153,73,141,72,123,95,102,115
2021년11월_남_90~99세,119,20,12,12,15,10,11,6,11,22
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"15,567","4,192","1,646",908,"1,852",947,"1,482","1,409","1,365","1,766"
2021년11월_여_연령구간인구수,"15,567","4,192","1,646",908,"1,852",947,"1,482","1,409","1,365","1,766"
2021년11월_여_0~9세,585,242,64,23,47,29,37,46,38,59
2021년11월_여_10~19세,924,352,90,34,92,35,100,56,64,101
2021년11월_여_20~29세,963,331,72,50,96,44,86,77,103,104
2021년11월_여_30~39세,860,319,61,47,91,30,61,80,90,81
2021년11월_여_40~49세,"1,335",507,110,42,133,65,118,101,123,136
2021년11월_여_50~59세,"2,217",618,220,134,248,138,217,188,208,246
2021년11월_여_60~69세,"2,921",655,313,209,374,182,283,297,265,343
2021년11월_여_70~79세,"2,842",598,386,174,362,191,270,265,236,360
2021년11월_여_80~89세,"2,497",485,288,167,343,199,256,254,207,298
2021년11월_여_90~99세,407,84,41,27,64,33,51,45,29,33
2021년11월_여_100세 이상,16,1,1,1,2,1,3,0,2,5
