카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년02월_계_총인구수,"71,778","5,817","1,122","3,180",821,"2,591","3,118","2,440","2,764","1,909","3,594","2,607","5,879","7,187","9,263","3,156","16,330"
2020년02월_계_연령구간인구수,"71,778","5,817","1,122","3,180",821,"2,591","3,118","2,440","2,764","1,909","3,594","2,607","5,879","7,187","9,263","3,156","16,330"
2020년02월_계_0~9세,"4,134",226,42,97,21,65,107,54,50,82,84,70,356,437,690,119,"1,634"
2020년02월_계_10~19세,"5,917",339,60,157,37,374,133,164,120,69,146,95,432,620,918,145,"2,108"
2020년02월_계_20~29세,"6,237",420,72,163,29,151,199,316,153,99,210,121,545,629,917,219,"1,994"
2020년02월_계_30~39세,"6,074",377,54,158,57,115,172,117,121,96,224,146,606,669,889,255,"2,018"
2020년02월_계_40~49세,"8,921",628,113,259,72,176,274,204,236,178,318,196,728,904,"1,342",331,"2,962"
2020년02월_계_50~59세,"12,284","1,077",231,564,171,372,506,384,510,364,628,507,997,"1,204","1,620",559,"2,590"
2020년02월_계_60~69세,"12,907","1,199",249,682,187,552,693,521,582,462,750,613,"1,138","1,352","1,487",670,"1,770"
2020년02월_계_70~79세,"9,238","1,003",174,610,148,397,556,380,537,328,717,488,705,931,888,522,854
2020년02월_계_80~89세,"5,247",463,107,417,83,337,405,266,400,205,453,302,329,389,445,303,343
2020년02월_계_90~99세,761,74,20,70,15,51,70,33,51,26,57,62,40,44,61,31,56
2020년02월_계_100세 이상,58,11,0,3,1,1,3,1,4,0,7,7,3,8,6,2,1
2020년02월_남_총인구수,"35,156","2,823",564,"1,549",413,"1,373","1,565","1,155","1,368",971,"1,693","1,209","2,882","3,495","4,591","1,569","7,936"
2020년02월_남_연령구간인구수,"35,156","2,823",564,"1,549",413,"1,373","1,565","1,155","1,368",971,"1,693","1,209","2,882","3,495","4,591","1,569","7,936"
2020년02월_남_0~9세,"2,153",105,22,47,10,36,55,35,30,46,39,33,199,228,370,62,836
2020년02월_남_10~19세,"3,212",183,31,92,24,243,84,68,67,37,80,50,236,329,529,85,"1,074"
2020년02월_남_20~29세,"3,473",262,40,104,11,84,116,141,96,55,116,74,314,366,542,125,"1,027"
2020년02월_남_30~39세,"3,245",214,32,90,26,71,101,66,75,54,135,87,331,370,445,145,"1,003"
2020년02월_남_40~49세,"4,789",349,66,145,39,116,184,121,148,113,199,123,400,473,709,207,"1,397"
2020년02월_남_50~59세,"6,281",562,132,289,93,211,281,208,298,187,345,249,465,593,777,311,"1,280"
2020년02월_남_60~69세,"6,213",546,124,362,115,290,338,270,305,266,362,303,502,595,670,315,850
2020년02월_남_70~79세,"3,983",429,80,269,64,190,256,152,226,139,283,200,312,411,380,228,364
2020년02월_남_80~89세,"1,635",155,34,131,29,119,136,86,112,70,121,74,112,122,155,89,90
2020년02월_남_90~99세,158,14,3,20,2,13,14,8,10,4,9,14,11,6,13,2,15
2020년02월_남_100세 이상,14,4,0,0,0,0,0,0,1,0,4,2,0,2,1,0,0
2020년02월_여_총인구수,"36,622","2,994",558,"1,631",408,"1,218","1,553","1,285","1,396",938,"1,901","1,398","2,997","3,692","4,672","1,587","8,394"
2020년02월_여_연령구간인구수,"36,622","2,994",558,"1,631",408,"1,218","1,553","1,285","1,396",938,"1,901","1,398","2,997","3,692","4,672","1,587","8,394"
2020년02월_여_0~9세,"1,981",121,20,50,11,29,52,19,20,36,45,37,157,209,320,57,798
2020년02월_여_10~19세,"2,705",156,29,65,13,131,49,96,53,32,66,45,196,291,389,60,"1,034"
2020년02월_여_20~29세,"2,764",158,32,59,18,67,83,175,57,44,94,47,231,263,375,94,967
2020년02월_여_30~39세,"2,829",163,22,68,31,44,71,51,46,42,89,59,275,299,444,110,"1,015"
2020년02월_여_40~49세,"4,132",279,47,114,33,60,90,83,88,65,119,73,328,431,633,124,"1,565"
2020년02월_여_50~59세,"6,003",515,99,275,78,161,225,176,212,177,283,258,532,611,843,248,"1,310"
2020년02월_여_60~69세,"6,694",653,125,320,72,262,355,251,277,196,388,310,636,757,817,355,920
2020년02월_여_70~79세,"5,255",574,94,341,84,207,300,228,311,189,434,288,393,520,508,294,490
2020년02월_여_80~89세,"3,612",308,73,286,54,218,269,180,288,135,332,228,217,267,290,214,253
2020년02월_여_90~99세,603,60,17,50,13,38,56,25,41,22,48,48,29,38,48,29,41
2020년02월_여_100세 이상,44,7,0,3,1,1,3,1,3,0,3,5,3,6,5,2,1
