,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년11월_계_총인구수,"53,468","21,137","2,227","2,612","2,722","2,470","2,382","2,688","1,766","3,215","2,460","3,131","1,898","2,194","2,566"
2021년11월_계_연령구간인구수,"53,468","21,137","2,227","2,612","2,722","2,470","2,382","2,688","1,766","3,215","2,460","3,131","1,898","2,194","2,566"
2021년11월_계_0~9세,"2,458","1,709",43,76,79,50,58,66,30,67,60,82,32,42,64
2021년11월_계_10~19세,"4,110","2,645",94,96,199,110,147,101,53,139,101,148,60,100,117
2021년11월_계_20~29세,"4,014","2,228",135,146,155,126,138,136,68,171,140,215,109,134,113
2021년11월_계_30~39세,"3,598","2,035",111,135,121,127,113,119,79,135,146,155,90,104,128
2021년11월_계_40~49세,"5,833","3,053",188,224,229,209,218,212,131,256,228,310,168,191,216
2021년11월_계_50~59세,"8,785","3,417",396,472,438,393,415,378,295,547,473,524,285,350,402
2021년11월_계_60~69세,"10,126","2,993",496,594,546,565,489,643,407,722,550,690,434,462,535
2021년11월_계_70~79세,"8,123","1,820",420,477,546,474,460,591,340,647,423,534,399,423,569
2021년11월_계_80~89세,"5,505","1,043",293,343,364,361,302,385,305,468,293,404,271,322,351
2021년11월_계_90~99세,891,184,49,48,43,53,42,56,57,61,46,67,50,65,70
2021년11월_계_100세 이상,25,10,2,1,2,2,0,1,1,2,0,2,0,1,1
2021년11월_남_총인구수,"26,538","10,493","1,145","1,321","1,348","1,215","1,168","1,322",867,"1,596","1,230","1,541",978,"1,058","1,256"
2021년11월_남_연령구간인구수,"26,538","10,493","1,145","1,321","1,348","1,215","1,168","1,322",867,"1,596","1,230","1,541",978,"1,058","1,256"
2021년11월_남_0~9세,"1,301",892,20,33,44,30,30,41,15,42,37,47,13,23,34
2021년11월_남_10~19세,"2,265","1,464",56,55,117,47,91,47,33,77,50,71,43,47,67
2021년11월_남_20~29세,"2,316","1,247",83,83,96,83,79,76,46,106,73,132,71,73,68
2021년11월_남_30~39세,"1,941","1,013",71,77,61,81,65,70,49,83,84,92,53,55,87
2021년11월_남_40~49세,"3,291","1,515",120,146,149,124,137,146,76,169,161,177,118,116,137
2021년11월_남_50~59세,"4,866","1,707",241,295,265,235,231,234,191,301,260,289,165,205,247
2021년11월_남_60~69세,"5,079","1,445",279,297,257,280,241,302,202,389,277,365,235,243,267
2021년11월_남_70~79세,"3,574",793,186,213,236,215,206,286,149,270,184,232,182,182,240
2021년11월_남_80~89세,"1,750",382,86,114,115,109,79,111,91,145,97,126,89,107,99
2021년11월_남_90~99세,153,34,3,8,8,11,9,9,14,14,7,10,9,7,10
2021년11월_남_100세 이상,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2021년11월_여_총인구수,"26,930","10,644","1,082","1,291","1,374","1,255","1,214","1,366",899,"1,619","1,230","1,590",920,"1,136","1,310"
2021년11월_여_연령구간인구수,"26,930","10,644","1,082","1,291","1,374","1,255","1,214","1,366",899,"1,619","1,230","1,590",920,"1,136","1,310"
2021년11월_여_0~9세,"1,157",817,23,43,35,20,28,25,15,25,23,35,19,19,30
2021년11월_여_10~19세,"1,845","1,181",38,41,82,63,56,54,20,62,51,77,17,53,50
2021년11월_여_20~29세,"1,698",981,52,63,59,43,59,60,22,65,67,83,38,61,45
2021년11월_여_30~39세,"1,657","1,022",40,58,60,46,48,49,30,52,62,63,37,49,41
2021년11월_여_40~49세,"2,542","1,538",68,78,80,85,81,66,55,87,67,133,50,75,79
2021년11월_여_50~59세,"3,919","1,710",155,177,173,158,184,144,104,246,213,235,120,145,155
2021년11월_여_60~69세,"5,047","1,548",217,297,289,285,248,341,205,333,273,325,199,219,268
2021년11월_여_70~79세,"4,549","1,027",234,264,310,259,254,305,191,377,239,302,217,241,329
2021년11월_여_80~89세,"3,755",661,207,229,249,252,223,274,214,323,196,278,182,215,252
2021년11월_여_90~99세,738,150,46,40,35,42,33,47,43,47,39,57,41,58,60
2021년11월_여_100세 이상,23,9,2,1,2,2,0,1,0,2,0,2,0,1,1
