카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년05월_계_총인구수,"225,069","26,598","6,153","7,133","12,184","10,392","5,461","50,363","9,928","27,266","27,907","41,684"
2020년05월_계_연령구간인구수,"225,069","26,598","6,153","7,133","12,184","10,392","5,461","50,363","9,928","27,266","27,907","41,684"
2020년05월_계_0~9세,"19,742","1,516",170,399,687,516,218,"5,254",655,"1,996","2,453","5,878"
2020년05월_계_10~19세,"23,861","2,633",339,416,925,562,282,"7,180",782,"2,773","3,753","4,216"
2020년05월_계_20~29세,"26,807","3,332",713,855,"1,329","1,098",600,"5,120","1,627","3,596","3,785","4,752"
2020년05월_계_30~39세,"27,492","2,432",513,829,"1,222","1,113",483,"5,634","1,202","2,896","3,033","8,135"
2020년05월_계_40~49세,"38,864","4,005",717,805,"1,793","1,182",647,"10,576","1,420","4,496","5,348","7,875"
2020년05월_계_50~59세,"37,282","5,205","1,326","1,321","2,530","1,787","1,116","7,183","1,840","5,464","4,616","4,894"
2020년05월_계_60~69세,"27,302","4,078","1,328","1,343","2,038","2,138","1,056","4,854","1,295","3,417","2,314","3,441"
2020년05월_계_70~79세,"15,947","2,229",664,715,"1,078","1,271",689,"3,253",731,"1,822","1,679","1,816"
2020년05월_계_80~89세,"6,761","1,025",326,369,516,588,325,"1,151",326,718,830,587
2020년05월_계_90~99세,945,138,54,74,62,130,40,151,38,82,93,83
2020년05월_계_100세 이상,66,5,3,7,4,7,5,7,12,6,3,7
2020년05월_남_총인구수,"114,236","13,414","3,479","4,000","6,566","5,330","2,841","24,652","5,251","13,826","13,833","21,044"
2020년05월_남_연령구간인구수,"114,236","13,414","3,479","4,000","6,566","5,330","2,841","24,652","5,251","13,826","13,833","21,044"
2020년05월_남_0~9세,"10,080",737,98,203,352,280,115,"2,696",332,"1,030","1,239","2,998"
2020년05월_남_10~19세,"12,200","1,359",184,221,489,303,155,"3,629",395,"1,444","1,943","2,078"
2020년05월_남_20~29세,"14,396","1,808",418,547,770,648,321,"2,591",961,"1,891","1,982","2,459"
2020년05월_남_30~39세,"14,179","1,308",323,504,695,611,266,"2,671",666,"1,520","1,488","4,127"
2020년05월_남_40~49세,"20,007","2,023",447,489,"1,025",641,377,"5,232",747,"2,328","2,642","4,056"
2020년05월_남_50~59세,"19,558","2,692",792,782,"1,404",900,581,"3,736","1,001","2,789","2,374","2,507"
2020년05월_남_60~69세,"13,670","2,066",746,751,"1,104","1,053",571,"2,145",663,"1,738","1,133","1,700"
2020년05월_남_70~79세,"7,366","1,010",338,351,509,634,320,"1,473",348,805,679,899
2020년05월_남_80~89세,"2,545",382,118,135,201,227,128,441,123,264,320,206
2020년05월_남_90~99세,225,29,15,15,17,30,6,38,13,17,31,14
2020년05월_남_100세 이상,10,0,0,2,0,3,1,0,2,0,2,0
2020년05월_여_총인구수,"110,833","13,184","2,674","3,133","5,618","5,062","2,620","25,711","4,677","13,440","14,074","20,640"
2020년05월_여_연령구간인구수,"110,833","13,184","2,674","3,133","5,618","5,062","2,620","25,711","4,677","13,440","14,074","20,640"
2020년05월_여_0~9세,"9,662",779,72,196,335,236,103,"2,558",323,966,"1,214","2,880"
2020년05월_여_10~19세,"11,661","1,274",155,195,436,259,127,"3,551",387,"1,329","1,810","2,138"
2020년05월_여_20~29세,"12,411","1,524",295,308,559,450,279,"2,529",666,"1,705","1,803","2,293"
2020년05월_여_30~39세,"13,313","1,124",190,325,527,502,217,"2,963",536,"1,376","1,545","4,008"
2020년05월_여_40~49세,"18,857","1,982",270,316,768,541,270,"5,344",673,"2,168","2,706","3,819"
2020년05월_여_50~59세,"17,724","2,513",534,539,"1,126",887,535,"3,447",839,"2,675","2,242","2,387"
2020년05월_여_60~69세,"13,632","2,012",582,592,934,"1,085",485,"2,709",632,"1,679","1,181","1,741"
2020년05월_여_70~79세,"8,581","1,219",326,364,569,637,369,"1,780",383,"1,017","1,000",917
2020년05월_여_80~89세,"4,216",643,208,234,315,361,197,710,203,454,510,381
2020년05월_여_90~99세,720,109,39,59,45,100,34,113,25,65,62,69
2020년05월_여_100세 이상,56,5,3,5,4,4,4,7,10,6,1,7
