카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년04월_계_총인구수,"55,716","14,629","2,303","2,635","1,685","19,677","2,527","2,412","1,501","2,688","3,125","1,184","1,350"
2021년04월_계_연령구간인구수,"55,716","14,629","2,303","2,635","1,685","19,677","2,527","2,412","1,501","2,688","3,125","1,184","1,350"
2021년04월_계_0~9세,"4,564",783,65,52,55,"3,249",148,47,17,44,49,22,33
2021년04월_계_10~19세,"4,414","1,177",112,82,52,"2,426",114,83,36,85,116,55,76
2021년04월_계_20~29세,"4,097","1,318",87,135,52,"1,760",203,113,50,88,180,46,65
2021년04월_계_30~39세,"5,413","1,114",73,116,83,"3,368",211,96,44,108,113,38,49
2021년04월_계_40~49세,"7,160","1,864",174,154,116,"3,716",237,199,92,192,228,83,105
2021년04월_계_50~59세,"7,971","2,432",339,410,255,"2,355",323,349,207,388,480,224,209
2021년04월_계_60~69세,"9,637","2,901",519,698,418,"1,498",458,588,410,710,759,360,318
2021년04월_계_70~79세,"6,701","1,799",484,498,337,734,415,498,318,556,610,182,270
2021년04월_계_80~89세,"5,062","1,085",405,426,281,498,360,387,295,461,527,146,191
2021년04월_계_90~99세,673,153,44,63,36,71,56,48,31,52,62,27,30
2021년04월_계_100세 이상,24,3,1,1,0,2,2,4,1,4,1,1,4
2021년04월_남_총인구수,"27,393","7,231","1,154","1,311",832,"9,652","1,247","1,170",722,"1,330","1,491",582,671
2021년04월_남_연령구간인구수,"27,393","7,231","1,154","1,311",832,"9,652","1,247","1,170",722,"1,330","1,491",582,671
2021년04월_남_0~9세,"2,311",388,35,26,28,"1,655",78,23,5,23,23,11,16
2021년04월_남_10~19세,"2,349",656,69,43,32,"1,250",58,46,21,46,57,35,36
2021년04월_남_20~29세,"2,314",777,49,91,28,920,128,63,31,53,112,21,41
2021년04월_남_30~39세,"2,723",582,39,72,44,"1,580",123,59,26,72,77,18,31
2021년04월_남_40~49세,"3,876","1,005",112,109,80,"1,834",153,132,62,137,140,50,62
2021년04월_남_50~59세,"4,178","1,210",201,218,158,"1,168",193,192,124,225,255,109,125
2021년04월_남_60~69세,"4,796","1,375",281,371,222,736,212,282,213,363,378,201,162
2021년04월_남_70~79세,"3,012",820,216,217,142,340,184,222,137,255,269,91,119
2021년04월_남_80~89세,"1,708",391,142,148,87,160,106,141,100,149,171,40,73
2021년04월_남_90~99세,124,27,10,15,11,9,12,10,3,6,9,6,6
2021년04월_남_100세 이상,2,0,0,1,0,0,0,0,0,1,0,0,0
2021년04월_여_총인구수,"28,323","7,398","1,149","1,324",853,"10,025","1,280","1,242",779,"1,358","1,634",602,679
2021년04월_여_연령구간인구수,"28,323","7,398","1,149","1,324",853,"10,025","1,280","1,242",779,"1,358","1,634",602,679
2021년04월_여_0~9세,"2,253",395,30,26,27,"1,594",70,24,12,21,26,11,17
2021년04월_여_10~19세,"2,065",521,43,39,20,"1,176",56,37,15,39,59,20,40
2021년04월_여_20~29세,"1,783",541,38,44,24,840,75,50,19,35,68,25,24
2021년04월_여_30~39세,"2,690",532,34,44,39,"1,788",88,37,18,36,36,20,18
2021년04월_여_40~49세,"3,284",859,62,45,36,"1,882",84,67,30,55,88,33,43
2021년04월_여_50~59세,"3,793","1,222",138,192,97,"1,187",130,157,83,163,225,115,84
2021년04월_여_60~69세,"4,841","1,526",238,327,196,762,246,306,197,347,381,159,156
2021년04월_여_70~79세,"3,689",979,268,281,195,394,231,276,181,301,341,91,151
2021년04월_여_80~89세,"3,354",694,263,278,194,338,254,246,195,312,356,106,118
2021년04월_여_90~99세,549,126,34,48,25,62,44,38,28,46,53,21,24
2021년04월_여_100세 이상,22,3,1,0,0,2,2,4,1,3,1,1,4
