,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년12월_계_총인구수,"394,702","24,865","18,972","14,537","34,622","22,386","25,576","24,763","19,899","20,224","25,578","35,399","19,428","30,431","17,127","39,681","21,214"
2020년12월_계_연령구간인구수,"394,702","24,865","18,972","14,537","34,622","22,386","25,576","24,763","19,899","20,224","25,578","35,399","19,428","30,431","17,127","39,681","21,214"
2020년12월_계_0~9세,"23,064","1,280","1,052","1,286","1,605","1,187","1,113","1,858",793,"1,282","1,059","2,383","1,102","1,499",795,"3,377","1,393"
2020년12월_계_10~19세,"26,759","1,613","1,197",911,"1,991","1,270","1,496","1,990",813,"1,347","1,178","3,137","1,224","1,885","1,172","3,791","1,744"
2020년12월_계_20~29세,"56,112","3,416","2,501","1,769","5,386","3,136","3,815","3,574","4,051","2,923","3,771","4,990","2,724","4,215","2,334","4,928","2,579"
2020년12월_계_30~39세,"58,124","3,321","2,673","2,646","5,336","3,425","3,627","3,649","4,124","3,215","3,699","4,953","3,117","4,108","2,153","5,125","2,953"
2020년12월_계_40~49세,"57,883","3,700","2,953","2,207","5,097","3,182","3,532","3,600","2,624","2,837","3,506","5,903","2,907","4,128","2,444","6,038","3,225"
2020년12월_계_50~59세,"69,528","4,938","3,278","2,464","6,354","3,934","4,725","4,412","3,104","3,379","4,971","5,551","3,247","5,715","3,325","6,572","3,559"
2020년12월_계_60~69세,"58,222","3,686","2,875","1,879","4,895","3,537","4,021","3,322","2,496","3,072","4,127","4,729","2,940","5,072","2,756","5,535","3,280"
2020년12월_계_70~79세,"31,445","2,048","1,827",996,"2,819","1,956","2,301","1,615","1,355","1,544","2,294","2,609","1,546","2,631","1,467","2,817","1,620"
2020년12월_계_80~89세,"11,758",740,520,343,993,660,827,655,461,551,863,992,548,"1,008",580,"1,256",761
2020년12월_계_90~99세,"1,601",112,84,31,120,87,108,85,66,69,92,129,61,150,86,226,95
2020년12월_계_100세 이상,206,11,12,5,26,12,11,3,12,5,18,23,12,20,15,16,5
2020년12월_남_총인구수,"195,165","12,381","9,458","7,332","17,189","11,223","12,710","12,109","9,691","9,905","13,138","17,145","9,565","15,294","8,597","19,317","10,111"
2020년12월_남_연령구간인구수,"195,165","12,381","9,458","7,332","17,189","11,223","12,710","12,109","9,691","9,905","13,138","17,145","9,565","15,294","8,597","19,317","10,111"
2020년12월_남_0~9세,"11,921",645,553,644,831,650,559,981,403,676,565,"1,226",570,770,413,"1,721",714
2020년12월_남_10~19세,"13,643",799,625,474,977,669,780,"1,049",436,659,626,"1,591",635,944,537,"1,957",885
2020년12월_남_20~29세,"27,793","1,690","1,298",908,"2,728","1,601","1,922","1,762","1,707","1,432","1,871","2,401","1,327","2,142","1,190","2,500","1,314"
2020년12월_남_30~39세,"29,956","1,755","1,396","1,342","2,799","1,760","1,935","1,843","2,116","1,669","1,975","2,454","1,628","2,142","1,169","2,527","1,446"
2020년12월_남_40~49세,"29,951","1,955","1,579","1,195","2,672","1,694","1,849","1,764","1,380","1,488","1,893","2,919","1,470","2,235","1,257","3,029","1,572"
2020년12월_남_50~59세,"34,267","2,521","1,635","1,246","3,131","1,911","2,306","2,119","1,565","1,574","2,639","2,669","1,590","2,880","1,697","3,110","1,674"
2020년12월_남_60~69세,"28,254","1,780","1,346",927,"2,383","1,726","1,940","1,623","1,203","1,476","2,127","2,232","1,381","2,521","1,395","2,676","1,518"
2020년12월_남_70~79세,"14,384",929,800,457,"1,238",942,"1,042",705,660,699,"1,050","1,212",722,"1,249",689,"1,290",700
2020년12월_남_80~89세,"4,582",277,200,131,397,253,343,248,203,217,354,408,223,368,232,466,262
2020년12월_남_90~99세,365,29,24,7,26,15,31,15,15,14,32,26,15,37,15,39,25
