카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년03월_계_총인구수,"64,626","19,997","11,955","3,703","2,371","1,555","2,353","2,856","1,417","1,837","1,147","1,681","2,883","2,743","3,134","2,870","2,124"
2021년03월_계_연령구간인구수,"64,626","19,997","11,955","3,703","2,371","1,555","2,353","2,856","1,417","1,837","1,147","1,681","2,883","2,743","3,134","2,870","2,124"
2021년03월_계_0~9세,"2,863","1,040",931,95,48,46,60,90,24,48,18,30,105,72,95,100,61
2021년03월_계_10~19세,"4,584","1,858","1,180",199,116,56,135,159,53,74,28,49,132,116,132,209,88
2021년03월_계_20~29세,"5,269","2,126","1,309",219,113,63,125,187,73,99,55,67,159,156,177,223,118
2021년03월_계_30~39세,"4,277","1,551","1,180",178,95,88,119,126,51,77,53,62,131,139,168,133,126
2021년03월_계_40~49세,"7,038","2,608","1,710",332,199,100,207,252,101,134,59,103,254,224,274,308,173
2021년03월_계_50~59세,"10,597","3,597","1,918",623,382,253,380,430,202,241,181,217,402,398,523,523,327
2021년03월_계_60~69세,"13,251","3,616","1,782",946,606,386,485,642,364,428,306,445,656,622,763,640,564
2021년03월_계_70~79세,"9,351","2,222","1,091",595,473,309,452,571,292,374,231,342,591,516,555,392,345
2021년03월_계_80~89세,"6,380","1,181",742,457,292,219,331,352,216,313,190,311,380,433,391,300,272
2021년03월_계_90~99세,983,192,109,52,45,35,58,45,40,47,26,54,70,66,55,40,49
2021년03월_계_100세 이상,33,6,3,7,2,0,1,2,1,2,0,1,3,1,1,2,1
2021년03월_남_총인구수,"32,077","9,958","5,893","1,863","1,169",777,"1,152","1,379",676,892,575,791,"1,427","1,367","1,597","1,491","1,070"
2021년03월_남_연령구간인구수,"32,077","9,958","5,893","1,863","1,169",777,"1,152","1,379",676,892,575,791,"1,427","1,367","1,597","1,491","1,070"
2021년03월_남_0~9세,"1,525",553,489,54,25,25,37,50,14,28,9,15,48,42,44,54,38
2021년03월_남_10~19세,"2,429",988,611,92,79,33,62,84,22,38,21,27,71,71,73,112,45
2021년03월_남_20~29세,"3,035","1,257",683,138,75,40,75,109,45,62,34,37,92,81,104,132,71
2021년03월_남_30~39세,"2,326",811,573,111,57,53,72,72,34,47,33,39,77,84,101,86,76
2021년03월_남_40~49세,"3,835","1,333",885,189,115,58,128,133,56,82,38,52,148,154,175,178,111
2021년03월_남_50~59세,"5,582","1,833","1,014",325,200,125,198,228,106,130,101,118,238,204,274,308,180
2021년03월_남_60~69세,"6,637","1,730",877,497,287,216,245,308,184,218,144,220,336,338,401,334,302
2021년03월_남_70~79세,"4,201","1,004",473,281,210,146,203,248,133,157,118,154,262,230,258,178,146
2021년03월_남_80~89세,"2,258",406,261,160,113,71,118,137,73,115,73,118,135,144,149,97,88
2021년03월_남_90~99세,246,43,27,15,8,10,14,10,9,14,4,11,20,19,18,11,13
2021년03월_남_100세 이상,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년03월_여_총인구수,"32,549","10,039","6,062","1,840","1,202",778,"1,201","1,477",741,945,572,890,"1,456","1,376","1,537","1,379","1,054"
2021년03월_여_연령구간인구수,"32,549","10,039","6,062","1,840","1,202",778,"1,201","1,477",741,945,572,890,"1,456","1,376","1,537","1,379","1,054"
2021년03월_여_0~9세,"1,338",487,442,41,23,21,23,40,10,20,9,15,57,30,51,46,23
2021년03월_여_10~19세,"2,155",870,569,107,37,23,73,75,31,36,7,22,61,45,59,97,43
2021년03월_여_20~29세,"2,234",869,626,81,38,23,50,78,28,37,21,30,67,75,73,91,47
2021년03월_여_30~39세,"1,951",740,607,67,38,35,47,54,17,30,20,23,54,55,67,47,50
2021년03월_여_40~49세,"3,203","1,275",825,143,84,42,79,119,45,52,21,51,106,70,99,130,62
2021년03월_여_50~59세,"5,015","1,764",904,298,182,128,182,202,96,111,80,99,164,194,249,215,147
2021년03월_여_60~69세,"6,614","1,886",905,449,319,170,240,334,180,210,162,225,320,284,362,306,262
2021년03월_여_70~79세,"5,150","1,218",618,314,263,163,249,323,159,217,113,188,329,286,297,214,199
2021년03월_여_80~89세,"4,122",775,481,297,179,148,213,215,143,198,117,193,245,289,242,203,184
2021년03월_여_90~99세,737,149,82,37,37,25,44,35,31,33,22,43,50,47,37,29,36
2021년03월_여_100세 이상,30,6,3,6,2,0,1,2,1,1,0,1,3,1,1,1,1
