,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년12월_계_총인구수,"8,867","6,278",881,443,"1,265"
2021년12월_계_연령구간인구수,"8,867","6,278",881,443,"1,265"
2021년12월_계_0~9세,377,273,46,15,43
2021년12월_계_10~19세,453,354,39,19,41
2021년12월_계_20~29세,812,611,65,24,112
2021년12월_계_30~39세,780,601,66,28,85
2021년12월_계_40~49세,"1,213",903,103,32,175
2021년12월_계_50~59세,"1,783","1,287",177,89,230
2021년12월_계_60~69세,"1,818","1,250",190,99,279
2021년12월_계_70~79세,"1,049",682,110,83,174
2021년12월_계_80~89세,501,276,79,37,109
2021년12월_계_90~99세,79,39,6,17,17
2021년12월_계_100세 이상,2,2,0,0,0
2021년12월_남_총인구수,"4,851","3,446",471,242,692
2021년12월_남_연령구간인구수,"4,851","3,446",471,242,692
2021년12월_남_0~9세,197,146,22,9,20
2021년12월_남_10~19세,229,166,28,12,23
2021년12월_남_20~29세,498,374,43,13,68
2021년12월_남_30~39세,458,359,35,15,49
2021년12월_남_40~49세,748,542,63,25,118
2021년12월_남_50~59세,"1,053",763,103,54,133
2021년12월_남_60~69세,953,651,104,48,150
2021년12월_남_70~79세,496,321,47,46,82
2021년12월_남_80~89세,199,116,24,14,45
2021년12월_남_90~99세,20,8,2,6,4
2021년12월_남_100세 이상,0,0,0,0,0
2021년12월_여_총인구수,"4,016","2,832",410,201,573
2021년12월_여_연령구간인구수,"4,016","2,832",410,201,573
2021년12월_여_0~9세,180,127,24,6,23
2021년12월_여_10~19세,224,188,11,7,18
2021년12월_여_20~29세,314,237,22,11,44
2021년12월_여_30~39세,322,242,31,13,36
2021년12월_여_40~49세,465,361,40,7,57
2021년12월_여_50~59세,730,524,74,35,97
2021년12월_여_60~69세,865,599,86,51,129
2021년12월_여_70~79세,553,361,63,37,92
2021년12월_여_80~89세,302,160,55,23,64
2021년12월_여_90~99세,59,31,4,11,13
2021년12월_여_100세 이상,2,2,0,0,0
