,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년05월_계_총인구수,"3,327,298","1,034,130","260,346","212,396","179,657","188,784","192,947","347,274","126,587","110,371","540,423","104,133","243,484","353,415","26,627","63,267","60,972","50,987","42,690","44,223","34,641","38,860","61,646","43,568"
2021년05월_계_연령구간인구수,"3,327,298","1,034,130","260,346","212,396","179,657","188,784","192,947","347,274","126,587","110,371","540,423","104,133","243,484","353,415","26,627","63,267","60,972","50,987","42,690","44,223","34,641","38,860","61,646","43,568"
2021년05월_계_0~9세,"260,666","81,477","20,874","15,861","13,225","12,765","18,752","27,617","9,151","7,893","47,744","5,448","25,537","33,860","1,037","3,841","3,099","2,429","1,551","1,738","1,268","1,757","3,679","1,540"
2021년05월_계_10~19세,"321,295","98,503","23,159","22,463","14,036","17,866","20,979","34,789","12,655","10,172","60,636","7,684","27,793","34,493","1,484","5,866","4,158","4,159","2,921","2,773","2,060","2,911","5,892","2,346"
2021년05월_계_20~29세,"372,640","128,220","35,086","31,681","19,195","21,761","20,497","44,943","10,892","10,572","68,432","8,910","23,740","40,331","1,964","5,292","4,730","3,817","3,195","3,263","2,366","3,068","5,955","2,950"
2021년05월_계_30~39세,"390,421","132,120","34,760","28,875","21,236","21,014","26,235","41,159","13,076","11,486","67,980","8,689","34,960","48,272","1,715","5,288","4,932","3,665","2,399","2,682","2,066","2,556","4,912","2,464"
2021년05월_계_40~49세,"531,777","166,936","40,508","34,935","26,427","29,699","35,367","53,685","21,015","17,534","97,435","12,806","47,405","61,142","2,784","9,113","6,968","6,206","4,506","4,799","3,406","4,276","7,623","4,138"
2021년05월_계_50~59세,"577,936","184,757","49,728","42,912","29,502","33,920","28,695","57,112","22,108","18,276","97,472","18,463","39,349","58,791","4,520","11,086","10,761","8,986","7,154","8,193","6,362","6,785","10,363","7,398"
2021년05월_계_60~69세,"479,373","146,868","35,962","25,087","30,934","30,574","24,311","47,629","20,928","16,968","60,840","21,448","27,713","44,775","5,633","11,362","12,448","9,975","8,471","9,185","7,589","7,549","10,555","9,437"
2021년05월_계_70~79세,"247,090","64,459","13,605","7,096","16,780","15,004","11,974","25,721","11,205","10,726","26,618","12,741","11,053","21,462","3,929","6,644","8,058","6,768","6,654","6,351","5,202","5,457","6,947","7,095"
2021년05월_계_80~89세,"127,635","27,080","5,799","3,027","7,258","5,556","5,440","12,735","4,894","5,880","11,774","7,008","5,088","9,097","3,085","4,191","5,118","4,310","4,932","4,436","3,729","3,886","4,930","5,462"
2021년05월_계_90~99세,"17,947","3,614",836,448,"1,041",603,686,"1,806",646,842,"1,438",908,819,"1,159",470,575,686,657,893,784,578,598,766,708
2021년05월_계_100세 이상,518,96,29,11,23,22,11,78,17,22,54,28,27,33,6,9,14,15,14,19,15,17,24,30
2021년05월_남_총인구수,"1,675,389","524,029","132,480","108,541","89,458","94,581","98,969","171,697","63,585","55,696","273,340","51,149","127,683","177,197","13,089","32,137","30,363","25,578","20,649","22,080","17,016","18,778","30,255","21,068"
2021년05월_남_연령구간인구수,"1,675,389","524,029","132,480","108,541","89,458","94,581","98,969","171,697","63,585","55,696","273,340","51,149","127,683","177,197","13,089","32,137","30,363","25,578","20,649","22,080","17,016","18,778","30,255","21,068"
2021년05월_남_0~9세,"133,891","42,049","10,700","8,122","6,869","6,569","9,789","14,290","4,588","4,087","24,353","2,790","13,213","17,269",532,"1,928","1,611","1,217",809,903,661,890,"1,900",801
2021년05월_남_10~19세,"168,063","51,594","12,254","11,847","7,279","9,348","10,866","18,337","6,544","5,260","31,468","4,029","14,551","17,711",791,"3,105","2,244","2,275","1,596","1,507","1,108","1,513","3,197","1,233"
2021년05월_남_20~29세,"207,779","71,598","19,516","17,768","10,598","12,050","11,666","24,721","6,075","6,325","37,345","5,184","13,404","21,656","1,114","3,102","2,744","2,254","1,977","1,946","1,343","1,735","3,561","1,695"
2021년05월_남_30~39세,"204,210","69,926","18,396","15,426","11,269","11,058","13,777","21,134","6,703","6,194","35,043","4,608","18,367","24,814",919,"2,705","2,718","2,026","1,244","1,480","1,101","1,317","2,535","1,376"
2021년05월_남_40~49세,"273,754","84,984","20,475","16,826","13,902","15,140","18,641","26,778","11,294","9,318","48,458","6,783","25,719","31,054","1,599","4,922","3,866","3,447","2,416","2,667","1,883","2,341","3,870","2,355"
2021년05월_남_50~59세,"295,652","91,766","24,401","20,802","14,729","16,899","14,935","28,147","11,430","9,717","49,983","9,346","21,212","29,681","2,517","6,125","5,785","4,903","3,864","4,511","3,465","3,658","5,424","4,118"
2021년05월_남_60~69세,"238,250","72,692","18,253","13,368","14,646","14,578","11,847","22,762","10,190","8,209","31,095","10,503","14,226","21,924","2,983","5,904","6,202","4,990","4,142","4,770","3,925","3,773","5,159","4,801"
2021년05월_남_70~79세,"110,010","29,647","6,505","3,417","7,522","6,816","5,387","11,237","5,089","4,608","11,645","5,574","5,284","9,690","1,635","2,980","3,525","3,012","2,941","2,768","2,307","2,254","2,888","2,926"
2021년05월_남_80~89세,"40,341","9,090","1,826",886,"2,441","2,011","1,926","3,958","1,545","1,842","3,682","2,153","1,565","3,142",904,"1,257","1,553","1,337","1,508","1,360","1,106","1,173","1,545","1,621"
2021년05월_남_90~99세,"3,345",669,149,77,200,110,133,317,124,130,255,174,133,253,94,106,115,115,151,163,115,121,171,139
2021년05월_남_100세 이상,94,14,5,2,3,2,2,16,3,6,13,5,9,3,1,3,0,2,1,5,2,3,5,3
2021년05월_여_총인구수,"1,651,909","510,101","127,866","103,855","90,199","94,203","93,978","175,577","63,002","54,675","267,083","52,984","115,801","176,218","13,538","31,130","30,609","25,409","22,041","22,143","17,625","20,082","31,391","22,500"
2021년05월_여_연령구간인구수,"1,651,909","510,101","127,866","103,855","90,199","94,203","93,978","175,577","63,002","54,675","267,083","52,984","115,801","176,218","13,538","31,130","30,609","25,409","22,041","22,143","17,625","20,082","31,391","22,500"
2021년05월_여_0~9세,"126,775","39,428","10,174","7,739","6,356","6,196","8,963","13,327","4,563","3,806","23,391","2,658","12,324","16,591",505,"1,913","1,488","1,212",742,835,607,867,"1,779",739
2021년05월_여_10~19세,"153,232","46,909","10,905","10,616","6,757","8,518","10,113","16,452","6,111","4,912","29,168","3,655","13,242","16,782",693,"2,761","1,914","1,884","1,325","1,266",952,"1,398","2,695","1,113"
2021년05월_여_20~29세,"164,861","56,622","15,570","13,913","8,597","9,711","8,831","20,222","4,817","4,247","31,087","3,726","10,336","18,675",850,"2,190","1,986","1,563","1,218","1,317","1,023","1,333","2,394","1,255"
2021년05월_여_30~39세,"186,211","62,194","16,364","13,449","9,967","9,956","12,458","20,025","6,373","5,292","32,937","4,081","16,593","23,458",796,"2,583","2,214","1,639","1,155","1,202",965,"1,239","2,377","1,088"
2021년05월_여_40~49세,"258,023","81,952","20,033","18,109","12,525","14,559","16,726","26,907","9,721","8,216","48,977","6,023","21,686","30,088","1,185","4,191","3,102","2,759","2,090","2,132","1,523","1,935","3,753","1,783"
2021년05월_여_50~59세,"282,284","92,991","25,327","22,110","14,773","17,021","13,760","28,965","10,678","8,559","47,489","9,117","18,137","29,110","2,003","4,961","4,976","4,083","3,290","3,682","2,897","3,127","4,939","3,280"
2021년05월_여_60~69세,"241,123","74,176","17,709","11,719","16,288","15,996","12,464","24,867","10,738","8,759","29,745","10,945","13,487","22,851","2,650","5,458","6,246","4,985","4,329","4,415","3,664","3,776","5,396","4,636"
2021년05월_여_70~79세,"137,080","34,812","7,100","3,679","9,258","8,188","6,587","14,484","6,116","6,118","14,973","7,167","5,769","11,772","2,294","3,664","4,533","3,756","3,713","3,583","2,895","3,203","4,059","4,169"
2021년05월_여_80~89세,"87,294","17,990","3,973","2,141","4,817","3,545","3,514","8,777","3,349","4,038","8,092","4,855","3,523","5,955","2,181","2,934","3,565","2,973","3,424","3,076","2,623","2,713","3,385","3,841"
2021년05월_여_90~99세,"14,602","2,945",687,371,841,493,553,"1,489",522,712,"1,183",734,686,906,376,469,571,542,742,621,463,477,595,569
2021년05월_여_100세 이상,424,82,24,9,20,20,9,62,14,16,41,23,18,30,5,6,14,13,13,14,13,14,19,27
