카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년10월_계_총인구수,"26,781","7,007","6,305","2,402","3,764","7,303",0
2020년10월_계_연령구간인구수,"26,781","7,007","6,305","2,402","3,764","7,303",0
2020년10월_계_0~9세,"1,285",561,214,56,156,298,0
2020년10월_계_10~19세,"1,626",587,343,103,187,406,0
2020년10월_계_20~29세,"2,887",892,533,165,410,887,0
2020년10월_계_30~39세,"2,217",787,359,151,314,606,0
2020년10월_계_40~49세,"3,064",908,636,207,394,919,0
2020년10월_계_50~59세,"4,879","1,153","1,161",452,695,"1,418",0
2020년10월_계_60~69세,"5,129","1,016","1,376",580,754,"1,403",0
2020년10월_계_70~79세,"3,505",670,"1,008",431,519,877,0
2020년10월_계_80~89세,"1,838",359,554,218,288,419,0
2020년10월_계_90~99세,335,69,117,39,43,67,0
2020년10월_계_100세 이상,16,5,4,0,4,3,0
2020년10월_남_총인구수,"13,812","3,658","3,142","1,184","1,961","3,867",0
2020년10월_남_연령구간인구수,"13,812","3,658","3,142","1,184","1,961","3,867",0
2020년10월_남_0~9세,652,292,103,25,77,155,0
2020년10월_남_10~19세,879,325,186,59,91,218,0
2020년10월_남_20~29세,"1,831",556,344,91,259,581,0
2020년10월_남_30~39세,"1,258",425,201,92,196,344,0
2020년10월_남_40~49세,"1,717",483,349,133,232,520,0
2020년10월_남_50~59세,"2,631",615,644,242,362,768,0
2020년10월_남_60~69세,"2,624",512,684,293,399,736,0
2020년10월_남_70~79세,"1,501",317,409,177,227,371,0
2020년10월_남_80~89세,641,114,199,63,106,159,0
2020년10월_남_90~99세,75,18,23,9,12,13,0
2020년10월_남_100세 이상,3,1,0,0,0,2,0
2020년10월_여_총인구수,"12,969","3,349","3,163","1,218","1,803","3,436",0
2020년10월_여_연령구간인구수,"12,969","3,349","3,163","1,218","1,803","3,436",0
2020년10월_여_0~9세,633,269,111,31,79,143,0
2020년10월_여_10~19세,747,262,157,44,96,188,0
2020년10월_여_20~29세,"1,056",336,189,74,151,306,0
2020년10월_여_30~39세,959,362,158,59,118,262,0
2020년10월_여_40~49세,"1,347",425,287,74,162,399,0
2020년10월_여_50~59세,"2,248",538,517,210,333,650,0
2020년10월_여_60~69세,"2,505",504,692,287,355,667,0
2020년10월_여_70~79세,"2,004",353,599,254,292,506,0
2020년10월_여_80~89세,"1,197",245,355,155,182,260,0
2020년10월_여_90~99세,260,51,94,30,31,54,0
2020년10월_여_100세 이상,13,4,4,0,4,1,0
