카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년07월_계_총인구수,"38,818","21,220","1,099","1,481","1,753","2,168","2,273","1,266","1,743","3,792","2,023"
2020년07월_계_연령구간인구수,"38,818","21,220","1,099","1,481","1,753","2,168","2,273","1,266","1,743","3,792","2,023"
2020년07월_계_0~9세,"1,714","1,332",20,23,29,35,50,41,45,95,44
2020년07월_계_10~19세,"2,995","2,222",32,57,81,82,95,54,76,209,87
2020년07월_계_20~29세,"3,304","2,336",43,69,95,135,117,103,105,218,83
2020년07월_계_30~39세,"2,859","1,955",53,63,62,107,124,85,105,202,103
2020년07월_계_40~49세,"4,722","3,032",103,122,168,209,228,144,180,350,186
2020년07월_계_50~59세,"7,436","3,782",236,353,419,456,449,273,334,736,398
2020년07월_계_60~69세,"7,883","3,259",267,373,466,558,623,297,421,"1,000",619
2020년07월_계_70~79세,"4,892","2,108",207,267,262,348,345,159,289,553,354
2020년07월_계_80~89세,"2,615","1,033",121,138,146,209,206,97,160,377,128
2020년07월_계_90~99세,348,142,15,15,22,23,31,12,27,42,19
2020년07월_계_100세 이상,50,19,2,1,3,6,5,1,1,10,2
2020년07월_남_총인구수,"20,048","10,855",567,775,904,"1,135","1,193",709,940,"1,948","1,022"
2020년07월_남_연령구간인구수,"20,048","10,855",567,775,904,"1,135","1,193",709,940,"1,948","1,022"
2020년07월_남_0~9세,913,718,15,12,16,16,21,22,25,47,21
2020년07월_남_10~19세,"1,608","1,212",16,24,41,35,53,28,33,123,43
2020년07월_남_20~29세,"1,896","1,327",25,45,56,82,71,68,61,118,43
2020년07월_남_30~39세,"1,564","1,017",29,43,33,65,80,48,77,123,49
2020년07월_남_40~49세,"2,607","1,563",68,79,93,131,145,87,120,203,118
2020년07월_남_50~59세,"4,090","2,058",139,200,227,260,250,166,201,390,199
2020년07월_남_60~69세,"4,103","1,640",134,212,248,307,343,166,218,526,309
2020년07월_남_70~79세,"2,226",913,91,112,135,153,159,82,135,266,180
2020년07월_남_80~89세,931,368,45,43,50,78,60,39,60,135,53
2020년07월_남_90~99세,96,34,4,4,5,5,9,3,10,15,7
2020년07월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0
2020년07월_여_총인구수,"18,770","10,365",532,706,849,"1,033","1,080",557,803,"1,844","1,001"
2020년07월_여_연령구간인구수,"18,770","10,365",532,706,849,"1,033","1,080",557,803,"1,844","1,001"
2020년07월_여_0~9세,801,614,5,11,13,19,29,19,20,48,23
2020년07월_여_10~19세,"1,387","1,010",16,33,40,47,42,26,43,86,44
2020년07월_여_20~29세,"1,408","1,009",18,24,39,53,46,35,44,100,40
2020년07월_여_30~39세,"1,295",938,24,20,29,42,44,37,28,79,54
2020년07월_여_40~49세,"2,115","1,469",35,43,75,78,83,57,60,147,68
2020년07월_여_50~59세,"3,346","1,724",97,153,192,196,199,107,133,346,199
2020년07월_여_60~69세,"3,780","1,619",133,161,218,251,280,131,203,474,310
2020년07월_여_70~79세,"2,666","1,195",116,155,127,195,186,77,154,287,174
2020년07월_여_80~89세,"1,684",665,76,95,96,131,146,58,100,242,75
2020년07월_여_90~99세,252,108,11,11,17,18,22,9,17,27,12
2020년07월_여_100세 이상,36,14,1,0,3,3,3,1,1,8,2
