,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년09월_계_총인구수,"36,956","10,775","4,709","4,833","1,842","1,683","3,285","2,591","3,530","1,687","2,021"
2020년09월_계_연령구간인구수,"36,956","10,775","4,709","4,833","1,842","1,683","3,285","2,591","3,530","1,687","2,021"
2020년09월_계_0~9세,"1,753",640,250,303,71,40,151,104,111,36,47
2020년09월_계_10~19세,"2,576","1,018",238,377,124,113,183,177,149,97,100
2020년09월_계_20~29세,"2,846","1,025",345,401,123,116,215,179,207,115,120
2020년09월_계_30~39세,"3,148",941,713,504,95,100,302,143,175,72,103
2020년09월_계_40~49세,"4,990","1,684",720,747,206,182,448,307,324,174,198
2020년09월_계_50~59세,"7,074","1,952",779,928,386,330,649,517,752,381,400
2020년09월_계_60~69세,"7,437","1,760",867,905,401,366,784,550,859,415,530
2020년09월_계_70~79세,"4,548","1,107",555,481,280,275,366,354,553,249,328
2020년09월_계_80~89세,"2,184",525,203,166,142,125,162,218,345,125,173
2020년09월_계_90~99세,350,108,30,15,14,25,23,40,52,22,21
2020년09월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년09월_남_총인구수,"19,202","5,488","2,485","2,556",953,832,"1,748","1,294","1,873",910,"1,063"
2020년09월_남_연령구간인구수,"19,202","5,488","2,485","2,556",953,832,"1,748","1,294","1,873",910,"1,063"
2020년09월_남_0~9세,903,334,121,160,35,15,77,52,55,22,32
2020년09월_남_10~19세,"1,333",536,111,200,62,59,89,84,85,54,53
2020년09월_남_20~29세,"1,613",580,188,229,72,68,130,107,107,69,63
2020년09월_남_30~39세,"1,785",502,417,270,58,59,185,78,109,43,64
2020년09월_남_40~49세,"2,887",881,447,419,130,110,272,174,211,109,134
2020년09월_남_50~59세,"3,878","1,052",438,516,210,184,338,280,428,229,203
2020년09월_남_60~69세,"3,904",916,413,467,222,180,429,281,477,227,292
2020년09월_남_70~79세,"2,045",487,253,222,109,110,175,159,259,115,156
2020년09월_남_80~89세,757,178,83,67,51,34,47,68,128,40,61
2020년09월_남_90~99세,77,18,11,2,4,6,5,10,14,2,5
2020년09월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년09월_여_총인구수,"17,754","5,287","2,224","2,277",889,851,"1,537","1,297","1,657",777,958
2020년09월_여_연령구간인구수,"17,754","5,287","2,224","2,277",889,851,"1,537","1,297","1,657",777,958
2020년09월_여_0~9세,850,306,129,143,36,25,74,52,56,14,15
2020년09월_여_10~19세,"1,243",482,127,177,62,54,94,93,64,43,47
2020년09월_여_20~29세,"1,233",445,157,172,51,48,85,72,100,46,57
2020년09월_여_30~39세,"1,363",439,296,234,37,41,117,65,66,29,39
2020년09월_여_40~49세,"2,103",803,273,328,76,72,176,133,113,65,64
2020년09월_여_50~59세,"3,196",900,341,412,176,146,311,237,324,152,197
2020년09월_여_60~69세,"3,533",844,454,438,179,186,355,269,382,188,238
2020년09월_여_70~79세,"2,503",620,302,259,171,165,191,195,294,134,172
2020년09월_여_80~89세,"1,427",347,120,99,91,91,115,150,217,85,112
2020년09월_여_90~99세,273,90,19,13,10,19,18,30,38,20,16
2020년09월_여_100세 이상,30,11,6,2,0,4,1,1,3,1,1
