,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년04월_계_총인구수,"25,291","5,281","1,881","2,503","2,093","2,542","2,628","1,805","6,558"
2020년04월_계_연령구간인구수,"25,291","5,281","1,881","2,503","2,093","2,542","2,628","1,805","6,558"
2020년04월_계_0~9세,"1,014",301,46,69,77,62,79,58,322
2020년04월_계_10~19세,"1,264",362,62,100,99,100,93,48,400
2020년04월_계_20~29세,"1,810",502,105,134,141,132,125,104,567
2020년04월_계_30~39세,"1,772",500,128,111,113,127,116,111,566
2020년04월_계_40~49세,"2,468",637,153,167,201,204,208,137,761
2020년04월_계_50~59세,"4,829","1,019",377,511,418,500,503,295,"1,206"
2020년04월_계_60~69세,"5,342",890,453,623,432,673,616,422,"1,233"
2020년04월_계_70~79세,"4,039",637,346,464,348,445,518,339,942
2020년04월_계_80~89세,"2,425",377,192,284,237,261,316,246,512
2020년04월_계_90~99세,307,47,19,37,25,37,53,43,46
2020년04월_계_100세 이상,21,9,0,3,2,1,1,2,3
2020년04월_남_총인구수,"12,636","2,629",929,"1,229","1,058","1,257","1,255",892,"3,387"
2020년04월_남_연령구간인구수,"12,636","2,629",929,"1,229","1,058","1,257","1,255",892,"3,387"
2020년04월_남_0~9세,528,164,24,35,38,38,42,28,159
2020년04월_남_10~19세,678,180,38,56,55,52,54,21,222
2020년04월_남_20~29세,"1,080",293,58,81,87,70,74,61,356
2020년04월_남_30~39세,"1,047",269,82,70,70,76,65,74,341
2020년04월_남_40~49세,"1,415",348,96,86,125,116,118,84,442
2020년04월_남_50~59세,"2,526",536,189,264,220,246,250,163,658
2020년04월_남_60~69세,"2,674",436,235,304,222,333,318,229,597
2020년04월_남_70~79세,"1,759",270,145,206,146,210,213,150,419
2020년04월_남_80~89세,860,125,59,116,90,107,109,72,182
2020년04월_남_90~99세,64,6,3,10,5,9,12,9,10
2020년04월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년04월_여_총인구수,"12,655","2,652",952,"1,274","1,035","1,285","1,373",913,"3,171"
2020년04월_여_연령구간인구수,"12,655","2,652",952,"1,274","1,035","1,285","1,373",913,"3,171"
2020년04월_여_0~9세,486,137,22,34,39,24,37,30,163
2020년04월_여_10~19세,586,182,24,44,44,48,39,27,178
2020년04월_여_20~29세,730,209,47,53,54,62,51,43,211
2020년04월_여_30~39세,725,231,46,41,43,51,51,37,225
2020년04월_여_40~49세,"1,053",289,57,81,76,88,90,53,319
2020년04월_여_50~59세,"2,303",483,188,247,198,254,253,132,548
2020년04월_여_60~69세,"2,668",454,218,319,210,340,298,193,636
2020년04월_여_70~79세,"2,280",367,201,258,202,235,305,189,523
2020년04월_여_80~89세,"1,565",252,133,168,147,154,207,174,330
2020년04월_여_90~99세,243,41,16,27,20,28,41,34,36
2020년04월_여_100세 이상,16,7,0,2,2,1,1,1,2
