,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년09월_계_총인구수,"654,270","351,800","24,751","23,944","32,757","32,674","41,064","37,389","26,325","19,745","21,737","38,235","26,432","17,666","9,081","302,470","38,392","21,566","24,898","43,879","6,093","20,780","22,544","46,890","17,747","15,935","34,739","9,007"
2021년09월_계_연령구간인구수,"654,270","351,800","24,751","23,944","32,757","32,674","41,064","37,389","26,325","19,745","21,737","38,235","26,432","17,666","9,081","302,470","38,392","21,566","24,898","43,879","6,093","20,780","22,544","46,890","17,747","15,935","34,739","9,007"
2021년09월_계_0~9세,"42,428","22,351","1,597","1,016","1,679","2,350","4,405","2,431","1,441",875,"1,385","2,095","1,614","1,033",430,"20,077","2,467","1,095","1,484","3,333",269,"1,510","1,531","3,685","1,271",848,"2,277",307
2021년09월_계_10~19세,"61,889","33,401","2,391","1,544","2,724","3,464","5,118","3,865","2,653","1,620","2,066","3,521","2,457","1,228",750,"28,488","3,752","1,809","2,046","5,090",316,"1,881","2,405","4,522","1,393","1,456","3,459",359
2021년09월_계_20~29세,"106,258","58,289","3,751","4,393","6,023","5,298","7,066","5,875","4,324","3,448","3,340","7,045","4,517","2,112","1,097","47,969","5,909","4,114","5,239","7,361",454,"3,101","3,082","7,355","2,646","2,376","5,604",728
2021년09월_계_30~39세,"85,244","43,980","2,999","3,709","4,543","4,160","5,712","4,436","2,897","2,398","2,392","4,436","3,275","2,093",930,"41,264","4,937","3,092","3,883","5,445",627,"3,031","2,813","7,236","2,964","1,784","4,787",665
2021년09월_계_40~49세,"104,840","56,112","4,323","3,831","5,319","5,313","7,132","6,608","4,127","2,965","3,478","5,713","3,444","2,560","1,299","48,728","6,866","3,147","3,575","7,041",932,"3,047","3,949","7,898","2,692","2,663","5,942",976
2021년09월_계_50~59세,"127,944","69,199","4,723","4,518","6,396","6,328","6,862","7,393","5,485","4,173","4,718","8,050","5,527","3,172","1,854","58,745","7,570","4,069","4,402","8,880","1,567","4,056","4,356","8,305","3,278","3,532","6,794","1,936"
2021년09월_계_60~69세,"78,010","41,454","2,779","2,879","3,146","3,682","3,469","3,994","3,142","2,470","2,627","4,716","3,733","3,150","1,667","36,556","4,227","2,588","2,963","4,705","1,057","2,801","2,834","4,841","2,269","2,064","3,885","2,322"
2021년09월_계_70~79세,"30,136","16,918","1,442","1,323","1,567","1,295",869,"1,791","1,425","1,106","1,065","1,614","1,138","1,594",689,"13,218","1,711","1,061",842,"1,245",577,960,"1,012","1,917",788,788,"1,245","1,072"
2021년09월_계_80~89세,"15,189","8,746",644,631,"1,151",682,362,888,726,623,597,914,585,625,318,"6,443",829,528,388,657,270,346,481,970,388,373,660,553
2021년09월_계_90~99세,"2,236","1,297",98,94,198,98,69,108,100,67,66,124,133,96,46,939,118,62,71,120,24,38,78,156,56,48,84,84
2021년09월_계_100세 이상,96,53,4,6,11,4,0,0,5,0,3,7,9,3,1,43,6,1,5,2,0,9,3,5,2,3,2,5
2021년09월_남_총인구수,"335,574","179,537","12,643","12,791","17,209","16,549","20,684","19,372","13,045","9,881","11,199","19,540","12,962","8,909","4,753","156,037","20,276","10,789","12,408","22,048","3,493","10,485","12,110","24,100","9,120","8,635","17,827","4,746"
2021년09월_남_연령구간인구수,"335,574","179,537","12,643","12,791","17,209","16,549","20,684","19,372","13,045","9,881","11,199","19,540","12,962","8,909","4,753","156,037","20,276","10,789","12,408","22,048","3,493","10,485","12,110","24,100","9,120","8,635","17,827","4,746"
2021년09월_남_0~9세,"21,686","11,409",808,500,882,"1,234","2,168","1,271",725,457,710,"1,082",847,509,216,"10,277","1,258",545,767,"1,680",136,772,793,"1,893",670,421,"1,159",183
