카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년07월_계_총인구수,"657,664","337,946","7,483","4,059","12,223","5,294","6,346","8,621","14,473","19,590","41,319","12,906","46,199","11,620","13,474","22,056","10,880","10,177","14,792","39,558","36,876","319,718","14,231","18,510","11,291","32,239","20,647","7,724","9,921","7,596","10,314","14,551","20,274","62,327","26,487","12,610","30,788","20,208",0
2021년07월_계_연령구간인구수,"657,664","337,946","7,483","4,059","12,223","5,294","6,346","8,621","14,473","19,590","41,319","12,906","46,199","11,620","13,474","22,056","10,880","10,177","14,792","39,558","36,876","319,718","14,231","18,510","11,291","32,239","20,647","7,724","9,921","7,596","10,314","14,551","20,274","62,327","26,487","12,610","30,788","20,208",0
2021년07월_계_0~9세,"52,470","23,830",313,96,594,244,285,295,884,"1,358","3,279",556,"3,865",672,656,"1,484",582,505,955,"4,315","2,892","28,640",602,"1,437",540,"2,493","1,999",205,405,289,681,831,"1,415","7,984","2,023",860,"3,794","3,082",0
2021년07월_계_10~19세,"70,526","35,204",455,150,796,381,428,622,"1,292","2,592","4,887",812,"5,315","1,054","1,195","2,385",930,879,"1,492","4,983","4,556","35,322","1,063","2,336",710,"4,037","1,616",329,624,471,820,"1,221","2,463","8,823","3,071",993,"3,070","3,675",0
2021년07월_계_20~29세,"93,200","49,247",862,396,"1,394",557,675,"1,012","2,266","3,232","6,377","1,389","5,867","1,668","2,005","3,093","1,380","1,461","2,054","6,164","7,395","43,953","1,712","2,347","1,565","4,780","3,475","2,339","1,523",875,"1,422","2,058","2,739","7,894","3,943","1,545","3,786","1,950",0
2021년07월_계_30~39세,"81,480","39,563",767,342,"1,286",528,556,734,"1,645","2,335","5,280","1,283","5,130","1,196","1,329","2,113","1,062","1,076","1,628","5,266","6,007","41,917","1,289","1,868","1,306","3,970","3,505",950,"1,036",743,"1,394","1,908","1,955","9,342","2,942","1,750","5,190","2,769",0
2021년07월_계_40~49세,"105,660","52,228",894,499,"1,644",705,773,"1,129","1,900","3,390","6,877","1,726","7,435","1,612","1,708","3,323","1,488","1,362","2,085","6,906","6,772","53,432","1,791","3,096","1,424","6,037","3,063",830,"1,207","1,075","1,508","2,420","3,086","12,018","4,063","1,832","5,223","4,759",0
2021년07월_계_50~59세,"106,698","57,143","1,235",637,"1,922",852,"1,039","1,500","2,445","3,299","7,113","2,244","7,786","2,192","2,574","4,349","1,802","1,785","2,487","6,160","5,722","49,555","2,277","2,849","1,823","5,215","2,778","1,065","1,598","1,409","1,741","2,631","3,557","8,758","4,664","2,192","4,585","2,413",0
2021년07월_계_60~69세,"79,733","43,819","1,417",873,"2,145",904,"1,284","1,686","2,221","1,999","4,138","2,378","6,225","1,820","2,321","2,957","1,810","1,689","2,211","3,631","2,110","35,914","2,378","2,302","1,899","2,995","2,205","1,007","1,667","1,392","1,526","1,937","2,904","4,636","3,240","1,818","2,990","1,018",0
2021년07월_계_70~79세,"44,612","24,221",980,688,"1,561",711,824,"1,101","1,182",906,"2,191","1,638","3,040",934,"1,175","1,460","1,232","1,015","1,229","1,423",931,"20,391","1,951","1,570","1,362","1,792","1,347",639,"1,268",928,809,981,"1,372","1,907","1,699",988,"1,423",355,0
