,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년02월_계_총인구수,"51,657","11,085","13,671","4,922","2,280","1,669","2,537","1,487","1,288","1,257","2,118","2,029","2,922","4,392"
2021년02월_계_연령구간인구수,"51,657","11,085","13,671","4,922","2,280","1,669","2,537","1,487","1,288","1,257","2,118","2,029","2,922","4,392"
2021년02월_계_0~9세,"2,282",548,"1,001",166,51,28,59,49,30,31,36,47,46,190
2021년02월_계_10~19세,"3,438",854,"1,496",216,58,59,112,67,54,27,68,75,96,256
2021년02월_계_20~29세,"3,816","1,049","1,322",286,91,87,132,83,58,36,85,97,194,296
2021년02월_계_30~39세,"3,388",855,"1,114",295,119,54,106,74,65,54,85,104,140,323
2021년02월_계_40~49세,"5,786","1,527","1,970",486,159,143,223,98,78,94,146,149,243,470
2021년02월_계_50~59세,"8,465","1,933","2,288",801,303,249,370,215,178,184,333,303,523,785
2021년02월_계_60~69세,"10,282","1,990","2,100","1,064",523,370,536,342,302,312,544,502,709,988
2021년02월_계_70~79세,"8,031","1,473","1,406",922,473,346,510,293,249,288,418,403,569,681
2021년02월_계_80~89세,"5,283",746,818,595,435,273,420,232,238,202,348,287,335,354
2021년02월_계_90~99세,842,105,147,86,62,59,66,33,35,28,52,58,64,47
2021년02월_계_100세 이상,44,5,9,5,6,1,3,1,1,1,3,4,3,2
2021년02월_남_총인구수,"25,507","5,541","6,672","2,469","1,097",816,"1,190",710,623,642,"1,033",983,"1,438","2,293"
2021년02월_남_연령구간인구수,"25,507","5,541","6,672","2,469","1,097",816,"1,190",710,623,642,"1,033",983,"1,438","2,293"
2021년02월_남_0~9세,"1,144",274,496,84,30,9,30,24,16,21,15,26,27,92
2021년02월_남_10~19세,"1,774",445,786,109,35,28,50,30,28,17,35,33,48,130
2021년02월_남_20~29세,"2,213",591,736,165,59,54,73,55,32,24,51,62,128,183
2021년02월_남_30~39세,"1,902",454,554,178,72,33,66,44,40,33,57,66,89,216
2021년02월_남_40~49세,"3,165",804,952,303,103,95,118,60,48,64,81,83,152,302
2021년02월_남_50~59세,"4,594","1,082","1,184",460,154,136,201,111,103,109,175,177,273,429
2021년02월_남_60~69세,"5,023",953,992,539,262,184,256,173,157,148,271,249,337,502
2021년02월_남_70~79세,"3,577",625,637,404,210,160,226,134,105,141,207,186,260,282
2021년02월_남_80~89세,"1,904",286,292,210,153,103,152,72,83,82,132,85,108,146
2021년02월_남_90~99세,201,27,40,16,16,14,18,7,11,3,9,14,16,10
2021년02월_남_100세 이상,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2021년02월_여_총인구수,"26,150","5,544","6,999","2,453","1,183",853,"1,347",777,665,615,"1,085","1,046","1,484","2,099"
2021년02월_여_연령구간인구수,"26,150","5,544","6,999","2,453","1,183",853,"1,347",777,665,615,"1,085","1,046","1,484","2,099"
2021년02월_여_0~9세,"1,138",274,505,82,21,19,29,25,14,10,21,21,19,98
2021년02월_여_10~19세,"1,664",409,710,107,23,31,62,37,26,10,33,42,48,126
2021년02월_여_20~29세,"1,603",458,586,121,32,33,59,28,26,12,34,35,66,113
2021년02월_여_30~39세,"1,486",401,560,117,47,21,40,30,25,21,28,38,51,107
2021년02월_여_40~49세,"2,621",723,"1,018",183,56,48,105,38,30,30,65,66,91,168
2021년02월_여_50~59세,"3,871",851,"1,104",341,149,113,169,104,75,75,158,126,250,356
2021년02월_여_60~69세,"5,259","1,037","1,108",525,261,186,280,169,145,164,273,253,372,486
2021년02월_여_70~79세,"4,454",848,769,518,263,186,284,159,144,147,211,217,309,399
2021년02월_여_80~89세,"3,379",460,526,385,282,170,268,160,155,120,216,202,227,208
2021년02월_여_90~99세,641,78,107,70,46,45,48,26,24,25,43,44,48,37
2021년02월_여_100세 이상,34,5,6,4,3,1,3,1,1,1,3,2,3,1
