,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년06월_계_총인구수,"175,160","14,535","7,102","12,509","16,398","27,572","19,572","11,025","16,471","13,905","6,600","13,287","16,184"
2021년06월_계_연령구간인구수,"175,160","14,535","7,102","12,509","16,398","27,572","19,572","11,025","16,471","13,905","6,600","13,287","16,184"
2021년06월_계_0~9세,"10,825",621,291,657,917,"1,987",927,483,"1,971",765,440,857,909
2021년06월_계_10~19세,"16,169",975,477,969,"1,647","3,762","1,579",880,"1,513","1,216",599,"1,028","1,524"
2021년06월_계_20~29세,"24,313","2,274",801,"1,440","2,248","4,038","2,996","1,468","1,966","2,133","1,014","1,743","2,192"
2021년06월_계_30~39세,"19,798","1,538",821,"1,227","1,581","2,678","2,202","1,100","2,869","1,675",995,"1,618","1,494"
2021년06월_계_40~49세,"26,588","1,918","1,054","1,739","2,510","4,909","2,989","1,498","2,687","2,099","1,184","1,729","2,272"
2021년06월_계_50~59세,"33,251","2,701","1,329","2,333","3,162","5,551","3,734","2,150","2,616","2,653","1,142","2,616","3,264"
2021년06월_계_60~69세,"25,794","2,642","1,350","2,301","2,532","2,822","3,071","1,875","1,793","1,847",761,"2,083","2,717"
2021년06월_계_70~79세,"12,167","1,316",677,"1,178","1,210","1,142","1,426","1,033",664,997,308,"1,040","1,176"
2021년06월_계_80~89세,"5,513",468,253,594,523,608,582,477,341,460,137,517,553
2021년06월_계_90~99세,713,77,47,68,66,72,64,54,50,58,19,55,83
2021년06월_계_100세 이상,29,5,2,3,2,3,2,7,1,2,1,1,0
2021년06월_남_총인구수,"89,155","7,741","3,757","6,368","8,183","13,666","10,173","5,645","8,449","7,371","3,584","6,301","7,917"
2021년06월_남_연령구간인구수,"89,155","7,741","3,757","6,368","8,183","13,666","10,173","5,645","8,449","7,371","3,584","6,301","7,917"
2021년06월_남_0~9세,"5,467",323,154,324,463,996,459,225,"1,021",404,216,424,458
2021년06월_남_10~19세,"8,445",551,266,508,869,"1,911",854,469,781,629,301,513,793
2021년06월_남_20~29세,"13,483","1,254",456,790,"1,225","2,190","1,662",822,"1,078","1,237",587,935,"1,247"
2021년06월_남_30~39세,"10,858",884,433,683,878,"1,355","1,261",635,"1,466",985,625,859,794
2021년06월_남_40~49세,"13,620","1,099",615,915,"1,243","2,212","1,598",807,"1,437","1,141",668,839,"1,046"
2021년06월_남_50~59세,"16,887","1,445",724,"1,232","1,546","2,805","1,933","1,108","1,294","1,446",608,"1,214","1,532"
2021년06월_남_60~69세,"12,752","1,345",711,"1,137","1,180","1,448","1,499",918,928,894,389,960,"1,343"
2021년06월_남_70~79세,"5,544",646,304,550,550,508,670,483,308,449,146,412,518
2021년06월_남_80~89세,"1,952",178,87,210,211,225,225,171,125,172,42,133,173
2021년06월_남_90~99세,145,15,7,19,17,16,12,7,11,14,2,12,13
2021년06월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"86,005","6,794","3,345","6,141","8,215","13,906","9,399","5,380","8,022","6,534","3,016","6,986","8,267"
2021년06월_여_연령구간인구수,"86,005","6,794","3,345","6,141","8,215","13,906","9,399","5,380","8,022","6,534","3,016","6,986","8,267"
2021년06월_여_0~9세,"5,358",298,137,333,454,991,468,258,950,361,224,433,451
2021년06월_여_10~19세,"7,724",424,211,461,778,"1,851",725,411,732,587,298,515,731
2021년06월_여_20~29세,"10,830","1,020",345,650,"1,023","1,848","1,334",646,888,896,427,808,945
2021년06월_여_30~39세,"8,940",654,388,544,703,"1,323",941,465,"1,403",690,370,759,700
2021년06월_여_40~49세,"12,968",819,439,824,"1,267","2,697","1,391",691,"1,250",958,516,890,"1,226"
2021년06월_여_50~59세,"16,364","1,256",605,"1,101","1,616","2,746","1,801","1,042","1,322","1,207",534,"1,402","1,732"
2021년06월_여_60~69세,"13,042","1,297",639,"1,164","1,352","1,374","1,572",957,865,953,372,"1,123","1,374"
2021년06월_여_70~79세,"6,623",670,373,628,660,634,756,550,356,548,162,628,658
2021년06월_여_80~89세,"3,561",290,166,384,312,383,357,306,216,288,95,384,380
2021년06월_여_90~99세,568,62,40,49,49,56,52,47,39,44,17,43,70
2021년06월_여_100세 이상,27,4,2,3,1,3,2,7,1,2,1,1,0
