,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년12월_계_총인구수,"50,795","20,837","1,881","2,767","2,148","3,303","2,397","4,357","2,238","2,460","2,159","2,601","2,521","1,126"
2021년12월_계_연령구간인구수,"50,795","20,837","1,881","2,767","2,148","3,303","2,397","4,357","2,238","2,460","2,159","2,601","2,521","1,126"
2021년12월_계_0~9세,"2,351","1,573",36,53,54,93,49,175,68,36,55,63,68,28
2021년12월_계_10~19세,"3,517","2,305",51,100,106,137,74,267,95,86,77,100,96,23
2021년12월_계_20~29세,"3,988","2,148",116,174,124,186,111,318,144,144,148,158,154,63
2021년12월_계_30~39세,"3,636","1,931",102,151,171,207,102,337,117,110,110,133,109,56
2021년12월_계_40~49세,"5,743","3,015",131,213,198,358,169,497,203,198,169,238,239,115
2021년12월_계_50~59세,"8,554","3,463",305,467,383,465,420,808,394,383,393,425,448,200
2021년12월_계_60~69세,"9,928","3,132",450,589,480,737,578,934,578,535,468,575,591,281
2021년12월_계_70~79세,"7,665","2,021",371,550,347,720,482,634,411,514,401,513,488,213
2021년12월_계_80~89세,"4,722","1,126",272,398,237,355,366,335,196,398,298,341,279,121
2021년12월_계_90~99세,672,118,46,71,46,44,44,52,29,56,39,52,49,26
2021년12월_계_100세 이상,19,5,1,1,2,1,2,0,3,0,1,3,0,0
2021년12월_남_총인구수,"25,262","10,178",923,"1,397","1,119","1,666","1,201","2,232","1,154","1,214","1,063","1,272","1,244",599
2021년12월_남_연령구간인구수,"25,262","10,178",923,"1,397","1,119","1,666","1,201","2,232","1,154","1,214","1,063","1,272","1,244",599
2021년12월_남_0~9세,"1,249",817,19,31,19,45,26,98,42,22,32,36,46,16
2021년12월_남_10~19세,"1,831","1,195",33,48,59,66,46,132,55,47,40,52,48,10
2021년12월_남_20~29세,"2,269","1,188",71,106,72,98,61,181,103,80,74,91,107,37
2021년12월_남_30~39세,"1,961",937,59,93,107,134,57,199,62,76,69,72,59,37
2021년12월_남_40~49세,"3,212","1,488",87,148,125,234,119,302,118,132,102,137,141,79
2021년12월_남_50~59세,"4,752","1,749",181,283,238,281,236,448,232,231,229,261,256,127
2021년12월_남_60~69세,"4,971","1,528",214,315,263,350,307,467,277,273,255,289,280,153
2021년12월_남_70~79세,"3,367",873,163,233,149,321,216,291,203,219,175,215,211,98
2021년12월_남_80~89세,"1,517",382,85,123,77,128,120,108,58,120,81,105,89,41
2021년12월_남_90~99세,131,21,11,17,9,9,12,6,4,14,6,14,7,1
2021년12월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년12월_여_총인구수,"25,533","10,659",958,"1,370","1,029","1,637","1,196","2,125","1,084","1,246","1,096","1,329","1,277",527
2021년12월_여_연령구간인구수,"25,533","10,659",958,"1,370","1,029","1,637","1,196","2,125","1,084","1,246","1,096","1,329","1,277",527
2021년12월_여_0~9세,"1,102",756,17,22,35,48,23,77,26,14,23,27,22,12
2021년12월_여_10~19세,"1,686","1,110",18,52,47,71,28,135,40,39,37,48,48,13
2021년12월_여_20~29세,"1,719",960,45,68,52,88,50,137,41,64,74,67,47,26
2021년12월_여_30~39세,"1,675",994,43,58,64,73,45,138,55,34,41,61,50,19
2021년12월_여_40~49세,"2,531","1,527",44,65,73,124,50,195,85,66,67,101,98,36
2021년12월_여_50~59세,"3,802","1,714",124,184,145,184,184,360,162,152,164,164,192,73
2021년12월_여_60~69세,"4,957","1,604",236,274,217,387,271,467,301,262,213,286,311,128
2021년12월_여_70~79세,"4,298","1,148",208,317,198,399,266,343,208,295,226,298,277,115
2021년12월_여_80~89세,"3,205",744,187,275,160,227,246,227,138,278,217,236,190,80
2021년12월_여_90~99세,541,97,35,54,37,35,32,46,25,42,33,38,42,25
2021년12월_여_100세 이상,17,5,1,1,1,1,1,0,3,0,1,3,0,0
