,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년09월_계_총인구수,"53,308","21,879","4,750","6,969","1,813","1,788","1,382","2,351","2,410","4,078","5,300",403,185
2020년09월_계_연령구간인구수,"53,308","21,879","4,750","6,969","1,813","1,788","1,382","2,351","2,410","4,078","5,300",403,185
2020년09월_계_0~9세,"3,814","2,103",195,641,87,89,61,89,87,162,276,13,11
2020년09월_계_10~19세,"4,232","2,372",251,557,127,73,60,193,76,151,357,13,2
2020년09월_계_20~29세,"5,007","2,412",357,839,153,131,90,161,120,252,459,26,7
2020년09월_계_30~39세,"4,904","2,320",278,934,143,118,123,121,134,273,429,19,12
2020년09월_계_40~49세,"6,635","3,382",461,880,174,153,102,251,194,375,567,70,26
2020년09월_계_50~59세,"8,613","3,440",813,"1,149",280,284,242,381,344,666,899,82,33
2020년09월_계_60~69세,"8,401","2,836",851,868,321,338,294,406,464,910,955,106,52
2020년09월_계_70~79세,"7,156","1,941",915,720,300,319,243,432,536,838,834,45,33
2020년09월_계_80~89세,"3,961",919,554,338,187,246,150,273,407,400,457,22,8
2020년09월_계_90~99세,550,141,68,39,39,37,17,40,47,51,63,7,1
2020년09월_계_100세 이상,35,13,7,4,2,0,0,4,1,0,4,0,0
2020년09월_남_총인구수,"26,573","10,733","2,377","3,642",970,873,685,"1,190","1,159","1,999","2,591",246,108
2020년09월_남_연령구간인구수,"26,573","10,733","2,377","3,642",970,873,685,"1,190","1,159","1,999","2,591",246,108
2020년09월_남_0~9세,"1,947","1,075",93,347,47,52,22,40,48,68,143,6,6
2020년09월_남_10~19세,"2,201","1,221",133,270,95,36,26,107,46,75,183,7,2
2020년09월_남_20~29세,"2,800","1,285",224,494,90,60,49,95,67,155,261,17,3
2020년09월_남_30~39세,"2,523","1,111",160,511,79,59,62,73,73,153,224,12,6
2020년09월_남_40~49세,"3,761","1,721",300,499,119,100,70,164,122,254,338,53,21
2020년09월_남_50~59세,"4,738","1,763",485,654,162,160,134,246,203,374,476,58,23
2020년09월_남_60~69세,"4,215","1,349",424,453,185,181,162,202,235,445,491,62,26
2020년09월_남_70~79세,"3,064",884,371,306,132,137,108,169,213,361,339,25,19
2020년09월_남_80~89세,"1,218",294,169,103,52,80,48,87,145,104,128,6,2
2020년09월_남_90~99세,103,30,15,5,9,8,4,7,7,10,8,0,0
2020년09월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"26,735","11,146","2,373","3,327",843,915,697,"1,161","1,251","2,079","2,709",157,77
2020년09월_여_연령구간인구수,"26,735","11,146","2,373","3,327",843,915,697,"1,161","1,251","2,079","2,709",157,77
2020년09월_여_0~9세,"1,867","1,028",102,294,40,37,39,49,39,94,133,7,5
2020년09월_여_10~19세,"2,031","1,151",118,287,32,37,34,86,30,76,174,6,0
2020년09월_여_20~29세,"2,207","1,127",133,345,63,71,41,66,53,97,198,9,4
2020년09월_여_30~39세,"2,381","1,209",118,423,64,59,61,48,61,120,205,7,6
2020년09월_여_40~49세,"2,874","1,661",161,381,55,53,32,87,72,121,229,17,5
2020년09월_여_50~59세,"3,875","1,677",328,495,118,124,108,135,141,292,423,24,10
2020년09월_여_60~69세,"4,186","1,487",427,415,136,157,132,204,229,465,464,44,26
2020년09월_여_70~79세,"4,092","1,057",544,414,168,182,135,263,323,477,495,20,14
2020년09월_여_80~89세,"2,743",625,385,235,135,166,102,186,262,296,329,16,6
2020년09월_여_90~99세,447,111,53,34,30,29,13,33,40,41,55,7,1
2020년09월_여_100세 이상,32,13,4,4,2,0,0,4,1,0,4,0,0
