카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년03월_계_총인구수,"50,953","22,593","3,299","2,794","2,457","2,523","2,880","2,130","3,217","3,032","6,028"
2021년03월_계_연령구간인구수,"50,953","22,593","3,299","2,794","2,457","2,523","2,880","2,130","3,217","3,032","6,028"
2021년03월_계_0~9세,"2,492","1,619",88,75,65,125,83,55,72,76,234
2021년03월_계_10~19세,"4,269","2,445",151,104,70,137,418,164,213,145,422
2021년03월_계_20~29세,"3,925","2,159",212,182,97,134,157,104,190,196,494
2021년03월_계_30~39세,"3,605","2,060",196,147,111,139,125,76,139,189,423
2021년03월_계_40~49세,"6,121","3,499",293,237,172,249,247,157,300,290,677
2021년03월_계_50~59세,"8,864","3,718",596,476,411,417,418,423,627,564,"1,214"
2021년03월_계_60~69세,"10,074","3,462",758,723,637,591,596,490,722,750,"1,345"
2021년03월_계_70~79세,"6,790","2,346",545,464,458,416,444,364,565,484,704
2021년03월_계_80~89세,"4,247","1,148",383,340,383,279,358,263,352,287,454
2021년03월_계_90~99세,557,134,75,46,51,36,34,34,37,51,59
2021년03월_계_100세 이상,9,3,2,0,2,0,0,0,0,0,2
2021년03월_남_총인구수,"25,692","11,092","1,701","1,462","1,233","1,260","1,449","1,095","1,616","1,596","3,188"
2021년03월_남_연령구간인구수,"25,692","11,092","1,701","1,462","1,233","1,260","1,449","1,095","1,616","1,596","3,188"
2021년03월_남_0~9세,"1,271",799,57,41,32,62,47,26,42,37,128
2021년03월_남_10~19세,"2,218","1,246",82,66,32,69,202,88,119,85,229
2021년03월_남_20~29세,"2,258","1,211",132,116,58,78,96,70,97,113,287
2021년03월_남_30~39세,"1,907","1,046",109,88,68,73,63,35,68,97,260
2021년03월_남_40~49세,"3,357","1,810",165,152,115,141,148,94,174,179,379
2021년03월_남_50~59세,"4,909","1,911",349,272,258,248,247,243,364,335,682
2021년03월_남_60~69세,"5,136","1,650",390,385,324,308,314,275,376,396,718
2021년03월_남_70~79세,"3,098",989,261,226,213,188,207,167,258,247,342
2021년03월_남_80~89세,"1,411",405,137,105,122,85,117,92,109,93,146
2021년03월_남_90~99세,126,25,18,11,11,8,8,5,9,14,17
2021년03월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"25,261","11,501","1,598","1,332","1,224","1,263","1,431","1,035","1,601","1,436","2,840"
2021년03월_여_연령구간인구수,"25,261","11,501","1,598","1,332","1,224","1,263","1,431","1,035","1,601","1,436","2,840"
2021년03월_여_0~9세,"1,221",820,31,34,33,63,36,29,30,39,106
2021년03월_여_10~19세,"2,051","1,199",69,38,38,68,216,76,94,60,193
2021년03월_여_20~29세,"1,667",948,80,66,39,56,61,34,93,83,207
2021년03월_여_30~39세,"1,698","1,014",87,59,43,66,62,41,71,92,163
2021년03월_여_40~49세,"2,764","1,689",128,85,57,108,99,63,126,111,298
2021년03월_여_50~59세,"3,955","1,807",247,204,153,169,171,180,263,229,532
2021년03월_여_60~69세,"4,938","1,812",368,338,313,283,282,215,346,354,627
2021년03월_여_70~79세,"3,692","1,357",284,238,245,228,237,197,307,237,362
2021년03월_여_80~89세,"2,836",743,246,235,261,194,241,171,243,194,308
2021년03월_여_90~99세,431,109,57,35,40,28,26,29,28,37,42
2021년03월_여_100세 이상,8,3,1,0,2,0,0,0,0,0,2
