카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년03월_계_총인구수,"118,266","8,605","13,946","4,231","4,364","3,091","3,676","3,645","6,212","2,507","6,467","3,544","4,006","2,323","34,920","16,729"
2020년03월_계_연령구간인구수,"118,266","8,605","13,946","4,231","4,364","3,091","3,676","3,645","6,212","2,507","6,467","3,544","4,006","2,323","34,920","16,729"
2020년03월_계_0~9세,"7,563",383,922,109,128,133,86,90,212,61,424,67,103,60,"3,427","1,358"
2020년03월_계_10~19세,"10,129",732,"1,134",188,246,157,175,182,328,113,424,140,218,151,"3,987","1,954"
2020년03월_계_20~29세,"11,834",754,"1,385",323,316,218,234,284,428,123,474,239,459,153,"4,542","1,902"
2020년03월_계_30~39세,"11,281",609,"1,345",262,264,235,226,226,373,130,579,195,254,141,"4,729","1,713"
2020년03월_계_40~49세,"15,874","1,039","1,724",388,446,327,438,375,601,254,696,327,451,232,"5,893","2,683"
2020년03월_계_50~59세,"20,207","1,556","2,302",729,814,493,695,723,"1,237",450,"1,118",619,759,388,"5,409","2,915"
2020년03월_계_60~69세,"19,311","1,624","2,325",916,939,643,832,786,"1,405",598,"1,138",862,785,518,"3,762","2,178"
2020년03월_계_70~79세,"12,819","1,138","1,591",725,686,489,552,558,940,446,900,618,532,376,"2,007","1,261"
2020년03월_계_80~89세,"8,019",643,"1,058",529,478,346,383,363,590,272,616,410,381,256,"1,017",677
2020년03월_계_90~99세,"1,143",111,151,61,45,47,50,54,92,54,93,63,59,45,135,83
2020년03월_계_100세 이상,86,16,9,1,2,3,5,4,6,6,5,4,5,3,12,5
2020년03월_남_총인구수,"59,175","4,193","6,963","2,144","2,200","1,559","1,847","1,873","3,239","1,270","3,281","1,803","2,113","1,130","17,403","8,157"
2020년03월_남_연령구간인구수,"59,175","4,193","6,963","2,144","2,200","1,559","1,847","1,873","3,239","1,270","3,281","1,803","2,113","1,130","17,403","8,157"
2020년03월_남_0~9세,"3,897",197,462,59,62,74,47,49,119,27,224,42,51,27,"1,759",698
2020년03월_남_10~19세,"5,244",375,580,99,127,81,96,87,181,62,248,72,107,71,"2,051","1,007"
2020년03월_남_20~29세,"6,649",431,799,185,173,125,128,165,253,68,279,143,282,93,"2,474","1,051"
2020년03월_남_30~39세,"5,929",316,729,167,157,138,122,135,210,79,292,112,163,79,"2,404",826
2020년03월_남_40~49세,"8,494",546,967,243,270,183,239,235,352,165,390,193,296,132,"2,938","1,345"
2020년03월_남_50~59세,"10,551",781,"1,195",397,441,282,391,407,682,247,597,322,430,211,"2,714","1,454"
2020년03월_남_60~69세,"9,717",789,"1,168",470,494,322,433,410,754,312,593,467,404,268,"1,810","1,023"
2020년03월_남_70~79세,"5,602",484,683,296,307,230,246,255,445,208,399,289,237,151,860,512
2020년03월_남_80~89세,"2,776",239,343,206,157,110,129,120,220,87,231,142,135,82,350,225
2020년03월_남_90~99세,291,28,36,22,11,13,16,10,22,14,27,20,7,16,36,13
2020년03월_남_100세 이상,25,7,1,0,1,1,0,0,1,1,1,1,1,0,7,3
2020년03월_여_총인구수,"59,091","4,412","6,983","2,087","2,164","1,532","1,829","1,772","2,973","1,237","3,186","1,741","1,893","1,193","17,517","8,572"
2020년03월_여_연령구간인구수,"59,091","4,412","6,983","2,087","2,164","1,532","1,829","1,772","2,973","1,237","3,186","1,741","1,893","1,193","17,517","8,572"
2020년03월_여_0~9세,"3,666",186,460,50,66,59,39,41,93,34,200,25,52,33,"1,668",660
2020년03월_여_10~19세,"4,885",357,554,89,119,76,79,95,147,51,176,68,111,80,"1,936",947
2020년03월_여_20~29세,"5,185",323,586,138,143,93,106,119,175,55,195,96,177,60,"2,068",851
2020년03월_여_30~39세,"5,352",293,616,95,107,97,104,91,163,51,287,83,91,62,"2,325",887
2020년03월_여_40~49세,"7,380",493,757,145,176,144,199,140,249,89,306,134,155,100,"2,955","1,338"
2020년03월_여_50~59세,"9,656",775,"1,107",332,373,211,304,316,555,203,521,297,329,177,"2,695","1,461"
2020년03월_여_60~69세,"9,594",835,"1,157",446,445,321,399,376,651,286,545,395,381,250,"1,952","1,155"
2020년03월_여_70~79세,"7,217",654,908,429,379,259,306,303,495,238,501,329,295,225,"1,147",749
2020년03월_여_80~89세,"5,243",404,715,323,321,236,254,243,370,185,385,268,246,174,667,452
2020년03월_여_90~99세,852,83,115,39,34,34,34,44,70,40,66,43,52,29,99,70
2020년03월_여_100세 이상,61,9,8,1,1,2,5,4,5,5,4,3,4,3,5,2
