카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년10월_계_총인구수,"354,428","15,944","9,887","20,670","22,185","20,162","12,070","21,916","20,942","22,967","17,539","23,145","10,277","11,356","19,285","16,887","16,798","11,017","28,907","12,043","20,431"
2021년10월_계_연령구간인구수,"354,428","15,944","9,887","20,670","22,185","20,162","12,070","21,916","20,942","22,967","17,539","23,145","10,277","11,356","19,285","16,887","16,798","11,017","28,907","12,043","20,431"
2021년10월_계_0~9세,"20,311",636,621,"1,412","1,273","1,127",500,"1,409",895,"1,893","1,084","1,101",718,638,818,958,"1,156",589,"1,757",515,"1,211"
2021년10월_계_10~19세,"24,193",572,470,"1,785","1,564","1,467",522,"1,300","1,147","1,875","1,846","1,873",678,866,"1,189","1,366",999,799,"2,406",443,"1,026"
2021년10월_계_20~29세,"51,484","3,540","1,943","2,063","2,180","2,801","2,934","4,589","3,436","2,571","1,910","2,782","1,283","1,234","3,059","2,070","3,123","1,513","3,509","2,485","2,459"
2021년10월_계_30~39세,"47,232","2,586","1,702","2,250","2,384","2,474","2,177","4,321","2,945","3,032","1,622","2,324","1,612","1,227","2,197","1,802","2,669","1,109","3,306","2,361","3,132"
2021년10월_계_40~49세,"50,268","1,787","1,500","3,287","3,109","2,898","1,619","3,082","2,890","3,750","2,794","3,230","1,475","1,671","2,613","2,333","2,389","1,443","4,071","1,540","2,787"
2021년10월_계_50~59세,"56,889","2,458","1,508","3,242","3,629","3,529","1,512","2,699","3,042","3,771","3,251","4,294","1,459","2,170","3,184","2,826","2,492","1,912","5,146","1,653","3,112"
2021년10월_계_60~69세,"57,240","2,440","1,332","3,543","4,066","3,183","1,447","2,387","3,404","3,356","2,876","4,242","1,696","1,997","3,447","3,021","2,203","1,950","5,257","1,686","3,707"
2021년10월_계_70~79세,"31,638","1,299",554,"2,112","2,716","1,749",892,"1,392","2,145","1,926","1,503","2,148",935,"1,050","1,955","1,760","1,194","1,154","2,294",873,"1,987"
2021년10월_계_80~89세,"13,604",571,212,868,"1,131",835,419,655,955,717,589,"1,010",387,457,751,661,522,507,"1,036",427,894
2021년10월_계_90~99세,"1,511",55,44,106,129,95,46,79,82,72,61,139,34,46,72,85,51,41,123,58,93
