카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 개항동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년12월_계_총인구수,"143,633","6,145","5,086","13,241","3,925","3,192","5,818","7,022","19,131","44,046","32,080","3,947"
2021년12월_계_연령구간인구수,"143,633","6,145","5,086","13,241","3,925","3,192","5,818","7,022","19,131","44,046","32,080","3,947"
2021년12월_계_0~9세,"11,661",215,234,799,112,77,186,240,"1,193","6,823","1,707",75
2021년12월_계_10~19세,"13,147",327,345,"1,113",248,176,281,437,"1,539","5,240","3,333",108
2021년12월_계_20~29세,"18,940",619,517,"1,602",424,328,588,740,"2,512","3,720","7,645",245
2021년12월_계_30~39세,"21,991",625,519,"1,551",345,281,643,675,"2,997","8,612","5,466",277
2021년12월_계_40~49세,"25,234",774,778,"2,013",525,446,740,933,"3,140","9,816","5,623",446
2021년12월_계_50~59세,"21,230","1,228",866,"2,247",705,616,"1,077","1,256","3,269","4,795","4,318",853
2021년12월_계_60~69세,"17,316","1,365",854,"2,121",773,627,"1,132","1,384","2,778","3,084","2,122","1,076"
2021년12월_계_70~79세,"9,371",632,596,"1,181",544,437,698,903,"1,101","1,433","1,257",589
2021년12월_계_80~89세,"4,047",304,316,539,213,170,383,401,500,441,556,224
2021년12월_계_90~99세,672,53,59,74,35,34,86,52,98,80,50,51
2021년12월_계_100세 이상,24,3,2,1,1,0,4,1,4,2,3,3
2021년12월_남_총인구수,"74,679","3,326","2,595","6,734","2,001","1,644","3,083","3,518","10,455","22,118","17,008","2,197"
2021년12월_남_연령구간인구수,"74,679","3,326","2,595","6,734","2,001","1,644","3,083","3,518","10,455","22,118","17,008","2,197"
2021년12월_남_0~9세,"6,036",116,135,400,53,45,103,127,605,"3,518",901,33
2021년12월_남_10~19세,"6,750",159,179,587,135,87,137,210,809,"2,635","1,758",54
2021년12월_남_20~29세,"9,750",357,274,853,253,186,322,405,"1,391","1,863","3,686",160
2021년12월_남_30~39세,"11,967",375,293,835,191,163,364,386,"1,766","4,164","3,256",174
2021년12월_남_40~49세,"13,752",471,432,"1,082",290,252,446,525,"1,790","5,143","3,032",289
2021년12월_남_50~59세,"11,757",721,462,"1,187",381,349,633,681,"1,848","2,489","2,489",517
2021년12월_남_60~69세,"8,713",712,434,"1,051",365,316,604,656,"1,487","1,424","1,097",567
2021년12월_남_70~79세,"4,315",297,256,524,247,184,322,384,550,698,545,308
2021년12월_남_80~89세,"1,477",106,117,200,78,57,130,127,184,164,229,85
2021년12월_남_90~99세,154,12,13,15,8,5,21,17,22,19,13,9
2021년12월_남_100세 이상,8,0,0,0,0,0,1,0,3,1,2,1
2021년12월_여_총인구수,"68,954","2,819","2,491","6,507","1,924","1,548","2,735","3,504","8,676","21,928","15,072","1,750"
2021년12월_여_연령구간인구수,"68,954","2,819","2,491","6,507","1,924","1,548","2,735","3,504","8,676","21,928","15,072","1,750"
2021년12월_여_0~9세,"5,625",99,99,399,59,32,83,113,588,"3,305",806,42
2021년12월_여_10~19세,"6,397",168,166,526,113,89,144,227,730,"2,605","1,575",54
2021년12월_여_20~29세,"9,190",262,243,749,171,142,266,335,"1,121","1,857","3,959",85
2021년12월_여_30~39세,"10,024",250,226,716,154,118,279,289,"1,231","4,448","2,210",103
2021년12월_여_40~49세,"11,482",303,346,931,235,194,294,408,"1,350","4,673","2,591",157
2021년12월_여_50~59세,"9,473",507,404,"1,060",324,267,444,575,"1,421","2,306","1,829",336
2021년12월_여_60~69세,"8,603",653,420,"1,070",408,311,528,728,"1,291","1,660","1,025",509
2021년12월_여_70~79세,"5,056",335,340,657,297,253,376,519,551,735,712,281
2021년12월_여_80~89세,"2,570",198,199,339,135,113,253,274,316,277,327,139
2021년12월_여_90~99세,518,41,46,59,27,29,65,35,76,61,37,42
2021년12월_여_100세 이상,16,3,2,1,1,0,3,1,1,1,1,2
