카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년03월_계_총인구수,"352,830","120,932","35,122","3,367","12,851","8,335","11,465","33,341","22,202","9,110","28,426","20,287","30,747","16,645"
2021년03월_계_연령구간인구수,"352,830","120,932","35,122","3,367","12,851","8,335","11,465","33,341","22,202","9,110","28,426","20,287","30,747","16,645"
2021년03월_계_0~9세,"34,144","15,954","4,780",81,533,183,448,"2,488","1,357",746,"2,286","1,379","2,439","1,470"
2021년03월_계_10~19세,"34,502","12,694","2,839",110,823,587,630,"4,219","1,796","1,010","3,272","1,820","3,219","1,483"
2021년03월_계_20~29세,"40,459","14,260","3,229",163,"1,305",814,"1,431","4,536","3,167","1,051","3,240","2,197","3,207","1,859"
2021년03월_계_30~39세,"48,498","21,043","6,357",201,"1,073",571,"1,249","3,299","3,012","1,080","3,191","2,252","3,038","2,132"
2021년03월_계_40~49세,"61,125","22,327","6,452",274,"1,631",925,"1,452","6,065","3,463","1,653","5,378","3,417","5,428","2,660"
2021년03월_계_50~59세,"58,665","17,015","4,718",599,"2,696","1,877","2,410","6,241","4,593","1,537","4,947","3,871","5,189","2,972"
2021년03월_계_60~69세,"43,997","11,116","4,154",960,"2,669","1,915","2,343","3,516","3,066","1,214","3,644","2,965","4,168","2,267"
2021년03월_계_70~79세,"21,271","4,516","1,857",625,"1,400",901,"1,024","2,041","1,168",549,"1,727","1,556","2,719","1,188"
2021년03월_계_80~89세,"9,017","1,761",643,306,623,471,420,847,507,240,657,758,"1,233",551
2021년03월_계_90~99세,"1,119",241,92,48,94,82,58,87,72,30,80,70,104,61
2021년03월_계_100세 이상,33,5,1,0,4,9,0,2,1,0,4,2,3,2
2021년03월_남_총인구수,"176,987","59,769","17,803","1,737","6,538","4,364","6,113","16,182","11,653","4,571","14,846","10,154","14,983","8,274"
2021년03월_남_연령구간인구수,"176,987","59,769","17,803","1,737","6,538","4,364","6,113","16,182","11,653","4,571","14,846","10,154","14,983","8,274"
2021년03월_남_0~9세,"17,418","8,113","2,467",46,267,95,227,"1,267",702,356,"1,173",705,"1,234",766
2021년03월_남_10~19세,"17,761","6,493","1,439",58,409,317,362,"2,222",946,482,"1,690",926,"1,662",755
2021년03월_남_20~29세,"21,679","7,058","1,740",98,769,498,851,"2,416","1,850",559,"1,864","1,218","1,749","1,009"
2021년03월_남_30~39세,"24,914","10,390","3,205",124,617,336,754,"1,617","1,747",588,"1,723","1,187","1,503","1,123"
2021년03월_남_40~49세,"31,051","11,216","3,472",164,866,489,811,"2,753","1,845",834,"2,834","1,727","2,743","1,297"
2021년03월_남_50~59세,"29,644","8,360","2,343",320,"1,399",981,"1,272","3,072","2,260",812,"2,701","2,010","2,627","1,487"
2021년03월_남_60~69세,"21,574","5,428","1,985",502,"1,373","1,043","1,189","1,622","1,615",610,"1,821","1,455","1,835","1,096"
2021년03월_남_70~79세,"9,585","2,104",916,313,605,436,476,857,524,250,789,653,"1,135",527
2021년03월_남_80~89세,"3,119",566,219,102,210,149,151,338,148,77,237,257,466,199
2021년03월_남_90~99세,239,41,17,10,23,20,20,17,16,3,13,16,28,15
2021년03월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년03월_여_총인구수,"175,843","61,163","17,319","1,630","6,313","3,971","5,352","17,159","10,549","4,539","13,580","10,133","15,764","8,371"
2021년03월_여_연령구간인구수,"175,843","61,163","17,319","1,630","6,313","3,971","5,352","17,159","10,549","4,539","13,580","10,133","15,764","8,371"
2021년03월_여_0~9세,"16,726","7,841","2,313",35,266,88,221,"1,221",655,390,"1,113",674,"1,205",704
2021년03월_여_10~19세,"16,741","6,201","1,400",52,414,270,268,"1,997",850,528,"1,582",894,"1,557",728
2021년03월_여_20~29세,"18,780","7,202","1,489",65,536,316,580,"2,120","1,317",492,"1,376",979,"1,458",850
2021년03월_여_30~39세,"23,584","10,653","3,152",77,456,235,495,"1,682","1,265",492,"1,468","1,065","1,535","1,009"
2021년03월_여_40~49세,"30,074","11,111","2,980",110,765,436,641,"3,312","1,618",819,"2,544","1,690","2,685","1,363"
2021년03월_여_50~59세,"29,021","8,655","2,375",279,"1,297",896,"1,138","3,169","2,333",725,"2,246","1,861","2,562","1,485"
2021년03월_여_60~69세,"22,423","5,688","2,169",458,"1,296",872,"1,154","1,894","1,451",604,"1,823","1,510","2,333","1,171"
2021년03월_여_70~79세,"11,686","2,412",941,312,795,465,548,"1,184",644,299,938,903,"1,584",661
2021년03월_여_80~89세,"5,898","1,195",424,204,413,322,269,509,359,163,420,501,767,352
2021년03월_여_90~99세,880,200,75,38,71,62,38,70,56,27,67,54,76,46
2021년03월_여_100세 이상,30,5,1,0,4,9,0,1,1,0,3,2,2,2
