,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년06월_계_총인구수,"707,485","63,121","93,242","100,949","14,199","24,670","53,575","30,017","19,769","9,192","4,241","50,928","34,740","19,202","4,656","76,594","35,958","72,432"
2020년06월_계_연령구간인구수,"707,485","63,121","93,242","100,949","14,199","24,670","53,575","30,017","19,769","9,192","4,241","50,928","34,740","19,202","4,656","76,594","35,958","72,432"
2020년06월_계_0~9세,"66,356","4,421","8,780","8,869","1,577","1,140","4,257","1,864","1,280",369,199,"5,614","3,170",810,166,"10,354","4,878","8,608"
2020년06월_계_10~19세,"77,658","7,544","11,517","11,410","1,300","2,027","6,770","2,729","2,021",710,272,"6,765","5,008","1,247",209,"7,824","3,679","6,626"
2020년06월_계_20~29세,"83,836","7,882","10,434","11,821","1,522","3,392","6,515","4,193","2,460",829,419,"5,492","4,130","2,574",532,"8,851","3,844","8,946"
2020년06월_계_30~39세,"90,736","6,258","10,757","12,434","2,164","2,425","5,629","3,453","1,869",759,420,"6,417","3,910","2,199",494,"13,435","6,164","11,949"
2020년06월_계_40~49세,"129,554","11,440","17,594","19,300","2,427","3,498","10,444","4,384","3,349","1,073",540,"10,905","7,253","2,342",523,"14,496","7,083","12,903"
2020년06월_계_50~59세,"115,155","11,107","15,126","16,659","2,233","5,287","9,270","5,830","3,594","1,838",796,"7,264","5,484","4,033",937,"10,027","5,055","10,615"
2020년06월_계_60~69세,"79,727","7,474","10,479","11,049","1,769","3,858","5,533","4,348","2,658","1,890",858,"4,441","3,102","3,384","1,056","6,749","3,244","7,835"
2020년06월_계_70~79세,"43,924","4,799","5,851","6,595",803,"1,957","3,499","2,187","1,706","1,106",476,"2,819","1,786","1,631",491,"3,381","1,387","3,450"
2020년06월_계_80~89세,"17,799","1,878","2,395","2,449",344,943,"1,458",925,709,488,222,"1,043",790,843,218,"1,281",533,"1,280"
2020년06월_계_90~99세,"2,527",290,293,332,59,129,194,97,103,121,36,159,102,123,22,185,75,207
2020년06월_계_100세 이상,213,28,16,31,1,14,6,7,20,9,3,9,5,16,8,11,16,13
2020년06월_남_총인구수,"352,439","31,116","47,124","50,615","7,191","12,826","26,895","14,978","9,880","4,835","2,199","24,817","17,112","9,766","2,622","37,617","17,547","35,299"
2020년06월_남_연령구간인구수,"352,439","31,116","47,124","50,615","7,191","12,826","26,895","14,978","9,880","4,835","2,199","24,817","17,112","9,766","2,622","37,617","17,547","35,299"
2020년06월_남_0~9세,"34,117","2,304","4,573","4,599",809,634,"2,202",931,636,207,102,"2,880","1,601",409,78,"5,278","2,490","4,384"
2020년06월_남_10~19세,"39,996","3,876","5,956","5,974",660,"1,039","3,449","1,425","1,101",410,141,"3,472","2,577",666,106,"3,963","1,883","3,298"
2020년06월_남_20~29세,"43,628","4,127","5,521","6,159",791,"1,871","3,487","2,209","1,221",479,230,"2,877","2,095","1,424",316,"4,399","1,958","4,464"
2020년06월_남_30~39세,"44,527","3,044","5,311","6,259","1,101","1,300","2,782","1,798",969,405,215,"2,953","1,859","1,237",298,"6,384","2,833","5,779"
2020년06월_남_40~49세,"65,224","5,479","8,939","9,808","1,258","1,884","5,260","2,216","1,671",602,295,"5,287","3,539","1,227",328,"7,430","3,569","6,432"
2020년06월_남_50~59세,"58,810","5,639","7,992","8,624","1,159","2,807","4,923","2,803","1,892","1,015",436,"3,703","2,860","2,037",534,"4,849","2,482","5,055"
2020년06월_남_60~69세,"38,828","3,572","5,190","5,287",884,"2,039","2,663","2,225","1,300",967,438,"1,997","1,484","1,690",626,"3,199","1,492","3,775"
2020년06월_남_70~79세,"20,070","2,247","2,655","2,928",382,874,"1,542","1,006",754,539,242,"1,204",789,759,245,"1,625",631,"1,648"
2020년06월_남_80~89세,"6,596",741,901,891,136,346,542,340,299,180,92,406,283,282,86,459,188,424
2020년06월_남_90~99세,581,79,82,76,10,30,44,23,32,25,5,34,25,30,5,30,15,36
2020년06월_남_100세 이상,62,8,4,10,1,2,1,2,5,6,3,4,0,5,0,1,6,4
2020년06월_여_총인구수,"355,046","32,005","46,118","50,334","7,008","11,844","26,680","15,039","9,889","4,357","2,042","26,111","17,628","9,436","2,034","38,977","18,411","37,133"
2020년06월_여_연령구간인구수,"355,046","32,005","46,118","50,334","7,008","11,844","26,680","15,039","9,889","4,357","2,042","26,111","17,628","9,436","2,034","38,977","18,411","37,133"
2020년06월_여_0~9세,"32,239","2,117","4,207","4,270",768,506,"2,055",933,644,162,97,"2,734","1,569",401,88,"5,076","2,388","4,224"
2020년06월_여_10~19세,"37,662","3,668","5,561","5,436",640,988,"3,321","1,304",920,300,131,"3,293","2,431",581,103,"3,861","1,796","3,328"
2020년06월_여_20~29세,"40,208","3,755","4,913","5,662",731,"1,521","3,028","1,984","1,239",350,189,"2,615","2,035","1,150",216,"4,452","1,886","4,482"
2020년06월_여_30~39세,"46,209","3,214","5,446","6,175","1,063","1,125","2,847","1,655",900,354,205,"3,464","2,051",962,196,"7,051","3,331","6,170"
2020년06월_여_40~49세,"64,330","5,961","8,655","9,492","1,169","1,614","5,184","2,168","1,678",471,245,"5,618","3,714","1,115",195,"7,066","3,514","6,471"
2020년06월_여_50~59세,"56,345","5,468","7,134","8,035","1,074","2,480","4,347","3,027","1,702",823,360,"3,561","2,624","1,996",403,"5,178","2,573","5,560"
2020년06월_여_60~69세,"40,899","3,902","5,289","5,762",885,"1,819","2,870","2,123","1,358",923,420,"2,444","1,618","1,694",430,"3,550","1,752","4,060"
2020년06월_여_70~79세,"23,854","2,552","3,196","3,667",421,"1,083","1,957","1,181",952,567,234,"1,615",997,872,246,"1,756",756,"1,802"
2020년06월_여_80~89세,"11,203","1,137","1,494","1,558",208,597,916,585,410,308,130,637,507,561,132,822,345,856
2020년06월_여_90~99세,"1,946",211,211,256,49,99,150,74,71,96,31,125,77,93,17,155,60,171
2020년06월_여_100세 이상,151,20,12,21,0,12,5,5,15,3,0,5,5,11,8,10,10,9
