,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년12월_계_총인구수,"85,176","30,157","29,625",0,"3,118","3,469","2,082","6,211","10,514"
2021년12월_계_연령구간인구수,"85,176","30,157","29,625",0,"3,118","3,469","2,082","6,211","10,514"
2021년12월_계_0~9세,"7,389","2,015","4,297",0,77,108,40,186,666
2021년12월_계_10~19세,"8,353","3,292","3,194",0,159,140,77,375,"1,116"
2021년12월_계_20~29세,"9,223","3,929","3,037",0,195,232,90,539,"1,201"
2021년12월_계_30~39세,"11,398","3,050","6,106",0,176,245,113,505,"1,203"
2021년12월_계_40~49세,"13,827","4,907","5,684",0,281,323,162,704,"1,766"
2021년12월_계_50~59세,"13,912","5,400","3,563",0,572,719,372,"1,187","2,099"
2021년12월_계_60~69세,"11,395","4,071","2,257",0,779,841,587,"1,440","1,420"
2021년12월_계_70~79세,"5,523","2,091",858,0,444,471,332,698,629
2021년12월_계_80~89세,"3,654","1,239",556,0,379,347,267,505,361
2021년12월_계_90~99세,488,160,71,0,53,42,38,71,53
2021년12월_계_100세 이상,14,3,2,0,3,1,4,1,0
2021년12월_남_총인구수,"44,715","15,512","15,646",0,"1,618","1,816","1,068","3,304","5,751"
2021년12월_남_연령구간인구수,"44,715","15,512","15,646",0,"1,618","1,816","1,068","3,304","5,751"
2021년12월_남_0~9세,"3,798","1,054","2,204",0,38,46,24,99,333
2021년12월_남_10~19세,"4,339","1,706","1,630",0,82,68,39,202,612
2021년12월_남_20~29세,"5,354","2,253","1,684",0,122,147,59,332,757
2021년12월_남_30~39세,"6,303","1,645","3,304",0,112,149,63,323,707
2021년12월_남_40~49세,"7,502","2,552","3,119",0,171,198,98,398,966
2021년12월_남_50~59세,"7,635","2,909","1,949",0,339,391,215,660,"1,172"
2021년12월_남_60~69세,"5,867","1,982","1,157",0,415,468,306,777,762
2021년12월_남_70~79세,"2,559",943,388,0,213,226,161,332,296
2021년12월_남_80~89세,"1,256",429,194,0,116,116,94,171,136
2021년12월_남_90~99세,97,37,17,0,10,6,8,9,10
2021년12월_남_100세 이상,5,2,0,0,0,1,1,1,0
2021년12월_여_총인구수,"40,461","14,645","13,979",0,"1,500","1,653","1,014","2,907","4,763"
2021년12월_여_연령구간인구수,"40,461","14,645","13,979",0,"1,500","1,653","1,014","2,907","4,763"
2021년12월_여_0~9세,"3,591",961,"2,093",0,39,62,16,87,333
2021년12월_여_10~19세,"4,014","1,586","1,564",0,77,72,38,173,504
2021년12월_여_20~29세,"3,869","1,676","1,353",0,73,85,31,207,444
2021년12월_여_30~39세,"5,095","1,405","2,802",0,64,96,50,182,496
2021년12월_여_40~49세,"6,325","2,355","2,565",0,110,125,64,306,800
2021년12월_여_50~59세,"6,277","2,491","1,614",0,233,328,157,527,927
2021년12월_여_60~69세,"5,528","2,089","1,100",0,364,373,281,663,658
2021년12월_여_70~79세,"2,964","1,148",470,0,231,245,171,366,333
2021년12월_여_80~89세,"2,398",810,362,0,263,231,173,334,225
2021년12월_여_90~99세,391,123,54,0,43,36,30,62,43
2021년12월_여_100세 이상,9,1,2,0,3,0,3,0,0
