카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2021년12월_계_총인구수,"564,288","28,744","43,711","24,568","27,127","11,418","3,681","13,311","6,616","5,105","44,195","25,371","21,963","12,924","22,099","7,079","5,723","22,810","12,764","4,088","51,458","55,603","26,025","29,302","37,373","21,230"
2021년12월_계_연령구간인구수,"564,288","28,744","43,711","24,568","27,127","11,418","3,681","13,311","6,616","5,105","44,195","25,371","21,963","12,924","22,099","7,079","5,723","22,810","12,764","4,088","51,458","55,603","26,025","29,302","37,373","21,230"
2021년12월_계_0~9세,"50,065","1,643","3,668","1,750","3,796",444,132,"1,030",293,149,"2,671","1,189","2,622",626,"1,505",567,160,952,715,110,"5,523","5,795","3,343","2,558","5,587","3,237"
2021년12월_계_10~19세,"54,204","1,833","5,675","1,870","3,360",813,200,888,472,258,"4,652","2,224","1,909",893,"2,112",479,287,"1,634",792,210,"6,268","6,299","3,192","2,796","3,519","1,569"
2021년12월_계_20~29세,"77,667","3,254","5,898","3,369","2,399","1,422",339,"1,939",676,426,"7,433","3,671","2,905","2,545","2,928","1,054",705,"4,101","2,106",616,"6,546","7,315","3,615","4,384","4,704","3,317"
2021년12월_계_30~39세,"86,448","3,291","5,492","3,917","4,564","1,396",354,"2,107",591,328,"5,354","3,065","4,002","2,345","2,582","1,228",678,"3,014","2,059",406,"7,924","8,355","4,687","4,366","8,800","5,543"
2021년12월_계_40~49세,"97,562","4,163","8,344","4,651","5,684","1,687",448,"1,961",866,566,"7,371","4,102","3,942","2,154","3,660","1,149",785,"3,354","1,826",527,"10,018","9,697","5,334","4,651","7,092","3,530"
2021년12월_계_50~59세,"91,369","5,179","7,298","4,054","3,138","2,124",680,"2,299","1,246",925,"8,256","4,863","3,388","2,040","4,165","1,102",978,"4,214","2,146",771,"7,948","9,077","3,377","5,308","4,381","2,412"
2021년12월_계_60~69세,"61,059","4,833","4,150","2,864","2,382","1,944",780,"1,710","1,254","1,146","4,890","3,446","2,018","1,260","2,962",786,"1,015","3,110","1,704",783,"4,374","5,488","1,623","3,166","2,255","1,116"
2021년12월_계_70~79세,"28,855","2,737","1,972","1,308","1,100","1,022",455,846,692,779,"2,290","1,787",740,704,"1,371",439,680,"1,553",912,449,"1,839","2,247",568,"1,315",696,354
2021년12월_계_80~89세,"14,963","1,609","1,054",662,594,498,259,460,466,458,"1,128",908,372,322,699,237,366,786,449,191,902,"1,192",259,684,293,115
2021년12월_계_90~99세,"2,036",192,157,119,106,66,34,70,59,67,145,113,65,34,110,38,66,88,55,25,114,134,27,73,43,36
2021년12월_계_100세 이상,60,10,3,4,4,2,0,1,1,3,5,3,0,1,5,0,3,4,0,0,2,4,0,1,3,1
2021년12월_남_총인구수,"293,954","15,049","22,599","14,874","14,383","6,312","2,029","7,093","3,560","2,696","22,901","12,949","11,473","7,153","11,092","3,692","2,965","11,893","6,688","2,159","25,870","27,578","13,708","14,786","19,255","11,197"
2021년12월_남_연령구간인구수,"293,954","15,049","22,599","14,874","14,383","6,312","2,029","7,093","3,560","2,696","22,901","12,949","11,473","7,153","11,092","3,692","2,965","11,893","6,688","2,159","25,870","27,578","13,708","14,786","19,255","11,197"
2021년12월_남_0~9세,"25,414",850,"1,821",861,"1,956",213,62,517,165,81,"1,322",579,"1,355",297,747,290,92,505,347,50,"2,844","2,965","1,766","1,310","2,832","1,587"
2021년12월_남_10~19세,"27,910",962,"2,866",990,"1,752",418,115,458,238,134,"2,410","1,166",949,438,"1,071",243,165,868,407,115,"3,265","3,290","1,659","1,406","1,758",767
2021년12월_남_20~29세,"43,129","1,856","3,208","2,224","1,339",883,213,"1,136",396,261,"4,242","2,043","1,591","1,492","1,614",603,391,"2,250","1,183",362,"3,437","3,800","1,927","2,353","2,463","1,862"
2021년12월_남_30~39세,"47,642","1,890","3,055","2,645","2,384",909,210,"1,226",369,192,"3,088","1,734","2,127","1,467","1,318",678,415,"1,778","1,233",256,"3,946","4,214","2,518","2,332","4,633","3,025"
2021년12월_남_40~49세,"52,317","2,306","4,268","3,047","3,187","1,024",289,"1,123",524,349,"3,823","2,225","2,161","1,265","1,910",637,479,"1,794",967,296,"4,950","4,660","2,834","2,373","3,862","1,964"
2021년12월_남_50~59세,"48,259","2,909","4,011","2,586","1,785","1,160",404,"1,187",713,540,"4,220","2,480","1,732","1,130","2,114",591,541,"2,170","1,140",418,"4,089","4,463","1,819","2,625","2,204","1,228"
2021년12월_남_60~69세,"30,727","2,450","2,105","1,617","1,217","1,029",430,849,665,591,"2,410","1,616","1,069",637,"1,475",399,481,"1,541",837,381,"2,181","2,719",822,"1,577","1,077",552
2021년12월_남_70~79세,"12,742","1,189",853,638,539,485,210,418,315,378,979,742,334,296,567,161,262,673,399,200,809,972,266,558,328,171
2021년12월_남_80~89세,"5,332",590,373,237,202,179,89,167,155,155,373,326,144,126,249,82,124,292,164,74,319,464,92,236,90,30
2021년12월_남_90~99세,470,44,39,29,22,12,7,12,20,14,33,37,11,5,25,8,14,21,11,7,29,31,5,16,8,10
2021년12월_남_100세 이상,12,3,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1
2021년12월_여_총인구수,"270,334","13,695","21,112","9,694","12,744","5,106","1,652","6,218","3,056","2,409","21,294","12,422","10,490","5,771","11,007","3,387","2,758","10,917","6,076","1,929","25,588","28,025","12,317","14,516","18,118","10,033"
2021년12월_여_연령구간인구수,"270,334","13,695","21,112","9,694","12,744","5,106","1,652","6,218","3,056","2,409","21,294","12,422","10,490","5,771","11,007","3,387","2,758","10,917","6,076","1,929","25,588","28,025","12,317","14,516","18,118","10,033"
2021년12월_여_0~9세,"24,651",793,"1,847",889,"1,840",231,70,513,128,68,"1,349",610,"1,267",329,758,277,68,447,368,60,"2,679","2,830","1,577","1,248","2,755","1,650"
2021년12월_여_10~19세,"26,294",871,"2,809",880,"1,608",395,85,430,234,124,"2,242","1,058",960,455,"1,041",236,122,766,385,95,"3,003","3,009","1,533","1,390","1,761",802
2021년12월_여_20~29세,"34,538","1,398","2,690","1,145","1,060",539,126,803,280,165,"3,191","1,628","1,314","1,053","1,314",451,314,"1,851",923,254,"3,109","3,515","1,688","2,031","2,241","1,455"
2021년12월_여_30~39세,"38,806","1,401","2,437","1,272","2,180",487,144,881,222,136,"2,266","1,331","1,875",878,"1,264",550,263,"1,236",826,150,"3,978","4,141","2,169","2,034","4,167","2,518"
2021년12월_여_40~49세,"45,245","1,857","4,076","1,604","2,497",663,159,838,342,217,"3,548","1,877","1,781",889,"1,750",512,306,"1,560",859,231,"5,068","5,037","2,500","2,278","3,230","1,566"
