카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년07월_계_총인구수,"387,810","31,921","12,389","44,348","28,947","24,643","28,763","31,708","22,924","27,196","24,626","14,247","14,555","38,340","23,332","19,871"
2021년07월_계_연령구간인구수,"387,810","31,921","12,389","44,348","28,947","24,643","28,763","31,708","22,924","27,196","24,626","14,247","14,555","38,340","23,332","19,871"
2021년07월_계_0~9세,"23,753","1,899",310,"2,698","2,486","1,158","1,586","2,311",772,"1,814","2,074",706,"1,010","2,120","1,461","1,348"
2021년07월_계_10~19세,"27,263","1,930",497,"3,135","1,980","1,617","1,874","2,161",888,"1,671","1,629",736,990,"4,083","2,414","1,658"
2021년07월_계_20~29세,"65,475","5,450","2,404","9,599","4,316","4,137","4,591","4,920","5,229","3,635","3,297","2,507","2,144","6,375","3,384","3,487"
2021년07월_계_30~39세,"61,478","5,506","2,015","6,080","4,950","4,061","4,734","4,393","4,659","4,390","3,994","2,443","2,617","5,319","3,045","3,272"
2021년07월_계_40~49세,"57,896","4,286","1,473","6,462","4,599","3,524","4,301","4,794","2,980","4,014","3,799","2,004","2,274","6,416","3,873","3,097"
2021년07월_계_50~59세,"57,829","4,638","1,947","6,305","4,246","3,859","4,385","5,133","2,969","4,244","3,541","2,056","2,189","5,908","3,711","2,698"
2021년07월_계_60~69세,"50,273","4,340","1,986","5,426","3,425","3,278","3,935","4,108","3,031","3,983","3,443","2,036","1,833","4,280","2,977","2,192"
2021년07월_계_70~79세,"29,627","2,489","1,149","3,063","1,913","2,073","2,279","2,523","1,766","2,395","2,071","1,227","1,016","2,532","1,667","1,464"
2021년07월_계_80~89세,"12,307","1,197",519,"1,345",876,831,949,"1,183",558,922,688,456,408,"1,111",689,575
2021년07월_계_90~99세,"1,756",162,78,209,143,98,121,174,69,121,85,69,70,176,103,78
2021년07월_계_100세 이상,153,24,11,26,13,7,8,8,3,7,5,7,4,20,8,2
2021년07월_남_총인구수,"187,614","15,980","6,403","21,427","13,937","11,773","13,998","15,436","10,875","13,055","11,956","6,810","7,053","18,233","11,197","9,481"
2021년07월_남_연령구간인구수,"187,614","15,980","6,403","21,427","13,937","11,773","13,998","15,436","10,875","13,055","11,956","6,810","7,053","18,233","11,197","9,481"
2021년07월_남_0~9세,"12,158",974,168,"1,360","1,279",585,833,"1,172",399,919,"1,046",384,525,"1,082",752,680
2021년07월_남_10~19세,"13,981",995,253,"1,605","1,002",830,"1,007","1,112",473,938,879,384,501,"1,988","1,149",865
2021년07월_남_20~29세,"31,570","2,857","1,245","4,832","2,052","1,904","2,210","2,576","2,248","1,726","1,559","1,135","1,038","3,008","1,622","1,558"
2021년07월_남_30~39세,"31,083","3,008","1,174","3,036","2,384","2,104","2,446","2,159","2,428","2,160","1,895","1,252","1,319","2,622","1,509","1,587"
2021년07월_남_40~49세,"29,084","2,249",841,"3,178","2,332","1,763","2,187","2,473","1,520","1,970","1,956","1,044","1,144","3,062","1,831","1,534"
2021년07월_남_50~59세,"27,839","2,262",987,"2,961","2,030","1,829","2,101","2,449","1,379","2,040","1,693",937,"1,039","2,954","1,873","1,305"
2021년07월_남_60~69세,"23,226","2,026",958,"2,518","1,599","1,480","1,834","1,909","1,339","1,802","1,621",917,852,"1,952","1,398","1,021"
2021년07월_남_70~79세,"13,202","1,099",524,"1,367",865,920,987,"1,101",808,"1,082",966,544,460,"1,072",757,650
2021년07월_남_80~89세,"4,981",457,230,511,354,335,354,438,269,386,318,197,159,434,279,260
2021년07월_남_90~99세,450,47,19,54,37,21,35,45,11,31,20,16,15,53,25,21
2021년07월_남_100세 이상,40,6,4,5,3,2,4,2,1,1,3,0,1,6,2,0
2021년07월_여_총인구수,"200,196","15,941","5,986","22,921","15,010","12,870","14,765","16,272","12,049","14,141","12,670","7,437","7,502","20,107","12,135","10,390"
2021년07월_여_연령구간인구수,"200,196","15,941","5,986","22,921","15,010","12,870","14,765","16,272","12,049","14,141","12,670","7,437","7,502","20,107","12,135","10,390"
2021년07월_여_0~9세,"11,595",925,142,"1,338","1,207",573,753,"1,139",373,895,"1,028",322,485,"1,038",709,668
2021년07월_여_10~19세,"13,282",935,244,"1,530",978,787,867,"1,049",415,733,750,352,489,"2,095","1,265",793
2021년07월_여_20~29세,"33,905","2,593","1,159","4,767","2,264","2,233","2,381","2,344","2,981","1,909","1,738","1,372","1,106","3,367","1,762","1,929"
2021년07월_여_30~39세,"30,395","2,498",841,"3,044","2,566","1,957","2,288","2,234","2,231","2,230","2,099","1,191","1,298","2,697","1,536","1,685"
2021년07월_여_40~49세,"28,812","2,037",632,"3,284","2,267","1,761","2,114","2,321","1,460","2,044","1,843",960,"1,130","3,354","2,042","1,563"
2021년07월_여_50~59세,"29,990","2,376",960,"3,344","2,216","2,030","2,284","2,684","1,590","2,204","1,848","1,119","1,150","2,954","1,838","1,393"
2021년07월_여_60~69세,"27,047","2,314","1,028","2,908","1,826","1,798","2,101","2,199","1,692","2,181","1,822","1,119",981,"2,328","1,579","1,171"
2021년07월_여_70~79세,"16,425","1,390",625,"1,696","1,048","1,153","1,292","1,422",958,"1,313","1,105",683,556,"1,460",910,814
2021년07월_여_80~89세,"7,326",740,289,834,522,496,595,745,289,536,370,259,249,677,410,315
2021년07월_여_90~99세,"1,306",115,59,155,106,77,86,129,58,90,65,53,55,123,78,57
2021년07월_여_100세 이상,113,18,7,21,10,5,4,6,2,6,2,7,3,14,6,2
